,DMSO-CHX__vs_DMSO,U1-WT100-CHX_vs_DMSO,U1-WT100-CHX_vs_DMSO-CHX,U1-WT100-CHX_vs_WT100,U1-WT100-EtOH_vs_DMSO,U1-WT500-CHX_vs_DMSO,U1-WT500-CHX_vs_DMSO-CHX,U1-WT500-CHX_vs_WT500,U1-WT500-EtOH_vs_DMSO
C1orf167,1,1,0,0,0,1,0,0,0
MTHFR,1,1,0,1,0,1,0,1,0
CLCN6,1,1,0,1,0,1,0,1,0
MFN2,1,0,0,1,0,0,0,1,0
PRDM2,1,1,0,1,0,1,0,1,0
UQCRHL,1,1,0,1,0,1,0,1,0
FBXO42,1,1,0,1,0,1,0,1,0
AL137802.2,0,1,0,0,0,1,0,1,0
AL137802.3,0,0,0,1,0,0,0,0,0
CROCCP2,1,1,0,1,0,1,0,1,0
AL021920.3,0,0,0,0,0,1,1,0,0
ATP13A2,1,1,0,1,0,1,0,1,0
SDHB,0,0,0,1,0,0,0,1,0
AKR7L,1,1,0,1,0,1,0,1,0
AKR7A3,1,1,0,1,0,1,0,1,0
SLC66A1,1,1,0,0,0,1,0,1,0
MUL1,1,1,0,1,0,1,0,1,0
PINK1.AS,0,0,0,1,0,0,0,1,0
KIF17,0,0,0,0,0,0,0,1,0
ECE1,1,1,0,1,0,0,0,1,0
HSPG2,0,0,0,0,0,1,0,0,0
LINC00339,0,1,0,1,0,0,0,1,0
AL031281.1,0,0,0,1,0,0,0,0,0
EPHB2,1,1,0,0,0,0,0,0,0
ZNF436,1,1,0,1,0,1,0,1,0
ASAP3,1,1,0,1,0,1,0,1,0
E2F2,1,1,0,1,0,1,0,1,0
ID3,1,1,0,1,0,1,0,1,0
RPL11,0,0,0,1,0,0,0,1,0
ELOA.AS1,0,0,0,0,0,1,0,0,0
IFNLR1,1,1,0,0,0,1,0,1,0
GRHL3,0,1,0,1,0,1,0,1,0
CLIC4,1,1,0,0,0,1,0,0,0
MAN1C1,0,0,0,0,0,1,0,0,0
SELENON,1,1,0,1,0,1,0,0,0
AUNIP,1,1,0,1,0,0,0,0,0
STMN1,0,1,0,1,0,1,0,1,0
PAFAH2,0,0,0,1,0,0,0,0,0
ZNF593,0,0,0,0,0,1,0,0,0
CNKSR1,1,1,0,1,0,1,0,1,0
CATSPER4,0,0,0,0,0,1,0,0,0
CEP85,1,1,0,1,0,1,0,1,0
SH3BGRL3,0,0,0,1,0,0,0,1,0
DHDDS,1,1,0,0,0,1,0,1,0
GPN2,1,1,0,1,0,1,0,1,0
GPATCH3,1,1,0,0,0,1,0,0,0
WDTC1,1,1,0,1,0,1,0,1,0
TMEM222,0,1,0,0,0,1,0,0,0
ACTG1P20,1,1,0,0,0,1,0,1,0
GPR3,1,1,0,0,0,1,0,0,0
WASF2,1,1,0,1,0,1,0,1,0
IFI6,1,1,0,1,0,0,0,1,0
RPA2,0,0,0,0,0,1,0,0,0
SPCS2P4,0,0,0,0,0,0,0,1,0
PTAFR,1,1,0,1,0,1,0,1,0
SESN2,1,1,0,1,0,1,0,0,0
MED18,1,1,0,1,0,1,0,1,0
SNHG3,0,0,0,1,0,0,0,0,0
SNHG12,1,1,0,1,0,1,0,1,0
LINC01715,0,0,0,1,0,0,0,0,0
YTHDF2,1,1,0,1,0,1,0,1,0
MECR,1,1,0,1,0,1,0,1,0
MATN1.AS1,1,1,0,1,0,1,0,1,0
LINC01778,1,0,0,0,0,0,0,0,0
SDC3,1,1,0,1,0,1,0,1,0
NKAIN1,1,0,0,1,0,0,0,1,0
ZCCHC17,1,0,0,0,0,0,0,1,0
SERINC2,1,1,0,1,0,1,0,1,0
TMEM39B,1,0,0,0,0,1,0,1,0
CCDC28B,0,0,0,1,0,0,0,0,0
IQCC,1,1,0,1,0,1,0,1,0
MARCKSL1,1,1,0,1,0,0,0,1,0
BSDC1,1,1,0,1,0,1,0,1,0
YARS1,0,0,0,0,0,1,0,0,0
S100PBP,0,0,0,1,0,0,0,1,0
AL662907.1,0,0,0,0,0,1,0,0,0
ZSCAN20,1,1,0,1,0,1,0,1,0
DLGAP3,0,0,0,0,0,1,0,0,0
AC114490.3,0,1,0,1,0,1,0,0,0
AC114490.2,1,1,0,1,0,1,0,1,0
ZMYM6,1,1,0,1,0,1,0,1,0
AGO4,1,1,0,1,0,0,0,1,0
ADPRS,1,1,0,1,0,1,0,1,0
OSCP1,0,0,0,1,0,0,0,0,0
ZC3H12A,1,1,0,1,0,1,0,1,0
C1orf109,1,1,0,0,0,1,0,0,0
AL929472.3,0,0,0,0,0,0,0,1,0
YRDC,1,1,0,0,0,1,0,0,0
MTF1,1,1,0,1,0,1,0,1,0
AL139260.1,1,0,0,0,0,0,0,0,0
PPIEL,1,1,0,0,0,1,0,1,0
HPCAL4,1,1,0,1,0,1,0,1,0
OXCT2,1,1,0,1,0,1,0,1,0
TRIT1,1,1,0,1,0,1,0,1,0
MYCL,1,1,0,1,0,1,0,1,0
MFSD2A,0,0,0,0,0,1,0,0,0
AL663070.2,1,0,0,0,0,0,0,0,0
RLF,1,1,0,1,0,1,0,1,0
ZFP69B,0,0,0,1,0,0,0,0,0
EXO5,1,1,0,1,0,1,0,1,0
ZNF684,1,1,0,1,0,1,0,1,0
RIMS3,1,1,0,1,0,1,0,1,0
KCNQ4,1,1,0,1,0,1,0,1,0
SLFNL1.AS1,0,1,0,1,0,0,0,0,0
RIMKLA,1,1,0,1,0,1,0,1,0
PPCS,1,1,0,1,0,1,0,1,0
CCDC30,1,1,0,1,0,1,0,1,0
AC098484.2,1,1,0,0,0,1,0,1,0
YBX1,0,0,0,1,0,0,0,1,0
C1orf50,1,1,0,1,0,1,0,1,0
AC098484.3,1,1,0,1,0,1,0,1,0
TMEM269,1,1,0,1,0,1,0,1,0
ZNF691,1,1,0,1,0,1,0,1,0
PTPRF,1,1,0,1,0,1,0,1,0
ST3GAL3,0,0,0,1,0,0,0,1,0
SLC6A9,0,1,0,0,0,1,0,0,0
RPS8,0,0,0,1,0,0,0,0,0
PLK3,1,1,0,1,0,1,0,1,0
PTCH2,1,1,0,1,0,1,0,1,0
LINC01144,1,1,0,1,0,1,0,1,0
MUTYH,1,0,0,1,0,1,0,1,0
TOE1,1,1,0,1,0,1,0,1,0
PRDX1,1,0,0,1,0,0,0,1,0
AL604028.1,0,1,0,0,0,1,0,0,0
MAST2,1,1,0,1,0,1,0,1,0
PIK3R3,0,0,0,1,0,0,0,0,0
POMGNT1,0,0,0,1,0,0,0,1,0
UQCRH,1,0,0,1,0,1,0,1,0
NSUN4,1,1,0,1,0,1,0,1,0
FAAH,1,1,0,1,0,1,0,1,0
MOB3C,1,1,0,1,0,1,0,0,0
EFCAB14,0,1,0,1,0,1,0,1,0
STIL,1,1,0,1,0,1,0,1,0
FOXD2.AS1,1,1,0,1,0,1,0,1,0
FOXD2,1,1,0,1,0,1,0,1,0
AL691459.1,0,0,0,1,0,0,0,0,0
AL050343.2,0,0,0,0,0,1,0,1,0
RAB3B,0,0,0,0,0,1,0,0,0
KTI12,1,1,0,1,0,1,0,0,0
CC2D1B,1,1,0,1,0,1,0,1,0
ORC1,1,1,0,1,0,1,0,1,0
COA7,1,1,0,0,0,1,0,0,0
ZYG11A,1,1,0,1,0,1,0,1,0
GLIS1,1,1,0,1,0,1,0,1,0
SSBP3.AS1,0,0,0,0,0,1,0,1,0
TTC4,1,1,0,1,0,1,0,0,0
DHCR24,1,0,0,0,0,0,0,1,0
AC119674.1,1,0,0,0,0,1,0,0,0
AC119674.2,1,1,0,1,0,1,0,1,0
PRKAA2,0,0,0,1,0,0,0,0,0
MYSM1,1,1,0,1,0,1,0,1,0
JUN,1,1,0,1,0,1,0,1,0
LINC01748,1,1,0,1,0,1,0,1,0
AC103923.1,0,0,0,0,0,1,0,0,0
EFCAB7,1,1,0,1,0,1,0,0,0
CACHD1,1,1,0,1,0,1,0,1,0
JAK1,0,0,0,0,0,1,0,0,0
LINC01359,0,1,0,1,0,1,0,0,0
AK4,1,0,0,0,0,0,0,1,0
PDE4B,1,1,0,1,0,1,0,1,0
WDR78,1,1,0,1,0,0,0,0,0
SLC35D1,1,1,0,1,0,1,0,1,0
GADD45A,1,1,0,1,0,1,0,1,0
DEPDC1,1,1,0,1,0,1,0,1,0
AL033530.1,1,1,0,1,0,0,0,0,0
FPGT.TNNI3K,0,0,0,1,0,0,0,0,0
CRYZ,1,0,0,0,0,1,0,0,0
LHX8,1,1,0,1,0,1,0,1,0
RABGGTB,1,1,0,0,0,1,0,1,0
MSH4,1,1,0,0,0,1,0,1,0
TPI1P1,0,0,0,0,0,0,0,1,0
ST6GALNAC5,0,0,0,0,0,1,0,0,0
AC113935.1,0,0,0,0,0,1,0,1,0
AK5,0,0,0,0,0,1,0,0,0
AC138392.1,0,0,0,1,0,0,0,0,0
PTGFR,0,0,0,0,0,1,0,0,0
ADGRL2,0,0,0,0,0,1,0,0,0
PRKACB,0,0,0,0,0,1,0,0,0
SAMD13,0,0,0,1,0,0,0,1,0
GNG5,0,0,0,1,0,0,0,0,0
SPATA1,1,0,0,0,0,0,0,0,0
WDR63,1,1,0,1,0,1,0,1,0
MCOLN3,1,1,0,1,0,1,0,1,0
AL603750.1,1,1,0,1,0,1,0,1,0
SYDE2,1,1,0,1,0,1,0,1,0
C1orf52,1,1,0,0,0,1,0,0,0
BCL10,1,1,0,0,0,1,0,0,0
DDAH1,0,1,0,0,0,1,0,0,0
CCN1,1,1,0,1,0,1,0,1,0
ZNHIT6,1,0,0,0,0,0,0,0,0
LRRC8D,1,1,0,0,0,1,0,0,0
BARHL2,1,1,0,1,0,1,0,1,0
ZNF644,1,1,0,1,0,1,0,1,0
HFM1,1,1,0,1,0,1,0,1,0
CDC7,0,0,0,1,0,0,0,0,0
TGFBR3,1,1,0,0,0,1,0,1,0
BTBD8,1,0,0,1,0,0,0,1,0
DIPK1A,1,1,0,1,0,1,0,1,0
CCDC18,1,0,0,0,0,0,0,0,0
F3,0,0,0,0,0,1,0,1,0
TLCD4.RWDD3,1,0,0,1,0,1,0,1,0
RPL7P9,0,0,0,1,0,1,0,1,0
PTBP2,1,1,0,1,0,1,0,1,0
MFSD14A,1,1,0,1,0,1,0,1,0
TRMT13,1,1,0,1,0,1,0,1,0
LRRC39,1,1,0,1,0,1,0,1,0
DBT,1,1,0,1,0,0,0,1,0
RTCA.AS1,0,1,0,0,0,0,0,0,0
CDC14A,1,1,0,1,0,1,0,1,0
EXTL2,0,0,0,0,0,1,0,0,0
AC104506.1,0,0,0,0,0,1,0,0,0
AC093157.1,1,0,0,0,0,0,0,0,0
S1PR1,1,1,0,1,0,1,0,1,0
FAM102B,1,1,0,0,0,1,0,1,0
PRPF38B,1,0,0,0,0,0,0,0,0
GPSM2,1,1,0,1,0,1,0,1,0
AL356488.3,0,1,0,0,0,1,0,1,0
TMEM167B,1,1,0,1,0,1,0,1,0
KIAA1324,1,1,0,0,0,1,0,0,0
CELSR2,1,1,0,1,0,1,0,1,0
ATXN7L2,1,1,0,1,0,1,0,1,0
STRIP1,0,0,0,0,0,0,0,1,0
AL160006.1,1,1,0,1,0,1,0,0,0
ALX3,0,0,0,1,0,0,0,0,0
UBL4B,0,0,0,1,0,0,0,1,0
SLC16A4,0,0,0,0,0,1,0,0,0
AL355488.1,0,0,0,1,0,0,0,0,0
KCNA2,1,1,0,0,0,1,0,1,0
LRIF1,1,1,0,1,0,1,0,1,0
AL360270.3,1,0,0,0,0,1,0,0,0
OVGP1,1,1,0,1,0,1,0,1,0
C1orf162,1,1,0,1,0,1,0,1,0
DDX20,1,1,0,1,0,1,0,1,0
ST7L,1,1,0,1,0,1,0,1,0
SLC16A1,1,1,0,1,0,1,0,1,0
SLC16A1.AS1,1,1,0,1,0,1,0,1,0
LRIG2,1,1,0,1,0,1,0,1,0
BCL2L15,1,1,0,0,0,1,0,1,0
AP4B1,1,1,0,1,0,1,0,1,0
SYT6,1,1,0,1,0,1,0,1,0
TRIM33,0,0,0,1,0,0,0,0,0
CSDE1,1,1,0,1,0,1,0,1,0
VANGL1,1,1,0,1,0,1,0,1,0
SLC22A15,1,1,0,1,0,1,0,1,0
ATP1A1,1,0,0,0,0,0,0,0,0
IGSF3,1,1,0,1,0,1,0,1,0
PTGFRN,1,1,0,1,0,1,0,1,0
CD101,1,1,0,1,0,1,0,1,0
TTF2,0,0,0,1,0,0,0,0,0
MAN1A2,1,1,0,0,0,1,0,1,0
TENT5C,1,1,0,1,0,1,0,1,0
SPAG17,0,0,0,0,0,0,0,1,0
TBX15,1,0,0,1,0,1,0,1,0
HAO2,1,1,0,0,0,1,0,0,0
LINC00622,0,1,0,0,0,0,0,0,0
PHGDH,1,1,0,1,0,1,0,1,0
NOTCH2,1,1,0,1,0,1,0,1,0
NBPF8,1,1,0,1,0,1,0,1,0
AC241952.2,1,1,0,1,0,1,0,1,0
NBPF26,1,0,0,0,0,0,0,0,0
EMBP1,1,1,0,1,0,1,0,1,0
AC245595.1,0,0,0,1,0,0,0,0,0
LINC01632,1,1,0,1,0,1,0,1,0
LINC01145,0,0,0,1,0,0,0,0,0
GPR89A,0,1,0,0,0,0,0,0,0
PDZK1,0,0,0,1,0,1,0,0,0
POLR3C,1,1,0,1,0,1,0,1,0
NUDT17,1,0,0,1,0,1,0,1,0
ANKRD35,0,0,0,1,0,0,0,0,0
LIX1L,1,1,0,1,0,1,0,1,0
TXNIP,1,1,0,1,0,1,0,1,0
NBPF10,1,0,0,1,0,0,0,1,0
AC239799.1,0,0,0,1,0,0,0,1,0
NBPF12,1,1,0,1,0,1,0,1,0
AC241584.2,1,1,0,0,0,0,0,0,0
PRKAB2,1,1,0,1,0,1,0,1,0
LINC00624,1,0,0,0,0,0,0,0,0
GPR89B,1,1,0,1,0,1,0,1,0
LINC02804,1,1,0,1,0,1,0,1,0
NBPF11,1,1,0,1,0,1,0,1,0
AC245100.4,1,1,0,1,0,1,0,1,0
AC239804.1,0,1,0,1,0,1,0,1,0
NOTCH2NLC,1,1,0,1,0,1,0,1,0
H2BC18,1,1,0,1,0,1,0,1,0
AC243772.2,0,1,0,1,0,1,0,0,0
H4C14,1,1,0,1,0,1,0,1,0
H3C14,1,1,0,1,0,1,0,1,0
H2BC19P,1,1,0,1,0,1,0,1,0
H2BC20P,1,0,0,1,0,0,0,1,0
H4C15,1,1,0,1,0,1,0,1,0
AC239868.1,0,0,0,1,0,0,0,1,0
H2BC21,1,1,0,1,0,1,0,1,0
SV2A,1,0,0,0,0,1,0,0,0
MTMR11,0,0,0,1,0,0,0,1,0
OTUD7B,1,1,0,1,0,1,0,0,0
ANP32E,0,1,0,0,0,1,0,1,0
PRPF3,1,1,0,1,0,1,0,1,0
RPRD2,1,1,0,1,0,1,0,1,0
ECM1,1,0,0,0,0,1,0,1,0
ADAMTSL4,1,0,0,0,0,0,0,1,0
CTSK,0,0,0,0,0,1,0,1,0
SETDB1,1,1,0,1,0,1,0,1,0
AL590133.2,0,0,0,0,0,0,0,1,0
MLLT11,0,0,0,1,0,0,0,0,0
ZNF687,1,1,0,1,0,1,0,1,0
POGZ,1,1,0,1,0,1,0,1,0
TUFT1,1,1,0,1,0,1,0,1,0
CELF3,0,0,0,0,0,0,0,1,0
OAZ3,0,1,0,1,0,0,0,0,0
TDRKH.AS1,0,0,0,0,0,0,0,1,0
S100A10,1,0,0,1,0,0,0,1,0
S100A11,1,0,0,1,0,0,0,1,0
TCHH,0,0,0,0,0,1,0,0,0
S100A14,0,1,0,0,0,1,0,0,0
CHTOP,1,1,0,1,0,1,0,1,0
CRTC2,1,1,0,0,0,1,0,1,0
JTB,1,0,0,1,0,0,0,0,0
AL358472.6,1,1,0,0,0,1,0,0,0
AL358472.2,0,0,0,0,0,0,0,1,0
RAB13,1,1,0,1,0,1,0,1,0
RPS27,1,0,0,0,0,0,0,0,0
IL6R,1,1,0,1,0,1,0,1,0
AL606500.1,1,1,0,1,0,1,0,1,0
PBXIP1,1,1,0,0,0,1,0,0,0
FLAD1,1,1,0,1,0,1,0,1,0
EFNA4,1,1,0,1,0,1,0,1,0
EFNA1,1,1,0,0,0,1,0,1,0
KRTCAP2,1,0,0,1,0,0,0,0,0
TRIM46,1,1,0,1,0,1,0,1,0
GBAP1,1,1,0,1,0,1,0,1,0
FAM189B,1,1,0,1,0,1,0,1,0
CLK2,1,1,0,1,0,1,0,1,0
HCN3,1,1,0,1,0,1,0,1,0
YY1AP1,1,1,0,1,0,1,0,1,0
MSTO2P,1,1,0,1,0,1,0,1,0
GON4L,1,1,0,1,0,1,0,1,0
RIT1,1,1,0,1,0,1,0,1,0
KHDC4,1,1,0,1,0,1,0,1,0
SLC25A44,1,1,0,0,0,1,0,0,0
PMF1.BGLAP,1,1,0,0,0,0,0,0,0
TMEM79,1,1,0,1,0,1,0,1,0
IQGAP3,1,1,0,1,0,1,0,1,0
CRABP2,0,0,0,1,0,0,0,0,0
RRNAD1,1,1,0,1,0,1,0,1,0
NTRK1,1,0,0,0,0,1,0,1,0
SMU1P1,1,0,0,0,0,0,0,0,0
ETV3,1,0,0,1,0,0,0,0,0
LINC02772,1,1,0,1,0,1,0,1,0
KIRREL1,1,1,0,1,0,1,0,1,0
IGSF9,0,0,0,0,0,0,0,1,0
AL121987.2,1,0,0,0,0,0,0,0,0
AL139011.2,1,1,0,1,0,0,0,0,0
NHLH1,0,0,0,0,0,1,0,0,0
VANGL2,1,1,0,1,0,1,0,0,0
NECTIN4,0,1,0,0,0,1,0,0,0
MPZ,0,0,0,1,0,0,0,1,0
AL592295.4,0,1,0,0,0,0,0,0,0
DUSP12,1,1,0,1,0,1,0,1,0
NOS1AP,1,1,0,1,0,1,0,1,0
AL512785.2,0,0,0,1,0,0,0,0,0
C1orf226,1,1,0,1,0,1,0,1,0
UHMK1,1,1,0,1,0,1,0,1,0
DDR2,1,1,0,0,0,1,0,0,0
RGS4,1,1,0,1,0,1,0,1,0
RGS5,1,0,0,1,0,0,0,0,0
AL391001.1,1,0,0,1,0,1,0,1,0
MGST3,1,1,0,1,0,1,0,1,0
UCK2,1,1,0,1,0,1,0,1,0
GPA33,1,0,0,0,0,0,0,0,0
GPR161,1,1,0,1,0,1,0,1,0
SFT2D2,1,1,0,0,0,1,0,1,0
TBX19,1,1,0,1,0,1,0,1,0
XCL1,1,1,0,0,0,0,0,0,0
Z99572.1,1,1,0,1,0,1,0,1,0
C1orf112,1,1,0,1,0,1,0,1,0
METTL18,1,1,0,1,0,1,0,1,0
SCYL3,1,1,0,1,0,1,0,1,0
METTL11B,1,1,0,0,0,1,0,0,0
GORAB.AS1,0,0,0,1,0,0,0,0,0
GORAB,1,1,0,1,0,1,0,1,0
FMO1,0,0,0,0,0,0,0,1,0
AL031274.1,0,0,0,1,0,0,0,0,0
VAMP4,1,1,0,1,0,0,0,1,0
DNM3.IT1,0,1,0,0,0,1,0,0,0
AL645568.1,1,1,0,1,0,1,0,1,0
PRDX6,1,0,0,1,0,0,0,1,0
KLHL20,1,1,0,1,0,1,0,1,0
CENPL,1,1,0,1,0,1,0,0,0
DARS2,1,1,0,0,0,1,0,1,0
GAS5,0,0,0,0,0,0,0,1,0
ZBTB37,0,1,0,0,0,1,0,0,0
RC3H1,0,1,0,0,0,1,0,0,0
RABGAP1L,0,0,0,1,0,0,0,0,0
CACYBP,0,0,0,0,0,0,0,1,0
AL365357.1,1,0,0,0,0,0,0,0,0
AXDND1,1,1,0,1,0,1,0,1,0
AL160286.1,0,1,0,1,0,0,0,1,0
TDRD5,1,0,0,0,0,1,0,1,0
AL353708.3,0,1,0,0,0,1,0,1,0
LINC02816,1,1,0,0,0,1,0,0,0
ZNF648,0,0,0,1,0,0,0,0,0
RNASEL,0,0,0,1,0,0,0,0,0
LAMC2,1,1,0,1,0,1,0,0,0
NMNAT2,0,0,0,0,0,1,0,0,0
ARPC5,1,1,0,1,0,1,0,1,0
RGL1,1,1,0,1,0,1,0,1,0
EDEM3,0,1,0,0,0,1,0,1,0
AL078644.2,0,0,0,0,0,0,0,1,0
ODR4,1,1,0,1,0,1,0,1,0
PDC.AS1,1,1,0,1,0,1,0,1,0
PTGS2,0,1,0,1,0,1,0,1,0
BRINP3,1,1,0,1,0,1,0,1,0
RPS27AP5,1,1,0,1,0,1,0,0,0
RGS2,1,1,0,1,0,1,0,1,0
B3GALT2,1,1,0,0,0,0,0,0,0
LINC01031,1,1,0,0,0,1,0,0,0
KCNT2,1,1,0,1,0,0,0,1,0
ASPM,0,1,0,0,0,1,0,0,0
SEPTIN14P12,0,1,0,0,0,0,0,0,0
ZNF281,1,1,0,1,0,1,0,1,0
DDX59,1,1,0,0,0,1,0,0,0
KIF21B,1,1,0,0,0,1,0,1,0
AL358473.1,1,0,0,0,0,1,0,0,0
PHLDA3,0,1,0,1,0,1,0,1,0
CSRP1,1,0,0,1,0,0,0,1,0
SHISA4,1,1,0,1,0,1,0,1,0
AL513217.1,0,1,0,0,0,1,0,0,0
PTPN7,0,0,0,1,0,0,0,0,0
PPP1R12B,1,1,0,1,0,1,0,1,0
SYT2,1,1,0,1,0,1,0,1,0
AC098934.2,0,0,0,0,0,1,0,0,0
KLHL12,0,0,0,1,0,0,0,0,0
LINC01136,0,0,0,1,0,0,0,0,0
BTG2,0,0,0,0,0,1,0,0,0
ZBED6,1,1,0,0,0,1,0,1,0
NUAK2,1,1,0,1,0,1,0,1,0
KLHDC8A,0,1,0,0,0,1,0,0,0
NUCKS1,1,1,0,1,0,1,0,1,0
PM20D1,1,1,0,1,0,1,0,1,0
RASSF5,1,0,0,0,0,0,0,0,0
AL591846.2,1,0,0,0,0,0,0,0,0
C4BPAP1,0,0,0,1,0,0,0,0,0
AL445493.2,1,0,0,0,0,0,0,0,0
CD46,1,1,0,1,0,1,0,1,0
MIR29B2CHG,0,0,0,1,0,0,0,0,0
CD34,0,0,0,0,0,1,0,0,0
G0S2,0,1,0,0,0,0,0,0,0
C1orf74,1,1,0,1,0,1,0,1,0
IRF6,0,1,0,0,0,0,0,0,0
UTP25,1,1,0,1,0,1,0,1,0
SYT14,0,0,0,0,0,1,0,0,0
RCOR3,1,1,0,1,0,1,0,1,0
SLC30A1,1,1,0,1,0,1,0,0,0
LPGAT1,1,1,0,0,0,1,0,1,0
DTL,1,1,0,1,0,1,0,1,0
RPL21P28,0,0,0,0,0,1,0,0,0
ATF3,1,1,0,1,0,1,0,1,0
FLVCR1,1,1,0,1,0,0,0,0,0
VASH2,1,1,0,1,0,1,0,1,0
CENPF,0,1,0,0,0,1,0,0,0
GPATCH2,1,1,0,1,0,1,0,1,0
AC096642.1,1,0,0,0,0,0,0,0,0
AC096642.2,0,0,0,1,0,1,0,1,0
SLC30A10,1,1,0,1,0,1,0,1,0
EPRS1,1,1,0,0,0,1,0,0,0
RAB3GAP2,1,1,0,1,0,1,0,1,0
MTARC2,1,1,0,1,0,1,0,1,0
HLX,1,1,0,1,0,1,0,1,0
DUSP10,1,1,0,1,0,1,0,1,0
AL513314.2,1,1,0,1,0,1,0,1,0
HHIPL2,1,1,0,1,0,1,0,1,0
TAF1A,1,1,0,1,0,1,0,1,0
TAF1A.AS1,1,1,0,1,0,1,0,1,0
AL592148.3,1,1,0,1,0,1,0,1,0
AIDA,1,1,0,1,0,1,0,1,0
AL929091.1,0,0,0,1,0,1,0,0,0
GTF2IP20,1,1,0,1,0,1,0,1,0
FBXO28,1,1,0,0,0,1,0,0,0
NVL,1,1,0,1,0,1,0,1,0
CNIH4,1,1,0,1,0,1,0,1,0
CNIH3.AS2,0,0,0,0,0,1,0,0,0
DNAH14,1,1,0,1,0,1,0,0,0
LBR,1,1,0,0,0,1,0,1,0
AL591895.1,0,0,0,1,0,0,0,0,0
TMEM63A,1,1,0,1,0,1,0,1,0
SDE2,1,1,0,1,0,1,0,1,0
H3.3A,1,1,0,1,0,1,0,1,0
LIN9,1,1,0,1,0,1,0,1,0
PARP1,1,0,0,1,0,0,0,1,0
STUM,1,1,0,1,0,1,0,1,0
ITPKB,1,0,0,0,0,1,0,1,0
ZNF678,1,1,0,1,0,1,0,1,0
AL731702.1,0,0,0,1,0,1,0,0,0
C1orf35,1,1,0,0,0,1,0,1,0
OBSCN.AS1,1,0,0,0,0,1,0,0,0
OBSCN,1,1,0,1,0,1,0,1,0
TRIM11,1,1,0,1,0,1,0,1,0
H2AW,0,0,0,0,0,1,0,0,0
H2BU1,1,1,0,1,0,1,0,1,0
RHOU,1,1,0,1,0,1,0,1,0
LINC02814,1,1,0,1,0,1,0,1,0
RAB4A,1,1,0,1,0,1,0,1,0
CCSAP,1,1,0,1,0,1,0,1,0
GALNT2,1,1,0,1,0,0,0,0,0
AL136988.1,0,0,0,0,0,0,0,1,0
C1orf131,0,1,0,0,0,0,0,0,0
EXOC8,0,0,0,1,0,0,0,0,0
SPRTN,1,1,0,1,0,1,0,1,0
DISC1,1,0,0,1,0,0,0,1,0
PCNX2,1,1,0,1,0,1,0,1,0
MAP3K21,0,0,0,0,0,1,0,1,0
IRF2BP2,1,1,0,1,0,1,0,1,0
ARID4B,1,0,0,0,0,0,0,0,0
