,U1-mut2-100-CHX_vs_DMSO,U1-mut2-100-CHX_vs_DMSO-CHX,U1-mut2-100-CHX_vs_mut2-100,U1-mut2-100-EtOH_vs_DMSO,U1-mut2-100-CHX_vs_WT_EtOH,U1-mut2-100-CHX_vs_WT_CHX,U1-mut2-100-EtOH_vs_WT_EtOH,U1-mut2-500-CHX_vs_DMSO,U1-mut2-500-CHX_vs_DMSO-CHX,U1-mut2-500-CHX_vs_mut5-500,U1-mut2-500-EtOH_vs_DMSO,U1-mut2-500-CHX_vs_WT_EtOH,U1-mut2-500-CHX_vs_WT_CHX,U1-mut2-500-EtOH_vs_WT_EtOH
PTAFR,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL353622.1,0,0,0,0,0,0,0,1,1,1,0,1,1,0
SESN2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MED18,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SNHG3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AL513497.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SNHG12,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GMEB1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YTHDF2,1,0,1,0,1,0,0,1,0,0,0,0,0,0
MECR,1,0,1,0,1,0,0,0,0,0,0,0,0,0
MATN1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MATN1.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC01778,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SDC3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NKAIN1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
ZCCHC17,0,0,1,0,1,0,0,0,0,0,0,1,0,0
SERINC2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC114488.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SPOCD1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TMEM39B,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CCDC28B,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AL049795.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IQCC,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MARCKSL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FAM229A,0,0,0,0,0,0,0,1,0,1,0,1,0,0
BSDC1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
YARS1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S100PBP,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HPCA,1,0,0,0,0,0,0,1,0,0,0,1,0,0
ZSCAN20,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DLGAP3,0,0,0,0,0,0,0,0,0,1,1,0,1,1
AC114490.3,1,0,0,0,1,0,0,1,0,0,0,0,0,0
AC114490.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
TMEM35B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZMYM6,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AL590434.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC004865.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PSMB2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C1orf216,0,0,0,0,0,0,0,0,0,1,0,1,0,0
AGO4,1,0,1,0,1,0,0,0,0,1,0,1,0,0
AGO1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADPRS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
OSCP1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZC3H12A,1,0,1,0,1,0,0,0,0,1,0,1,0,0
RSPO1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C1orf109,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YRDC,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MTF1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
NDUFS5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PPIEL,1,0,1,0,0,0,0,1,0,1,0,1,0,0
HPCAL4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
OXCT2,1,0,1,0,1,0,0,0,0,0,0,1,0,0
TRIT1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MYCL,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MFSD2A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPT1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RLF,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL050341.2,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AL031985.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL603839.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EXO5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZNF684,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RIMS3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NFYC.AS1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
KCNQ4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RIMKLA,1,0,1,0,0,0,0,0,0,1,0,0,0,0
PPCS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCDC30,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC098484.2,1,0,1,0,0,0,0,1,0,1,0,1,0,0
YBX1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
C1orf50,1,0,1,0,1,0,0,0,0,1,0,0,0,0
AC098484.3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TMEM269,1,0,1,0,1,0,0,1,1,1,0,1,0,0
ZNF691,1,0,1,0,1,0,0,1,0,1,0,1,0,0
EBNA1BP2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CDC20,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PTPRF,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ST3GAL3,0,0,1,0,1,0,0,0,0,0,0,1,0,0
ARTN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL357079.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLC6A9,1,0,0,0,0,0,0,1,1,0,1,1,0,0
AL139220.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AL035417.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RPS8,0,0,0,0,0,0,0,0,0,1,0,1,0,0
PLK3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BTBD19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PTCH2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC01144,1,0,1,0,0,0,0,1,0,0,0,0,0,0
MUTYH,1,0,1,0,1,0,0,0,0,1,0,1,0,0
TOE1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCDC163,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PRDX1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MAST2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
POMGNT1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
LURAP1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
UQCRH,0,0,1,0,1,0,0,0,0,1,0,0,0,0
NSUN4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FAAH,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MOB3C,1,0,1,0,1,0,0,1,0,1,0,0,0,0
EFCAB14,1,0,1,0,1,0,0,0,0,1,0,0,0,0
CYP4A22.AS1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
STIL,1,0,1,0,1,0,0,1,0,0,0,1,0,0
FOXD2.AS1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
FOXD2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
RAB3B,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KTI12,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ZFYVE9,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CC2D1B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ORC1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
RPS13P2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ZYG11A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SCP2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LINC01771,0,0,0,0,0,0,0,1,0,1,0,0,0,0
GLIS1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
HSPB11,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HNRNPA3P12,1,0,1,0,1,0,0,0,0,0,0,0,0,0
MRPL37,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TTC4,1,0,1,0,1,0,0,1,0,0,0,0,0,0
DHCR24,0,0,0,0,1,0,0,1,0,1,0,1,0,0
AC119674.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC119674.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PRKAA2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MYSM1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
JUN,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FGGY,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LINC01748,1,0,1,0,1,0,0,1,0,1,0,1,0,0
EFCAB7,1,0,0,0,0,0,0,1,0,1,0,1,0,0
DLEU2L,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PGM1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CACHD1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
JAK1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LINC01359,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AK4,0,0,0,0,0,0,0,1,0,1,0,1,0,0
PDE4B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
WDR78,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SLC35D1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GADD45A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CTBP2P8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DEPDC1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
AL033530.1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
CTH,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC135803.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CRYZ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LHX8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RABGGTB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MSH4,1,0,0,0,1,0,0,1,0,1,0,1,0,0
TPI1P1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC113935.1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
AK5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MIGA1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC138392.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NEXN,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PTGFR,0,0,0,0,0,0,0,1,1,1,0,1,0,0
IFI44L,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADGRL2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AL359504.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SAMD13,0,0,1,0,1,0,0,0,0,1,1,0,0,0
UOX,0,0,0,0,0,0,0,1,0,0,0,1,0,0
GNG5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL359762.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SPATA1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
MCOLN2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WDR63,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MCOLN3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL603750.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SYDE2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
C1orf52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
BCL10,1,0,1,0,0,0,0,1,0,1,0,1,0,0
DDAH1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092807.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCN1,1,0,1,0,1,0,0,1,1,1,0,1,0,0
ZNHIT6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LINC02795,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LINC01140,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PKN2.AS1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GTF2B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GBP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PTGES3P1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GBP2,0,0,0,0,0,0,0,1,1,0,1,1,1,1
LRRC8D,1,0,0,0,0,0,0,1,0,0,0,0,0,0
BARHL2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PHKA1P1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ZNF644,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HFM1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CDC7,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TGFBR3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BTBD8,0,0,1,0,1,0,0,0,0,1,0,1,0,0
RPL5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DIPK1A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCDC18,0,0,0,0,0,0,0,1,0,1,0,1,0,0
CCDC18.AS1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
TLCD4.RWDD3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
EEF1A1P11,0,0,1,0,0,0,0,0,0,0,0,1,0,0
RPL7P9,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PTBP2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PALMD,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC118553.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MFSD14A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TRMT13,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRRC39,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DBT,0,0,1,0,1,0,0,0,0,1,0,0,0,0
CDC14A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC104506.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC093157.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
S1PR1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
RNPC3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AMY2B,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SLC25A24,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAM102B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PRPF38B,0,0,0,0,0,0,0,1,0,1,0,1,0,0
GPSM2,1,0,1,0,1,0,0,0,0,1,0,1,0,0
WDR47,0,0,0,0,0,0,0,1,0,0,0,1,0,0
BX679664.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL356488.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM167B,1,0,1,0,1,0,0,1,0,0,0,1,0,0
KIAA1324,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CELSR2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ATXN7L2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GNAT2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GSTM2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
STRIP1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
AL160006.1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
RBM15,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AL355488.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCNA2,1,0,1,0,0,0,0,1,0,1,0,1,0,0
KCNA3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AL360270.2,0,0,0,0,1,0,0,1,0,0,1,1,1,1
LRIF1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL360270.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PIFO,0,0,0,0,0,0,0,1,0,0,0,1,0,0
OVGP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL390195.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
C1orf162,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC01160,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DDX20,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KCND3,0,0,0,0,0,0,0,0,1,0,0,0,1,1
AL354760.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ST7L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PPM1J,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLC16A1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC16A1.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRIG2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL391058.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
BCL2L15,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AP4B1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SYT6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TRIM33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMPD1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
NRAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSDE1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
