,BIO2197294-CHX_vs_DMSO,BIO2197294-CHX_vs_DMSO-CHX,BIO2197294-CHX_vs_7294,BIO2197294-EtOH_vs_DMSO,BIO2197294-EtOH_vs_U1_WT100_EtOH,BIO2197294-EtOH_vs_U1_WT500_EtOH,BIO2197294-CHX_vs_U1_WT100_CHX,BIO2197294-CHX_vs_U1_WT500_CHX,BIO2197294-EtOH_vs_U1_U1_mut1_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut1_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut1_100_CHX,BIO2197294-CHX_vs_U1_U1_mut1_500_CHX,BIO2197294-EtOH_vs_U1_U1_mut2_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut2_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut2_100_CHX,BIO2197294-CHX_vs_U1_U1_mut2_500_CHX
ZBTB48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THAP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PER3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL034417.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR34AHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H6PD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3CD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NMNAT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE4B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPS.CORT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL109811.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL109811.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DISP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
C1orf167,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTHFR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCN6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM131C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EPHA2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARHGEF19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CROCCP2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MST1P2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BX284668.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP13A2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR7L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR7A3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC66A1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ECE1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ECE1.AS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPG2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
LINC00339,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LUZP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF436,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF436.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ASAP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ID3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNLR1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRHL3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
CLIC4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYF2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RSRP1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SELENON,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAFAH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CNKSR1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CATSPER4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3BGRL3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DHDDS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPATCH3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TENT5B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WDTC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GPR3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WASF2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IFI6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPA2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTAFR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL353622.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SESN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MED18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SNHG3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL513497.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SNHG12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YTHDF2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OPRD1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MATN1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MATN1.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SDC3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SERINC2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TINAGL1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM39B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL049795.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCDC28B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IQCC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCKSL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM229A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BSDC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100PBP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL662907.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZSCAN20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC114490.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMYM6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004865.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPRS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H12A,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
C1orf109,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YRDC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL139260.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIEL,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
HPCAL4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OXCT2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MYCL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RLF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL603839.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EXO5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF684,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMS3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NFYC.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNQ4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMKLA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPCS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC098484.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBX1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC098484.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM269,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF691,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPRF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3GAL3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AL357079.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLC6A9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
PLK3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUTYH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOE1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAST2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UQCRH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NSUN4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAAH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOB3C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A22.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STIL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXD2.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FOXD2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KTI12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC2D1B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COA7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZYG11A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC119674.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC119674.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAA2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MYSM1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01748,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACHD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE4B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SGIP1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
WDR78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35D1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GADD45A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPDC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL033530.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHX8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RABGGTB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSH4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138392.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PTGFR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MCOLN3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL603750.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYDE2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LINC02795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093155.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
LINC01140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LRRC8D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GEMIN8P4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC098656.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BARHL2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092805.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZNF644,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HFM1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFBR3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DIPK1A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TLCD4.RWDD3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTBP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFSD14A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRMT13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC39,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
DBT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RTCA.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CDC14A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093157.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S1PR1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM102B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPSM2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BX679664.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL356488.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM167B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELSR2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATXN7L2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AL160006.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UBL4B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC16A4,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
AL355488.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNA2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL360270.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LRIF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL355816.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OVGP1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
C1orf162,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ST7L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC16A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC16A1.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRIG2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL391058.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AP4B1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OLFML3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SYT6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPD1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSDE1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TSPAN2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VANGL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAP1L4P1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IGSF3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGFRN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN1A2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TENT5C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBX15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HAO2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHGDH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTCH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC241952.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02798,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
EMBP1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01632,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC239860.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PDZK1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
POLR3C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LIX1L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TXNIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC241584.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAB2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR89B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02804,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC239809.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC245100.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC245100.4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AC239804.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTCH2NLC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC243772.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H4C14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H3C14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC19P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC20P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H4C15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC239868.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2AC21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SV2A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTMR11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTUD7B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANP32E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRPF3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPRD2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTSL4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SETDB1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF687,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL391069.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POGZ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TUFT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CELF3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
OAZ3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TDRKH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S100A10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S100A11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHTOP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPR1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CRTC2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
IL6R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRNB2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AL606500.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PBXIP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
