,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2199562_10x_vs_GM_DMSO,dPSI_GM_BIO_2199562_3x_vs_GM_DMSO
CSF1,NA,NA,0.349252324665896,NA
CTNS,NA,NA,0.299003431089399,NA
DCAF17,NA,NA,0.67857725337058,NA
DDX42,NA,NA,0.325597362982342,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,NA,NA
DHFR,NA,NA,0.648771781058712,0.318715929075788
DIAPH3,NA,NA,0.735,NA
DLGAP4,NA,NA,0.314112051202442,0.469
DNAJC27,NA,NA,0.300580222112476,NA
DPH1,NA,NA,0.58466287505145,NA
DRG2,0.304,NA,NA,NA
DYRK1A,NA,NA,0.574,NA
EIF4A1,NA,NA,NA,0.300752777799051
ELF2,NA,NA,0.258840183541741,NA
ELMO2,NA,NA,0.325,NA
ELOVL6,NA,NA,0.312399227973414,NA
EMSY,NA,NA,0.679106655442608,NA
ENAH,NA,NA,0.6281,0.4213
ENOX1,NA,NA,0.4634,NA
ERGIC3,NA,NA,0.666,0.429
ERRFI1,NA,NA,0.7627,NA
EVC,NA,NA,0.891839711320226,0.480243861899789
EXOC6B,NA,NA,0.802,0.362
FAAP20,NA,NA,0.571,0.351
FAM162A,0.316042385012033,NA,0.316544855725826,NA
FAM174A,0.302543099531048,NA,0.42626175712541,NA
FAM3A,NA,NA,0.5691,NA
FAM86FP,NA,NA,0.275529872981227,NA
FBN2,0.748154577611698,0.689503472893666,0.755953794173475,0.752474319464648
FBXO31,NA,NA,0.284193701488011,NA
FCHO2,NA,NA,0.452387385861028,NA
FOXM1,0.457,NA,0.339,NA
GALC,0.462,NA,0.597,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,0.3808,0.3672
GNAQ,NA,NA,0.5755,NA
GNG12,NA,NA,0.868077519288567,0.767960089852008
GOLGB1,NA,NA,0.265144167484211,NA
GPSM2,NA,NA,0.335235736995818,NA
GSDMB,0.408310001574108,NA,0.318295957763786,NA
GXYLT1,NA,NA,0.79698448875199,0.265883872860215
HAUS3,NA,NA,0.296110527888722,0.5061
HDX,NA,NA,0.728,0.360914644935961
HIKESHI,0.369,NA,NA,NA
HMGA2,NA,NA,0.748272122634529,NA
HTT,NA,NA,0.936374262269994,0.640263744323262
IFT57,NA,NA,0.338983066308802,NA
INVS,NA,NA,0.5128,NA
IVD,NA,NA,0.3808,NA
KDM6A,NA,NA,0.958,0.591
L3MBTL2,NA,NA,0.375421450540481,NA
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.931,0.776
LARS1,NA,NA,NA,0.441
LCMT1,NA,NA,0.311,NA
LINC00578,NA,NA,0.5653,NA
LINC00662,NA,NA,0.306,NA
LINC00707,NA,NA,0.7416,NA
LINC02210,NA,NA,0.695,0.36227045472269
LNPK,NA,NA,0.327966097851869,NA
LOXL1.AS1,NA,NA,0.282014585098033,NA
LRRC42,NA,NA,0.687,0.6
LYRM1,NA,NA,0.743,0.504
MADD,NA,NA,0.967,0.358
MAN1A2,NA,NA,0.365754131802023,NA
MAOA,NA,NA,0.9705,NA
MDN1,NA,NA,0.274626420765492,NA
MED1,NA,NA,NA,0.38929237921412
MEDAG,NA,NA,0.303951719343579,NA
MELTF,NA,NA,0.5254,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MLLT10,NA,NA,0.931583280005289,0.323400445135892
MMS19,NA,NA,0.276703895562632,NA
MMS22L,NA,NA,0.688609862274431,NA
MRPL39,NA,NA,0.499399969981922,NA
MTMR3,NA,NA,0.411526147399248,NA
MYCBP2,NA,NA,0.46,0.331
NGF,0.557932602094686,0.316605428815716,0.61477857989202,0.287788469227536
NOP56,NA,NA,0.254263960539553,NA
NT5C2,NA,NA,0.261533472248337,NA
NUP58,NA,NA,0.43,NA
OCLNP1,NA,NA,0.9709,NA
ODR4,NA,NA,0.589045046366016,NA
PCOTH,NA,NA,0.499020488165123,NA
PDE7A,0.391775711056322,NA,0.891,0.77755553671489
PDXDC1,0.417331733850713,NA,0.932542198648711,0.631982118038721
PDXDC2P,0.7405,NA,0.9742,0.8518
PI16,NA,NA,0.7267,NA
PITPNB,NA,NA,0.699297727174094,NA
PMS1,0.30167652602251,NA,0.353882443974832,NA
PNISR,NA,NA,0.498543759995604,0.256250667630813
POMT2,0.766,0.388,0.956,0.798
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.287505173072317,NA
PRKACB,NA,NA,0.6178,NA
PRUNE2,0.494,NA,0.347,NA
RAB2B,NA,NA,0.534123552526903,NA
RAF1,NA,NA,0.338952302078079,NA
RAP1A,NA,NA,0.349,NA
RAPGEF1,0.314,NA,NA,NA
RARS1,NA,NA,0.3521,NA
RBBP8,NA,NA,0.339195279991188,NA
RBKS,NA,NA,0.573954116232933,NA
RCC1,NA,NA,0.557420985400688,0.598356259591353
RERE,NA,NA,0.4144,NA
SAR1A,0.7061,NA,NA,NA
SCO1,NA,NA,0.362,NA
SDCBP2.AS1,NA,NA,0.445,0.354
SENP6,0.74,NA,0.259402661577904,0.4296
SERGEF,0.253778290139916,NA,0.251966059624986,NA
SETDB2,NA,NA,0.251027420533139,NA
SF3B3,NA,NA,0.666046806440563,NA
SGIP1,NA,NA,0.4618,NA
SH3YL1,NA,NA,0.485,0.303
SHOC2,NA,NA,0.4961,NA
SKP1,NA,NA,0.32909804399035,0.481
SLC16A7,NA,NA,0.280022018784208,NA
SLC25A17,0.399,NA,0.452,NA
SLC7A6,0.313667986220715,NA,0.592,0.326
SMN2,0.45,0.382,0.451,0.422
SMTN,NA,NA,0.419,NA
SNAP23,0.328,NA,NA,NA
SNHG14,NA,NA,0.344,NA
SOS2,0.277630626748413,NA,NA,NA
SPATA18,NA,NA,0.331,NA
SPG7,NA,NA,NA,0.331
SPIDR,NA,NA,0.745965033144471,0.483708156577475
SPRYD7,NA,NA,0.254965948918683,NA
SREK1,NA,NA,0.715,NA
STRADB,NA,NA,0.265433130789461,NA
STRN3,0.625,0.337,0.842,0.719
STRN4,NA,NA,0.337,NA
STXBP6,NA,NA,0.568,NA
SUPT20H,NA,NA,0.277708710466629,NA
SYNE1,NA,NA,0.3882,NA
TAF2,NA,NA,0.757,0.577
TBL1XR1,NA,NA,0.325212369785754,NA
TCF4,NA,NA,0.3723,NA
TENT2,NA,NA,0.463266858909282,0.299061218981379
TEX26.AS1,0.4807,NA,0.7181,NA
THADA,NA,NA,0.340195798169077,NA
TIAM1,NA,NA,0.626759518689742,0.624682209940065
TJP2,NA,NA,0.436600865039204,NA
TLR4,NA,NA,0.348,NA
TMEM214,NA,NA,0.395836169800693,NA
TMEM50B,NA,NA,0.414,NA
TNRC6A,NA,NA,0.617422327541185,NA
TNS3,NA,NA,0.49676187912593,NA
TP53INP1,NA,NA,0.325,NA
TPTEP2,0.792531134808141,0.5217,0.618858999407031,NA
TRAF1,NA,NA,0.437837367308969,NA
TRIM65,NA,NA,0.337,0.337
URGCP,NA,NA,0.6078,NA
USP9Y,NA,NA,0.492793501524581,NA
VPS29,0.301,NA,0.845,0.535
WDR27,NA,NA,0.6857,0.4896
WDR90,NA,NA,0.8297,NA
WDR91,0.304616495223268,NA,NA,NA
WNK1,NA,NA,0.619192416094283,NA
XRN2,NA,NA,0.680132548966671,NA
ZFP82,NA,NA,0.640947914429046,0.447081826785102
ZMIZ2,NA,NA,0.322212086040419,NA
ZMYM6,NA,NA,0.85858699049487,NA
ZNF138,NA,NA,0.580642659832795,NA
ZNF25,NA,NA,0.280134831838292,NA
ZNF350,NA,NA,0.372460360591528,NA
ZNF467,0.31,NA,NA,NA
ZNF544,NA,NA,0.5181,NA
ZNF577,NA,NA,NA,0.321
ZNF618,NA,NA,0.51,NA
ZNF680,NA,NA,0.617853839099192,NA
