chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI
chrX,-,HDX,ENSG00000165259.14,SE,rmats,0,0,-0.411,60.3333333333333,0.02,0.431,exonStart_0base:84501428|exonEnd:84501511|upstreamES:84475250|upstreamEE:84475397|downstreamES:84502341|downstreamEE:84502453|IJC_SAMPLE_1:3;2;0|SJC_SAMPLE_1:58;32;66|IJC_SAMPLE_2:61;59;61|SJC_SAMPLE_2:38;42;51|IncFormLen:182|SkipFormLen:99|PSI_1_persub:0.027;0.033;0.0|PSI_2_persub:0.466;0.433;0.394,,NA,,,NA
chr16,-,AXIN1,ENSG00000103126.15,SE,rmats,0,0,-0.349,102.333333333333,0.141666666666667,0.490666666666667,exonStart_0base:291189|exonEnd:291297|upstreamES:289439|upstreamEE:289607|downstreamES:293487|downstreamEE:293718|IJC_SAMPLE_1:25;21;35|SJC_SAMPLE_1:84;75;75|IJC_SAMPLE_2:90;107;110|SJC_SAMPLE_2:50;50;52|IncFormLen:207|SkipFormLen:99|PSI_1_persub:0.125;0.118;0.182|PSI_2_persub:0.463;0.506;0.503,,NA,,,NA
chr5,-,ARL15,ENSG00000185305.11,SE,rmats,0.000548437638789,8.06903900918e-07,-0.673,54,0.238333333333333,0.911,exonStart_0base:54307887|exonEnd:54307946|upstreamES:54171783|upstreamEE:54171928|downstreamES:54310294|downstreamEE:54310415|IJC_SAMPLE_1:0;0;4|SJC_SAMPLE_1:2;7;1|IJC_SAMPLE_2:32;55;75|SJC_SAMPLE_2:2;3;5|IncFormLen:158|SkipFormLen:99|PSI_1_persub:0.0;0.0;0.715|PSI_2_persub:0.909;0.92;0.904,,NA,,,NA
chr5,-,ARL15,ENSG00000185305.11,SE,rmats,0,0,-0.454,96.3333333333333,0.0416666666666667,0.495666666666667,exonStart_0base:54307887|exonEnd:54307946|upstreamES:54171783|upstreamEE:54171928|downstreamES:54310431|downstreamEE:54310582|IJC_SAMPLE_1:3;4;11|SJC_SAMPLE_1:103;112;74|IJC_SAMPLE_2:64;89;113|SJC_SAMPLE_2:49;63;54|IncFormLen:158|SkipFormLen:99|PSI_1_persub:0.018;0.022;0.085|PSI_2_persub:0.45;0.47;0.567,,NA,,,NA
chr14,-,STRN3,ENSG00000196792.12,SE,rmats,0,0,-0.362,127.666666666667,0.0626666666666667,0.424666666666667,exonStart_0base:30918965|exonEnd:30919106|upstreamES:30913523|upstreamEE:30913657|downstreamES:30935162|downstreamEE:30935304|IJC_SAMPLE_1:14;22;27|SJC_SAMPLE_1:117;130;136|IJC_SAMPLE_2:59;74;47|SJC_SAMPLE_2:32;27;43|IncFormLen:240|SkipFormLen:99|PSI_1_persub:0.047;0.065;0.076|PSI_2_persub:0.432;0.531;0.311,,NA,,,NA
chr14,-,STRN3,ENSG00000196792.12,SE,rmats,0,0,-0.533,437,0.325333333333333,0.858666666666667,exonStart_0base:30929200|exonEnd:30929311|upstreamES:30913523|upstreamEE:30913657|downstreamES:30935162|downstreamEE:30935304|IJC_SAMPLE_1:166;106;122|SJC_SAMPLE_1:117;130;136|IJC_SAMPLE_2:397;460;454|SJC_SAMPLE_2:32;27;43|IncFormLen:210|SkipFormLen:99|PSI_1_persub:0.401;0.278;0.297|PSI_2_persub:0.854;0.889;0.833,,NA,,,NA
chr3,-,RAF1,ENSG00000132155.12,SE,rmats,0,0,-0.307,702.666666666667,0.0176666666666667,0.324666666666667,exonStart_0base:12603477|exonEnd:12603537|upstreamES:12600387|upstreamEE:12600415|downstreamES:12604135|downstreamEE:12604289|IJC_SAMPLE_1:22;21;18|SJC_SAMPLE_1:737;705;666|IJC_SAMPLE_2:363;419;342|SJC_SAMPLE_2:431;488;543|IncFormLen:159|SkipFormLen:99|PSI_1_persub:0.018;0.018;0.017|PSI_2_persub:0.344;0.348;0.282,,NA,,,NA
chr1,+,LRRC42,ENSG00000116212.15,SE,rmats,0,0,-0.493,178,0.228666666666667,0.721333333333333,exonStart_0base:53947861|exonEnd:53947981|upstreamES:53946357|upstreamEE:53946549|downstreamES:53951985|downstreamEE:53952472|IJC_SAMPLE_1:56;32;53|SJC_SAMPLE_1:100;40;86|IJC_SAMPLE_2:171;175;188|SJC_SAMPLE_2:40;31;23|IncFormLen:219|SkipFormLen:99|PSI_1_persub:0.202;0.266;0.218|PSI_2_persub:0.659;0.718;0.787,,NA,,,NA
chr17,-,TRIM65,ENSG00000141569.12,SE,rmats,0,0,-0.377,63.6666666666667,0.623333333333333,1,exonStart_0base:75891812|exonEnd:75891878|upstreamES:75888962|upstreamEE:75891347|downstreamES:75892010|downstreamEE:75892185|IJC_SAMPLE_1:53;40;31|SJC_SAMPLE_1:19;10;16|IJC_SAMPLE_2:68;57;66|SJC_SAMPLE_2:0;0;0|IncFormLen:165|SkipFormLen:99|PSI_1_persub:0.626;0.706;0.538|PSI_2_persub:1.0;1.0;1.0,,NA,,,NA
chr9,+,LINC00963,ENSG00000204054.14,SE,rmats,0.000496119398561,6.88256887482e-07,-0.341,65.6666666666667,0.623333333333333,0.964666666666667,exonStart_0base:129502396|exonEnd:129503139|upstreamES:129496922|upstreamEE:129497073|downstreamES:129503322|downstreamEE:129503672|IJC_SAMPLE_1:55;49;44|SJC_SAMPLE_1:5;2;4|IJC_SAMPLE_2:75;50;72|SJC_SAMPLE_2:0;0;1|IncFormLen:842|SkipFormLen:99|PSI_1_persub:0.564;0.742;0.564|PSI_2_persub:1.0;1.0;0.894,,NA,,,NA
chr16,-,AC138894.1,ENSG00000261832.6,SE,rmats,5.23119985768e-12,2.10942374679e-15,-0.333,86,0.522666666666667,0.855666666666667,exonStart_0base:28491481|exonEnd:28491513|upstreamES:28489289|upstreamEE:28489386|downstreamES:28491713|downstreamEE:28491835|IJC_SAMPLE_1:75;65;54|SJC_SAMPLE_1:46;47;40|IJC_SAMPLE_2:79;86;93|SJC_SAMPLE_2:9;15;9|IncFormLen:131|SkipFormLen:99|PSI_1_persub:0.552;0.511;0.505|PSI_2_persub:0.869;0.812;0.886,,NA,,,NA
chr4,+,LIMCH1,ENSG00000064042.18,SE,rmats,0,0,-0.758,109.666666666667,0.129666666666667,0.887666666666667,exonStart_0base:41638931|exonEnd:41638967|upstreamES:41619187|upstreamEE:41619440|downstreamES:41644499|downstreamEE:41644626|IJC_SAMPLE_1:17;11;12|SJC_SAMPLE_1:66;68;62|IJC_SAMPLE_2:77;129;123|SJC_SAMPLE_2:13;5;10|IncFormLen:135|SkipFormLen:99|PSI_1_persub:0.159;0.106;0.124|PSI_2_persub:0.813;0.95;0.9,,NA,,,NA
chr14,-,STRN3,,chr14:clu_6922,leafcutter,1.42021152442751e-09,1.10376934402807e-12,0.377428099750333,Success,0.062632731730466,0.440060831480799,logef:1.97189757379627|loglr:30.9979623413524|df:4|N:5|coord:chr14:30913657-30935163|chr14:30913657:30935163:clu_6922:-,annotated,NA,,,NA
chr14,-,POMT2,,chr14:clu_7047,leafcutter,4.60827996242033e-05,1.18148188055666e-07,-0.326757949646366,Success,0.341525052814988,0.0147671031686222,logef:-1.36489013599635|loglr:15.9513261693967|df:2|N:3|coord:chr14:77286822-77288762|chr14:77286822:77287233:clu_7047:-,annotated,NA,,,NA
chr14,-,POMT2,,chr14:clu_7047,leafcutter,4.60827996242033e-05,1.18148188055666e-07,0.59805659901214,Success,0.374915596923724,0.972972195935863,logef:2.72978353392886|loglr:15.9513261693967|df:2|N:3|coord:chr14:77286822-77288762|chr14:77286822:77288762:clu_7047:-,annotated,NA,,,NA
chr15,-,PPIP5K1,,chr15:clu_1006,leafcutter,8.01282298383827e-12,2.39517635674008e-15,0.907482943964922,Success,0.0140450863296962,0.921528030294618,logef:5.59552476806222|loglr:38.9108422011871|df:5|N:6|coord:chr15:43584892-43688852|chr15:43584892:43590172:clu_1006:-,cryptic,NA,,,NA
chr16,-,AXIN1,,chr16:clu_9901,leafcutter,4.55584987366695e-05,1.11669662713185e-07,0.404407047565676,Success,0.339267950792123,0.743674998357799,logef:1.15447740503372|loglr:16.007720763882|df:2|N:3|coord:chr16:289607-293488|chr16:289607:293488:clu_9901:-,annotated,NA,,,NA
chr17,+,LINC02210,,chr17:clu_14295,leafcutter,0.00941230903560682,6.41479781227463e-05,0.525156166111874,Success,0.384162690513371,0.909318856625246,logef:2.38054085054621|loglr:14.4391732116692|df:6|N:7|coord:chr17:45630158-45645901|chr17:45630158:45636283:clu_14295:+,cryptic,NA,,,NA
chr19,-,ZFP82,,chr19:clu_3200,leafcutter,3.2645150993791e-07,3.51295939432198e-10,0.355037980679646,Success,0.456345648044914,0.81138362872456,logef:1.5831805577266|loglr:23.4890873523973|df:3|N:4|coord:chr19:36384435-36405580|chr19:36394110:36405580:clu_3200:-,cryptic,NA,,,NA
chr3,-,RAF1,,chr3:clu_1394,leafcutter,1.43580883913809e-09,1.20172916529761e-12,0.445986103224473,Success,0.521319721491585,0.967305824716059,logef:2.2013247638291|loglr:27.4472596252558|df:2|N:3|coord:chr3:12600415-12604136|chr3:12600415:12604136:clu_1394:-,annotated,NA,,,NA
chr3,+,STXBP5L,,chr3:clu_7835,leafcutter,0.00271296298101169,1.50837303302497e-05,0.340583632508193,Success,0.199788477548429,0.540372110056622,logef:1.03296520825616|loglr:11.1018938565953|df:2|N:3|coord:chr3:121279956-121318475|chr3:121279956:121318475:clu_7835:+,annotated,NA,,,NA
chr4,+,LIMCH1,,chr4:clu_16232,leafcutter,8.72327933619226e-07,1.09516868571793e-09,-0.358245867122691,Success,0.453816837934291,0.0955709708116004,logef:-1.40379560057096|loglr:20.6323574346586|df:2|N:3|coord:chr4:41619440-41644500|chr4:41619440:41638932:clu_16232:+,annotated,NA,,,NA
chr4,+,LIMCH1,,chr4:clu_16232,leafcutter,8.72327933619226e-07,1.09516868571793e-09,0.744875471601815,Success,0.0564105208195743,0.801285992421389,logef:2.80759120114853|loglr:20.6323574346586|df:2|N:3|coord:chr4:41619440-41644500|chr4:41619440:41644500:clu_16232:+,annotated,NA,,,NA
chr4,+,LIMCH1,,chr4:clu_16232,leafcutter,8.72327933619226e-07,1.09516868571793e-09,-0.386629604479124,Success,0.489772641246134,0.103143036767011,logef:-1.40379560057757|loglr:20.6323574346586|df:2|N:3|coord:chr4:41619440-41644500|chr4:41638967:41644500:clu_16232:+,annotated,NA,,,NA
chr4,+,PHOX2B-AS1,,chr4:clu_16235,leafcutter,0.00283769577625044,1.59468764851762e-05,0.480473554172205,Success,0.151857159446539,0.632330713618743,logef:1.50822474700889|loglr:11.0462475795613|df:2|N:3|coord:chr4:41748586-41794205|chr4:41748586:41794205:clu_16235:+,cryptic,NA,,,NA
chr4,+,WDR17,,chr4:clu_16423,leafcutter,0.00378906304167571,2.1995652832572e-05,0.307630640575304,Success,0.123410481014797,0.431041121590101,logef:1.12191606935744|loglr:10.7246657226506|df:2|N:3|coord:chr4:176066079-176111575|chr4:176066079:176111575:clu_16423:+,annotated,NA,,,NA
chr5,-,ARL15,,chr5:clu_2347,leafcutter,4.31463298699132e-05,1.03177688455582e-07,0.432024511560222,Success,0.209747828670216,0.641772340230438,logef:1.7007122407489|loglr:21.6345730480866|df:6|N:7|coord:chr5:54171928-54310432|chr5:54171928:54310432:clu_2347:-,cryptic,NA,,,NA
chr5,-,DHFR,,chr5:clu_2402,leafcutter,6.13273305738279e-06,1.14798859557127e-08,0.310230002883282,Success,0.670422712910565,0.980652715793847,logef:2.14371251040712|loglr:18.2826693802757|df:2|N:3|coord:chr5:80629165-80633877|chr5:80629165:80633877:clu_2402:-,cryptic,NA,,,NA
chr6,-,ASCC3,,chr6:clu_13609,leafcutter,0.00314252580095097,1.80356595259935e-05,0.372781670625732,Success,0.617588732371348,0.99037040299708,logef:2.07695576636046|loglr:9.19311536600196|df:1|N:2|coord:chr6:100509533-100509997|chr6:100509533:100509932:clu_13609:-,cryptic,NA,,,NA
chr6,-,ASCC3,,chr6:clu_13609,leafcutter,0.00314252580095097,1.80356595259935e-05,-0.372781670625732,Success,0.382411267628652,0.00962959700291965,logef:-2.07695576636046|loglr:9.19311536600196|df:1|N:2|coord:chr6:100509533-100509997|chr6:100509533:100509997:clu_13609:-,cryptic,NA,,,NA
chr7,+,ABCB8,,chr7:clu_16845,leafcutter,0.00204401993440287,1.03869010835323e-05,0.583576538599254,Success,0.328912181275808,0.912488719875062,logef:2.29313795347164|loglr:12.9114978625436|df:3|N:4|coord:chr7:151028610-151033605|chr7:151028610:151033605:clu_16845:+,annotated,NA,,,NA
chr8,-,PDE7A,,chr8:clu_3706,leafcutter,0.000141103589604881,4.50677030556179e-07,-0.377665480830992,Success,0.388976685235933,0.0113112044049415,logef:-1.50806577201427|loglr:14.6125148724798|df:2|N:3|coord:chr8:65779803-65782783|chr8:65779803:65780844:clu_3706:-,annotated,NA,,,NA
chr8,-,PDE7A,,chr8:clu_3706,leafcutter,0.000141103589604881,4.50677030556179e-07,0.615548646034984,Success,0.366015471488456,0.98156411752344,logef:3.01613159325861|loglr:14.6125148724798|df:2|N:3|coord:chr8:65779803-65782783|chr8:65779803:65782783:clu_3706:-,annotated,NA,,,NA
chr8,-,TAF2,,chr8:clu_3805,leafcutter,2.17442307815449e-06,2.85988567701314e-09,0.521875710111104,Success,0.438659633275069,0.960535343386173,logef:2.29245897746896|loglr:19.6724841859859|df:2|N:3|coord:chr8:119744393-119746705|chr8:119744393:119746705:clu_3805:-,annotated,NA,,,NA
chr8,+,VDAC3,,chr8:clu_8997,leafcutter,0.00258619195320034,1.41377566765241e-05,-0.344911344318647,Success,0.769824074820625,0.424912730501978,logef:-1.11233741169818|loglr:12.5915318581501|df:3|N:4|coord:chr8:42394278-42398712|chr8:42394278:42395084:clu_8997:+,annotated,NA,,,NA
chr8,+,VDAC3,,chr8:clu_8997,leafcutter,0.00258619195320034,1.41377566765241e-05,0.443738855449259,Success,0.00959809095694745,0.453336946406206,logef:3.33701223493892|loglr:12.5915318581501|df:3|N:4|coord:chr8:42394278-42398712|chr8:42396680:42398712:clu_8997:+,annotated,NA,,,NA
chr9,-,DENND1A,,chr9:clu_4305,leafcutter,2.72726352460848e-06,3.75004848843158e-09,0.442909415406002,Success,0.550140655021066,0.993050070427068,logef:3.1738736969587|loglr:19.4014970667993|df:2|N:3|coord:chr9:123452347-123454739|chr9:123452347:123454739:clu_4305:-,cryptic,NA,,,NA
chr14,-,POMT2,ENSG00000009830.11,ENSG00000009830.11:s:77288762-77288831,majiq,NA,NA,0.432711551177923,,0.444,0.003,LSV Type:s|1e1.1o1|1e2.1o5|Exons coords:77286744-77287209;77287233-77287271;77288762-77288831|IR coords:,,0.3,ES,77287271-77288762,0.999932852233237
chr14,-,POMT2,ENSG00000009830.11,ENSG00000009830.11:s:77288762-77288831,majiq,NA,NA,-0.432711551177921,,0.556,0.997,LSV Type:s|1e1.1o1|1e2.1o5|Exons coords:77286744-77287209;77287233-77287271;77288762-77288831|IR coords:,,0.3,ES,77286822-77288762,0.999932852233237
chr14,-,POMT2,ENSG00000009830.11,ENSG00000009830.11:t:77286744-77287209,majiq,NA,NA,-0.423026847105687,,0.506,0.921,LSV Type:t|1e1.1o2|1e2.1o1|1e3.1o1|Exons coords:77286744-77287209;77287233-77287271;77287580-77287824;77288762-77288831|IR coords:,,0.3,ES,77286822-77288762,0.997352928166951
chr14,-,POMT2,ENSG00000009830.11,ENSG00000009830.11:t:77286744-77287209,majiq,NA,NA,0.420536251315445,,0.491,0.078,LSV Type:t|1e1.1o2|1e2.1o1|1e3.1o1|Exons coords:77286744-77287209;77287233-77287271;77287580-77287824;77288762-77288831|IR coords:,,0.3,ES,77286822-77287233,0.996805245140487
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:s:41619188-41620294,majiq,NA,NA,0.783573435168881,,0.882,0.118,LSV Type:s|2e1.1o1|2e2.1o2|2e3.1o2|Exons coords:41619188-41620294;41620424-41620690;41638932-41638967;41644500-41644626|IR coords:,,0.3,ES,41619440-41638932,0.999999999999994
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:s:41619188-41620294,majiq,NA,NA,-0.782929718542348,,0.117,0.88,LSV Type:s|2e1.1o1|2e2.1o2|2e3.1o2|Exons coords:41619188-41620294;41620424-41620690;41638932-41638967;41644500-41644626|IR coords:,,0.3,ES,41619440-41644500,1
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:t:41644500-41644626,majiq,NA,NA,-0.782117287004518,,0.109,0.874,LSV Type:t|1e1.2o6|1e2.1o1|Exons coords:41619188-41620294;41638932-41638967;41644500-41644626|IR coords:,,0.3,ES,41619440-41644500,1
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:t:41644500-41644626,majiq,NA,NA,0.78211728700452,,0.891,0.126,LSV Type:t|1e1.2o6|1e2.1o1|Exons coords:41619188-41620294;41638932-41638967;41644500-41644626|IR coords:,,0.3,ES,41638967-41644500,1
chr8,-,TAF2,ENSG00000064313.12,ENSG00000064313.12:s:119746705-119746934,majiq,NA,NA,0.404279995666708,,0.419,0.03,LSV Type:s|1e1.1o1|2e2.1o4|1e2.1o4|Exons coords:119744288-119744586;119744881-119745036;119746705-119746934|IR coords:,,0.3,A5SS_ES,119745036-119746705,0.999165032640736
chr8,-,TAF2,ENSG00000064313.12,ENSG00000064313.12:s:119746705-119746934,majiq,NA,NA,-0.404377305500171,,0.579,0.966,LSV Type:s|1e1.1o1|2e2.1o4|1e2.1o4|Exons coords:119744288-119744586;119744881-119745036;119746705-119746934|IR coords:,,0.3,A5SS_ES,119744393-119746705,0.996898133776878
chr4,+,EVC,ENSG00000072840.13,ENSG00000072840.13:s:5733351-5733435,majiq,NA,NA,0.589960218664849,,0.606,0.014,LSV Type:s|1e1.1o1|1e2.1o2|Exons coords:5733351-5733435;5741334-5741441;5741716-5741814|IR coords:,,0.3,ES,5733435-5741334,0.999772237769377
chr4,+,EVC,ENSG00000072840.13,ENSG00000072840.13:s:5733351-5733435,majiq,NA,NA,-0.589960218664847,,0.394,0.986,LSV Type:s|1e1.1o1|1e2.1o2|Exons coords:5733351-5733435;5741334-5741441;5741716-5741814|IR coords:,,0.3,ES,5733435-5741716,0.999772237769376
chr6,-,ASCC3,ENSG00000112249.14,ENSG00000112249.14:s:100509932-100510308,majiq,NA,NA,0.397536881620448,,0.414,0.014,LSV Type:s|2e1.1o2|1e1.1o2|Exons coords:100508194-100509533;100509932-100510308|IR coords:,,0.3,A5SS,100509533-100509997,0.986679713613458
chr6,-,ASCC3,ENSG00000112249.14,ENSG00000112249.14:s:100509932-100510308,majiq,NA,NA,-0.397536881620447,,0.586,0.986,LSV Type:s|2e1.1o2|1e1.1o2|Exons coords:100508194-100509533;100509932-100510308|IR coords:,,0.3,A5SS,100509533-100509932,0.986679713613458
chr5,-,SKP1,ENSG00000113558.19,ENSG00000113558.19:t:134174462-134174765,majiq,NA,NA,-0.49356918387063,,0.493,0.977,LSV Type:t|1e1.1o6|1e2.2o4|1e3.7o7|1e3.5o7|1e3.2o7|Exons coords:134174462-134174765;134174765-134175570;134176144-134176719;134176855-134176964|IR coords:,,0.3,A5SS_ES,134174514-134176855,0.999997197721307
chr1,+,LRRC42,ENSG00000116212.15,ENSG00000116212.15:s:53946350-53946549,majiq,NA,NA,0.393813490594391,,0.549,0.167,LSV Type:s|1e1.1o1|1e2.1o1|1e3.1o3|Exons coords:53946350-53946549;53947788-53947821;53947862-53947981;53951986-53952472|IR coords:,,0.3,ES,53946549-53947862,0.971441091227365
chr1,+,LRRC42,ENSG00000116212.15,ENSG00000116212.15:t:53951986-53952472,majiq,NA,NA,-0.364036952132939,,0.207,0.566,LSV Type:t|1e1.1o3|1e2.1o1|1e3.1o1|Exons coords:53946350-53946549;53947788-53947821;53947862-53947981;53951986-53952472|IR coords:,,0.3,ES,53946549-53951986,0.9049674891889
chr1,+,LRRC42,ENSG00000116212.15,ENSG00000116212.15:t:53951986-53952472,majiq,NA,NA,0.498057266823103,,0.646,0.159,LSV Type:t|1e1.1o3|1e2.1o1|1e3.1o1|Exons coords:53946350-53946549;53947788-53947821;53947862-53947981;53951986-53952472|IR coords:,,0.3,ES,53947981-53951986,0.999988738121683
chr3,+,STXBP5L,ENSG00000145087.12,ENSG00000145087.12:s:121279805-121279956,majiq,NA,NA,0.400779737983484,,0.689,0.302,LSV Type:s|1e1.1o1|1e2.1o1|1e3.1o2|Exons coords:121279805-121279956;121282266-121282337;121294724-nan;121318475-121318540|IR coords:,,0.3,ES,121279956-121282266,0.920857498849702
chr3,+,STXBP5L,ENSG00000145087.12,ENSG00000145087.12:t:121318475-121318540,majiq,NA,NA,-0.419156644266014,,0.288,0.697,LSV Type:t|1e1.1o3|1e2.1o1|Exons coords:121279805-121279956;121282266-121282337;121318475-121318540|IR coords:,,0.3,ES,121279956-121318475,0.959231641178464
chr3,+,STXBP5L,ENSG00000145087.12,ENSG00000145087.12:t:121318475-121318540,majiq,NA,NA,0.419156644266016,,0.712,0.303,LSV Type:t|1e1.1o3|1e2.1o1|Exons coords:121279805-121279956;121282266-121282337;121318475-121318540|IR coords:,,0.3,ES,121282337-121318475,0.959231641178464
chr13,-,KLHL1,ENSG00000150361.12,ENSG00000150361.12:s:70107203-70108493,majiq,NA,NA,0.45484363903826,,0.471,0.02,LSV Type:s|1e1.1o1|1e2.1o2|1e3.1o3|Exons coords:69961308-69961444;69975620-69975802;70106604-70106747;70107203-70108493|IR coords:,,0.3,ES,70106747-70107203,0.999954681378222
chr13,-,KLHL1,ENSG00000150361.12,ENSG00000150361.12:s:70107203-70108493,majiq,NA,NA,-0.434407594896306,,0.44,0.866,LSV Type:s|1e1.1o1|1e2.1o2|1e3.1o3|Exons coords:69961308-69961444;69975620-69975802;70106604-70106747;70107203-70108493|IR coords:,,0.3,ES,69975802-70107203,0.996804403216503
