Genes,iPSC.BIO2006152.00150nM,iPSC.BIO2059811.00870nM,iPSC.BIO2135644.01000nM,iPSC.BIO2136770.00300nM,iPSC.BIO1949634.03000nM,iPSC.BIO2060573.03000nM,iPSC.BIO2070692.01680nM
HSD17B4,0.456925268775503,0.817696716298471,0.739273812976407,0.466229097606362,0.97219019761038,0.370718820572422,0.539947719835494
CDC37L1,0.107072037886215,0.877677081326873,0.709864441664777,0.262416229076306,0.920865311951506,0.720638790940818,0.750273382056694
CRYM,0.287660423523926,0.619258708521569,0.844182012890894,0.312430388160474,0.693262547848203,0.711702564443901,0.840349360181783
LNPK,0.295158751290932,0.873706168879837,0.827358511007504,0.311276714966793,0.946170091489758,0.5313171313625,0.516964823118085
FGF12,0.380862626930043,0.896155068748849,0.869413959599361,0.388431887905874,0.949906552197379,0.378488932407283,0.436121004553786
CHD9,0.277551724089937,0.736,0.772,0.379247518444134,0.843,0.680900945123462,0.596338689556122
MLLT10,0.32119863616919,0.572084136399597,0.863631262845581,0.224462550095972,0.879482245120444,0.783416260579206,0.630293198470069
ADAMTS19,0.860090671406473,0.626277680968931,0.215,0.404307345651923,0.658732621069304,0.858278507584091,0.619090775743156
ZNF66,0.49905664076187,0.854188165190003,0.931069342320535,0.304443534281573,0.987713568164847,0.331295414321552,0.326437516538624
SKP1,0.704160819391626,0.264,0.764765817599138,0.408457841811792,0.784058559907844,0.746602341987396,0.517736539216253
TASP1,0,0.944254984644889,0.95421513323033,0.348668395665137,0.999999999801612,0.308271732966514,0.632751143920898
TET1,0.26939746643169,0.725208449614126,0.880007597202245,0.233891605514066,0.891480387517211,0.649813425491864,0.496458346512729
AC104109.3,0.741474290522977,0.404346333710962,0.856920070230098,0.672943072629836,0.678644006384133,0.785556335354244,0
STXBP6,0,0.755222413863425,0.964887507607796,0,0.932656642624947,0.724281148385497,0.726828566715214
RAP1A,0.45,0.679,0.695,0.465,0.69,0.523,0.536
DHFR,0.28910471086364,0.636072198418662,0.726102362777019,0.282846234630565,0.718482699540761,0.714217971435039,0.670878260481137
MAN1B1,0.426893002013265,0.730078728799867,0.776398463331343,0.209383369429143,0.87699205247959,0.56247065930202,0.407238922049843
GCFC2,0.301696044774199,0.924178707932463,0.771244298526695,0.466664449078539,0.974108486102587,0.190123264045276,0.314269438201317
APIP,0.272743530245703,0.834223671372712,0.718921053176888,0.429903621867544,0.963801069302193,0.293164096766781,0.405125091097472
APLP2,0.389290961702998,0.65940878665558,0.640963444481547,0.513033722371589,0.666642868085406,0.48892515517349,0.548723014724305
ZMYM6,0.236764203601126,0.640495450994411,0.816088375529152,0.205403293213723,0.856592173492677,0.601641273364443,0.532065793978531
FAM174A,0.309079001410784,0.768027175862385,0.767486739993957,0.461903119392896,0.788881339184655,0.307212109126683,0.470608836049211
ANKHD1,0.282195551319143,0.827433878967794,0.653909583153432,0.332508523355998,0.90720314498454,0.412914996944792,0.450695505363062
RCC1,0.423649229076268,0.418728983729863,0.829784562900314,0.35576667673077,0.785821937636279,0.529490098615845,0.458234264268073
XRN2,0.313239005360186,0.741848559146381,0.668906910077603,0.22107880484181,0.965799284458187,0.504341053425005,0.373397894645894
C14orf132,0.516384186931753,0.582580113492248,0.740042031678106,0,0.703940383089478,0.686318801955043,0.543921978778864
ANKHD1-EIF4EBP3,0.283292175045661,0.82650381423596,0.654323708722543,0.264341536087741,0.907929841995015,0.361924020516933,0.424642141390807
TMEM214,0.432395125091843,0.843127798065137,0.677237778327095,0.237829824814728,0.931610432351288,0.3731477723627,0.208076757837956
NUP58,0.472691988823336,0.510737312103012,0.728158872083381,0.299729064985952,0.697352653394982,0.564553747793624,0.414692372789954
TMC3-AS1,0,0.97098081041508,0.943195221159577,0,0.97186392194681,0.794764342277235,0
SNHG16,0.211156081490979,0.858189516172047,0.696,0.352679752783207,0.922014574009705,0.193802418509915,0.432458044751763
RNF144A,0.270353561060748,0.738635827067126,0.646204693824117,0.261579265576209,0.85451217894077,0.493203737371449,0.39587497452869
PRPF31,0.231240309094798,0.900971075354991,0.711931258948562,0.425162446236429,0.956852856891208,0.141300994051298,0.283198287328223
ZNF618,0.322253326659299,0.658433201837392,0.607110968831035,0.373661094967414,0.647250854378622,0.501597968842595,0.495060147086314
PMS1,0,0.971644548692695,0.694951564345929,0.243762202928399,0.97403074291792,0.228724629891009,0.471255723710271
PPIP5K2,0.255080692697364,0.933011810304992,0.695039205942695,0.446768684839064,0.990307948490617,0.142535098838159,0.114328986930869
COL4A5,0.539464097062392,0,0.914899302760462,0.922115581792976,0.926539543923582,0.266351132183036,0
ZMIZ2,0.345755156091151,0.712965164803222,0.56104812094163,0.327306742389089,0.764441365851193,0.424787382799073,0.418416869587512
MYCBP2,0.465,0.549984297868704,0.518,0.356,0.747316623004789,0.473,0.424
ABHD10,0.142614195356091,0.820543564951008,0.641641696345563,0.339157694435101,0.888678412884369,0.27359750632772,0.41872444455565
FAAP20,0.421947788298057,0.618051802907421,0.598075054585515,0.354865921591897,0.645802606995266,0.490980411014198,0.385651607584313
CIP2A,0.198373515758446,0.553474039488983,0.669158865540499,0.15310537841081,0.801393759025628,0.637407565065884,0.487168921533172
SLC12A2,0.158419026424777,0.97252235620932,0.758505741622055,0.362059802665796,0.97230196509923,0,0.259364560692113
ZNF138,0.277677844061891,0.750904783063369,0.678425283288285,0.26816425408359,0.807668823325358,0.373834882718174,0.304890715998146
CTNS,0.237594591719135,0.824908151790478,0.781608401762411,0.340521289826762,0.86807302685895,0.212514331541047,0.18235294229694
RAPGEF1,0.248099383878952,0.754,0.747,0.311761978682372,0.879317696243215,0.206761263594532,0.299754716154441
ODR4,0.367787044502247,0.719761630007759,0.636181871223296,0.160324232691251,0.860811871887197,0.457819635470532,0.236737508090559
FAM149B1,0.165,0.605233269999939,0.629502932712108,0.139,0.667335923749266,0.443453799209963,0.781360045181215
PNISR,0.361595263959559,0.575106687791583,0.655729113893494,0.205139725378544,0.804328752637299,0.437464392530558,0.385882075706485
TOE1,0,0.970501464823319,0.856246974946582,0.309917026594956,0.993762208181063,0,0.281440267159111
VWDE,0.239985453485919,0.850229605770069,0.550508981279521,0.438002712023281,0.925181974907421,0.400826243397442,0
DPH1,0.221623757919982,0.667841797894304,0.637142974705274,0.26304204476036,0.732295159778755,0.454983036107266,0.420037318888266
HSD17B12,0,0.973916510612644,0.935889964656037,0.235197347860867,0.983076932068161,0,0.241853090481443
GPSM2,0.529896312223406,0.573009822465221,0.693175004058667,0,0.673000937691513,0.451004876151602,0.435057854105165
SF3B3,0.258238499216375,0.385422769718782,0.709034397183028,0.168775163664762,0.654421936800412,0.635612689660245,0.523205067348261
IFT57,0.181764088625147,0.743754190192438,0.593835648601104,0.201447537527188,0.827176948279753,0.440277716671239,0.342139067925759
SOS2,0,0.923545645819093,0.891594489125051,0.275382548776823,0.963255770707679,0,0.269748050214666
DLGAP4,0.362435626736614,0.509712751547186,0.613074927611385,0.273965158802336,0.654497492051973,0.492739472117496,0.413232797834601
SLC7A6,0.159,0.679458273392383,0.497,0.363162315286773,0.784,0.367807334875252,0.445322069089802
AC068205.2,0,0.973819554939398,0.932033328405283,0.234491874848384,0.97431197267177,0,0.178970549508731
C1orf94,0,0.678880530446242,0.626182304014958,0.299735154001114,0.699546878943614,0.542953312050988,0.415493997196383
FES,0,0.722411561524297,0.54181124731466,0.617727468583448,0.692358582687838,0.321069146325552,0.33151785626863
AC114490.2,0.245645688176062,0.494163983895507,0.704171732144867,0.197729977994477,0.738270666310485,0.453026889435011,0.385084633407734
VAV2,0.177854381272682,0.79084965273941,0.533806440271952,0.260733177197193,0.950051376209566,0.190678264849904,0.302232653348238
ZNF585B,0.205752204690648,0.933967757432913,0.722308778259743,0.354154910512516,0.752380374793505,0,0.228769298359395
KCNT2,0.415320482500778,0.429006268767085,0.429993613998327,0.429043854016497,0.642039553593569,0.421797515371936,0.428280889666884
SCO1,0,0.716869973183717,0.646688917674597,0.104007273125442,0.890690156895301,0.454030347330982,0.365498594894438
PIGN,0,0.816705097374662,0.595160468524061,0.192912138592161,0.937814238885404,0.253654723170938,0.371418406912204
ENAH,0.241465451688434,0.446071482921244,0.585642891134864,0.27412492854212,0.499413989974917,0.593376125694,0.505070590204546
ZNF730,0.532364155566868,0.353694493115676,0.612636409296373,0,0.572943600092836,0.578039975020252,0.478532426434456
SNAP23,0,0.987,0.9,0,0.996,0,0.241
FGD4,0.157108063177893,0.644667199543901,0.513768929232376,0.243182953263696,0.771341449997456,0.337344407880133,0.416854979175959
WNK1,0.299392115595276,0.399324366802077,0.627433813567517,0.163344450838877,0.629592604453277,0.596783644114558,0.365033469677375
LINC00678,0.322150247043308,0.432448919380318,0.516986125575831,0.258786640816325,0.509674925255923,0.512438130430744,0.486712838194232
TCF4,0.30793249156692,0.520609798114499,0.485094748808412,0.350429081424179,0.571652625306745,0.385182838329271,0.379258677811146
ZFYVE26,0,0.687779306743018,0.671591617840125,0.316132489209465,0.854727262857281,0.189097391888265,0.278676142191543
DENND1A,0.247202612146648,0.677921665326193,0.585321464268478,0.202034123275135,0.596581357314084,0.248815654721121,0.435346252415407
ZNF10,0.298432699065926,0.571266788862824,0.312614736643787,0.357719748143091,0.70336922171457,0.378183710338005,0.371268542718517
CMSS1,0,0.823,0.88,0,0.907,0.186998624541398,0.182461516974471
ARAP3,0.287901447905585,0.393911544220234,0.524516171407388,0,0.746991576112702,0.475032281841124,0.517793591173765
PPP1R26,0.230236273761644,0.766030422020037,0.648437539484268,0.382773645900145,0.901110858271968,0,0
WNK3,0,0.644751747728839,0.502177088282903,0.316189068335479,0.680895113807613,0.332186766022895,0.42481396456029
HIKESHI,0,0.541,0.59,0,0.768,0.5,0.502
ARMCX6,0.20362397853,0.420907616721623,0.556665456898778,0.242636431262788,0.561504027670229,0.485595691788423,0.427781970962974
ADAL,0.37194231335924,0.385298771649675,0.739387342012375,0,0.517651807515722,0.563564703345209,0.310124789930672
RPS10,0.33088347689699,0.494443260714405,0.469253598284269,0.390665887234704,0.531886101486774,0.264235938553129,0.379147268780177
EXTL2,0.287638543545875,0.704144199184058,0.578439848283951,0.24963326335579,0.932151617604779,0.10057397495048,0
SEC22A,0,0.973125555470536,0,0.246102911918166,0.963255519887215,0.223381954256105,0.419929506633839
RBBP8,0.193608083402258,0.414243070589128,0.67112684368111,0,0.606269016225085,0.460382883523227,0.476765142416078
PDIA5,0,0.972183574722424,0,0.237962377406281,0.961976421542514,0.225920073123449,0.415186405696196
SCLT1,0,0.499,0.907439226641396,0.214,0.959077765637808,0,0.227450165069837
TNS3,0,0.765686995282477,0,0,0.965223998226392,0.595402877764796,0.477580931262301
OR2A20P,0,0.679,0.528,0,0.72,0.486680825552953,0.365926181267857
PRKG1,0,0.463300009555435,0.61105175609779,0,0.750759940521172,0.627404128291202,0.321653385481757
PLCH1,0.382720329543449,0.390566967976673,0.422243922209546,0.233618525320566,0.543953780902737,0.408165691084464,0.385210535196858
CLK4,0,0.628,0.518,0,0.622,0.5,0.48
CLN3,0.342,0.363,0.471,0.331,0.416,0.419,0.393
GXYLT1,0.165113206772455,0.593660067539791,0.651528116201439,0,0.71695974878175,0.278078144304258,0.315395195099626
SH3YL1,0.296,0.360388733693978,0.569425672419121,0.146,0.531958424217864,0.433998580332922,0.381263681497412
SUPT20H,0.132284905886608,0.530520992497465,0.568136696997477,0.106794713906507,0.918858928374765,0.216270751531639,0.217588854922781
KIF3A,0,0.464605446425701,0.450636055357111,0.43593903579143,0.453799522923533,0.45351603461811,0.428033587582032
ADGRL1,0.189458559709395,0.403749597782152,0.475920148852253,0.208906308892281,0.488542581540487,0.479799584541278,0.396782858748917
TSPAN2,0.124,0.881502910413289,0.6570916595676,0.271928399956856,0.3228237429236,0.105,0.271069586533311
CACNB1,0.182255504966357,0.490408366494515,0.560795584505804,0,0.760799435614764,0.361868306115528,0.272931655435805
GGCT,0.353827021458213,0.347948092042086,0.35544592263598,0.353773904715046,0.347016522750776,0.423,0.422
DDX42,0.15297188617516,0.724720960235026,0.467585706491404,0,0.946314727075394,0.131748619521313,0.176964512449645
ELMO2,0.15970889065627,0.496522338051941,0.363154958787431,0.327,0.626889211830692,0.278,0.333
EML1,0.211124047104082,0.402790548291938,0.41937031080613,0.322589826943908,0.45244778184951,0.374862722125588,0.400616036433502
CYB5B,0,0.857547158166719,0.756571539609067,0,0.938032424682943,0,0
SYN3,0,0.749966814059128,0.653200937456404,0,0.878160190631153,0,0.263654616894335
ZNF783,0.310284661760466,0.470625002425594,0,0.442407108258832,0.470122592620188,0.400482697885288,0.424888589210897
SREK1,0.109793662210841,0.292127783700825,0.568523228802472,0.107164634519544,0.58038457716007,0.545807980747175,0.299389724259818
SERGEF,0.151016446943334,0.412688598757265,0.417745861259722,0.329408445640984,0.418497673442333,0.360988605995965,0.408212435798132
AC138894.1,0.327,0.348,0.468,0.318,0.405,0.414,0.217077553016973
PIEZO2,0,0.875657572054643,0.516798151344709,0.113,0.99,0,0
ZNF680,0.253078999618787,0.299872389244029,0.599482909524799,0,0.478560202242016,0.578263404252263,0.271446866246121
MMS19,0,0.675606230328331,0.620735630407014,0,0.867632387183541,0.284679683829306,0
UBAP2L,0.12878633107446,0.640305899579509,0.404721016610956,0.183707899275786,0.800676605704715,0.11484917321799,0.151768986011187
WDR91,0,0.691,0.374375301833108,0.264102645561109,0.981,0.114,0
STOX2,0.371468670079917,0.275312963420952,0.505497844276926,0,0.428907891520106,0.437209820180102,0.404553003110516
NR1H3,0.321974418554261,0.429148186120003,0.469061616256943,0,0.460855279608455,0.374565562888708,0.345144823648444
TRAF3,0,0.638382329493881,0.195,0.237620761544783,0.907934787073289,0.192090371096712,0.220348850403025
STRN,0.33140746422168,0.418810886074131,0.367089693874221,0.298643209574335,0.523318388675875,0.222033659203015,0.211687177049487
CEP164,0,0.653490051097943,0.509686999083707,0,0.747162605784959,0,0.451585908349826
BRD2,0.430086769500482,0.792741743211833,0.214427300221033,0,0.816310670970025,0,0.104167809211678
TMEM50B,0.320941511445604,0.173,0.416491437153977,0,0.48358481037542,0.567692072638921,0.37254998606332
TUBE1,0.322259832157411,0.343109486861689,0.338466728242287,0.325561177305898,0.336749500963077,0.335559596669285,0.330581978461204
CTTNBP2,0,0.721089688887786,0.644202843705078,0,0.959737505990792,0,0
SPPL2B,0,0.685927234171753,0.323024570593685,0.255042307659752,0.737131724384549,0,0.322932396936089
GRID2,0.188560628618358,0.456668508858375,0.335026287352488,0.181677464830211,0.578765689935263,0.269831051233928,0.303338782657937
KIF21A,0.363300044050636,0.336330115792435,0.421749678161778,0.151592954651571,0.364643581048426,0.375219293787548,0.279863101329368
STRN4,0.132506481773792,0.436136791037679,0.421840896832152,0.105685098382338,0.539502823901652,0.363014398692851,0.267949277369762
RARS2,0,0.891020625792774,0.395661638361559,0,0.973818976210214,0,0
CHEK1,0.298468193335524,0.308192651906096,0.306162594764121,0.288553409624254,0.357161198280561,0.351224445256027,0.299544067446638
TANK,0,0.666103823901697,0.580223546541573,0,0.96050271440021,0,0
AP002784.1,0.202215089875903,0.391371955160687,0.515631874576976,0,0.748475862546895,0.332191502394684,0
RPF2,0.137822136374314,0.511264715652334,0.360165895488035,0.141852981463426,0.646368941141886,0.196087903137639,0.176188845095182
GNS,0,0.813921443065644,0.453019149169505,0,0.902629626229759,0,0
NEDD4,0,0.788674065111473,0.409968714934113,0,0.970372260110211,0,0
AKAP9,0,0.482441318935989,0.352,0,0.412898544079874,0.391092308551199,0.523
PITPNB,0,0.383345758036636,0,0,0.622031034010759,0.655606089001309,0.479928271587004
SPATS2,0,0.718025094510147,0.437109215586493,0,0.865143633195561,0,0.116
DIAPH3,0,0.168,0.103,0,0.8251374115176,0.568107324360291,0.454121483076149
MTERF3,0,0.912671599182969,0.233719895255536,0,0.965133917377482,0,0
ZNF26,0.297,0.375410943717418,0.371778541223067,0.233,0.278,0.28,0.267
USP9Y,0,0.299147184798137,0.52478526074219,0,0.662991605489871,0.323353906948104,0.286877508501502
TXLNGY,0.159,0.32124801640897,0.439060600282384,0.352270041782637,0.307046207533304,0.288933802269629,0.224
DYRK1A,0,0.550884456837079,0.3563630009482,0,0.705353804958703,0.267448860832917,0.207168893693015
WDR90,0.242774518781068,0.365768055171087,0,0,0.839251627601257,0.615143543086343,0
ULK1,0,0.652553402456916,0.325361670353282,0.125,0.957534903773248,0,0
TTTY14,0,0.578213055610915,0,0.359274642633825,0.591056087155821,0,0.530446286681849
WASHC4,0,0.789329771476503,0.397392914594077,0,0.857605933216928,0,0
FAM161A,0,0.489799914397985,0.36545918965901,0.106,0.614416219806885,0.223048400185244,0.243575015733175
PCM1,0,0.426229940693832,0.221706499839798,0,0.912006546304484,0.356482740457984,0.123
PRPF39,0.107853279041867,0.437931061671911,0.330018957250652,0.104075300730324,0.629020413118917,0.212131517053888,0.218069017200028
ATAD2B,0,0.677666521813451,0.411109101622192,0,0.947755563756151,0,0
ADCY5,0.257045804793087,0.279490861172326,0.410341557667505,0,0.29402175146502,0.386074497517551,0.407924966918841
CHEK2,0.128,0.517380294277253,0.309,0.148,0.808092128272451,0,0.122
COPS7B,0.146806967939497,0.376877433710641,0.392599411859719,0.155569950369031,0.327344124451828,0.333068371055704,0.299341780763037
COP1,0,0.60886401461428,0.402574670992181,0,0.883987072265267,0.136,0
PPHLN1,0.149,0.35,0.365,0.184,0.377366025248286,0.302,0.304
SGCE,0,0.307,0.384,0.314,0.35,0.292,0.384
RERE,0,0.505276579739731,0.395409165955988,0,0.614889183626418,0.277681980984194,0.218095487549556
CEP162,0.250847166621855,0.30291905556744,0.499493424477479,0,0.37905816474075,0.359004334774406,0.219096361297741
ADAMTS10,0.306704543267115,0,0.495816479353619,0,0.67419634999315,0.521715628047588,0
JAKMIP2-AS1,0,0.301368945321176,0.436146798904135,0.162898124758634,0.420428267473962,0.371526527221742,0.295837526715693
GAS2L3,0,0.672,0.453780308529566,0,0.585081294613142,0,0.271773587530956
NPEPPS,0,0.544884469694512,0.427776539635429,0,0.609807661423167,0,0.397
AL031315.1,0,0.711027923577486,0.23192927432577,0.197317651190036,0.837463403688799,0,0
AVL9,0.152366955757038,0.223051224052894,0.395301503743709,0.148238329839122,0.30438114342831,0.455355285237464,0.293578894665982
TASOR2,0,0.347,0.5,0,0.483,0.362,0.279
ASAP2,0.172928626903905,0.128,0.563024182353153,0,0.538413906871673,0.554048386296398,0
ALG13,0,0.37,0.183,0.18,0.883242854956924,0.148659124878726,0.182761151381617
TNRC6C,0.307183312531602,0.342707877494772,0.281782724350434,0.216,0.476307366347214,0.310933133587191,0
LHFPL2,0.201736863307256,0.404114694928853,0.333910271279983,0,0.5601448988782,0.181294807689656,0.228968032283361
ARHGAP5,0.201518257427182,0.216312244577879,0.5048006758554,0,0.40593337426589,0.367266744534361,0.203931632341958
HMGA2,0.163256718019732,0.519119991428275,0.326688591657156,0,0.651055579534778,0.126617503655879,0.107981526572259
TJP2,0,0.336384998015473,0.416313096851915,0.134597117039938,0.373986408472343,0.315012987076003,0.300320532580501
NCOA6,0,0.478,0.293,0,0.812305759285241,0.288,0
CACNA2D1,0.313637710126554,0.216057019793466,0.452679941744267,0,0.282959279729372,0.419148971463703,0.182420657013567
CEP170,0,0.267522311823817,0.485,0,0.275237449278437,0.504,0.333
TSPAN7,0,0.336,0.479,0,0.314,0.289532288260998,0.445
KCNN2,0,0.730228778822429,0.191199258281577,0,0.941467891150746,0,0
LINC00667,0.344,0.320651579848387,0.305,0,0.382,0.195,0.301
FGFR2,0,0.368001853743119,0.224,0.116,0.524216433899741,0.343429671286213,0.270995985114315
SNX4,0,0.353995083784843,0.250586258583332,0.149160303604828,0.616444497782428,0.226494879788443,0.244794137266786
ATG2B,0.26241053097204,0.311679081276755,0.375603653625768,0,0.649724784030482,0.242026178893117,0
PRKACB,0.171798538588167,0,0.413929875362182,0,0.211375859370695,0.574282745156739,0.450255268226455
SLC44A2,0,0.411430371573027,0.36817668931211,0.115510018195935,0.541045323178812,0.187713037943329,0.190637955354999
ERC1,0,0.419859607822755,0.387023373209051,0,0.546973049668422,0.164909419295873,0.2934198512062
EPB41L2,0.177,0.43,0.257,0,0.485,0.21,0.239
BORCS8,0.277,0.327,0.285,0,0.407,0.292,0.203
CA5B,0,0,0.510225766018851,0.414915651230716,0.512274388816953,0,0.345171627908666
RSRC2,0.265,0.149,0.451,0,0.24,0.385,0.281
L3MBTL2,0.214589645243112,0.276,0.509587264467793,0,0.231571959284143,0.259883964298919,0.278297933428293
SUN1,0,0.442,0.28671204905869,0,0.532,0.278,0.231003648127552
MYLK,0.109,0.590886485901841,0.193794302052614,0,0.571251439661991,0.128,0.176404490792533
GULP1,0,0.482050993919096,0.316470677564541,0.101623808594909,0.585711416573405,0.123057825107539,0.159597034230503
