Genes,NGN2.BIO1755497.00040nM,NGN2.BIO2006152.00150nM,NGN2.BIO2059811.00870nM,NGN2.BIO2135644.01000nM,NGN2.BIO2136770.00300nM,NGN2.BIO1949634.03000nM,NGN2.BIO2060573.03000nM,NGN2.BIO2070692.01680nM
AL031315.1,0.445473245827036,0.611054396099911,0.974153755853831,0.974322599269707,0.198985649498052,0.974348789031773,0.652377994451202,0.89824836240974
ENOX1,0.516126335709384,0.435484594566863,0.851349416669947,0.851358842109922,0.496687318373567,0.825209432491305,0.858355652105789,0.893340384426859
RBBP8,0.63823441196115,0.705726414837487,0.912068071351143,0.896641571462038,0,0.842057369743836,0.796165081283485,0.893130397168617
PRICKLE1,0.287564405345936,0.67300239473177,0.852506717852202,0.680257012255475,0.769762472740756,0.931917649627363,0.706801163795322,0.778874395172475
PRKG1,0.751838531758089,0.456009383793491,0.936749113487332,0.879495961884053,0,0.884175341144313,0.944016455831702,0.810111615961984
THSD7B,0.232527449063936,0.580769515678671,0.389,0.911558292629913,0.860420223675899,0.962249533433439,0.733883179087842,0.913544315565026
AC068547.1,0.668241121110422,0.760438359339015,0.688799266651978,0.885813751715642,0,0.804934073672041,0.937736990864695,0.807160635602488
APIP,0.340522069979759,0.530292944664261,0.874545548430803,0.790732155509026,0.745172025239986,0.882199416942992,0.640178149460351,0.731724538088122
COPS7B,0.360318088789454,0.575011798092084,0.776147975221876,0.801280952136019,0.609,0.818440832441147,0.806351178123766,0.779444478677657
PDIA5,0.173630807719061,0.501506158094809,0.974200878297075,0.946538840942065,0.23643424859866,0.970886631468329,0.752272251862807,0.965855859388647
GLRA3,0.304172812073508,0.581470642956498,0.847432750620214,0.874255729259828,0.671656086367188,0.799510483572335,0.588317592694973,0.834750746034487
HSD17B4,0.471378706990997,0.449332864970945,0.959185701560553,0.925991303750033,0.598037875033624,0.979631651129083,0.469829859148736,0.647094151223014
GABRB2,0.38142495660383,0.230158590385208,0.956112727872543,0.904211533185887,0.45022034141306,0.976314103601587,0.779021827647667,0.808295606012253
ADAMTS10,0.340657142726561,0.41008385414875,0.821357537139885,0.969166745662883,0.40411751833556,0.832543895781469,0.795833302512625,0.873899697736572
ARMH3,0.617240154685446,0.514773195559418,0.731897999644622,0.792574445350517,0.474362769294846,0.673589947157058,0.778306292453845,0.811136770300163
STRN4,0.513075370431937,0.438678507209751,0.76,0.851508846885989,0.4,0.759662147911795,0.844697049145902,0.808344868283717
STRN,0.66976876473329,0.691615626006294,0.748834259067466,0.702171822039224,0.551979869545561,0.785408683701128,0.588429466505797,0.634190994291727
AGPS,0.391857624901439,0.352274252490933,0.884472402954633,0.831192564792337,0.361832985866992,0.892849011035389,0.83610157984812,0.818601346318125
DCAF17,0,0.445389729142142,0.974655403114721,0.970607394750496,0.478756145814402,0.97378446439496,0.560861510327392,0.961162961303255
GPHN,0.642306093102258,0.557518381516028,0.859562572864486,0.678779290377633,0.411268885833324,0.864253803960226,0.680828418880623,0.626142223542946
AC026786.1,0.688659169916607,0.569906131830068,0.808361776069095,0.745683298126669,0,0.834687056802564,0.844064419386993,0.825931576128377
MEMO1,0.543332271675353,0.521928085311499,0.830769163108817,0.824402253016602,0.199,0.872689293093542,0.748850903852745,0.776000793212051
IVD,0,0.420135315537056,0.966872621611442,0.872645357778368,0.450249614916214,0.961505842749203,0.778302674474464,0.828680194988333
CLK4,0.421,0.435,0.704,0.687,0.698,0.711,0.83,0.78
DYRK1A,0.234051748626141,0.179190025917786,0.956124998858217,0.936473755047645,0.13893606438158,0.90206138589329,0.965959230721305,0.953063907644768
C14orf132,0.500380370086692,0.630182447920227,0.661462550767226,0.78259146751487,0.485661318134301,0.69556478323618,0.770982125503855,0.72184857012987
WNK1,0.583779576376062,0.5527672256077,0.673560571973519,0.751295864604395,0.344904640081848,0.719609607921751,0.825203735515514,0.780566084623487
SUPT20H,0.278,0.341074835236412,0.931286765066725,0.800307058171638,0.418014796265846,0.963583946083273,0.741964890405073,0.751297059974353
FAAP20,0.637365106398008,0.593068103304568,0.816127839505715,0.77212476758411,0.455,0.772915169817586,0.630696592313047,0.543006748979992
EMSY,0.363832831284047,0.339322994535828,0.896184784022385,0.819115480156323,0.289890431664767,0.893455903270851,0.837390303538146,0.771019628371469
DPY30,0.533582431362118,0.549833460058757,0.867015000887,0.82914271561807,0,0.871138516017038,0.782227957360366,0.776780518248119
TASP1,0.238211711705129,0.43945585623267,0.977784098002215,0.845004510866217,0.566660420568007,0.980300387076316,0.401898986368455,0.746818950429865
SNAP23,0.578379391612298,0.54322117116585,0,0.939432870350576,0.85956020337208,0.955600258247634,0.402885100065766,0.911194701298585
STXBP5L,0.685102883973495,0.648143290150058,0.607665810214443,0.678397288503091,0.426489047458357,0.720542883123399,0.689412164294928,0.707226725081159
SLC7A6,0.474093977540003,0.453985978887573,0.858889884387936,0.67476280126765,0.52,0.878637582121872,0.620343272084433,0.680610049829617
ENAH,0.483002835062848,0.481056138117116,0.689786354073677,0.757454870031051,0.516707783876399,0.655761040037125,0.79663805153069,0.77183152723698
AC008581.2,0,0.585490041892476,0.656219414072586,0.943735113591522,0.21123696137581,0.906511302336186,0.937409900804216,0.896539713810084
MYCBP2,0.483,0.508,0.884668859903,0.776352733267003,0.37,0.94601554200924,0.563975219304287,0.596694842263189
FGF12,0.157658144522145,0.450250181668292,0.945786815512471,0.869469530361658,0.385725261448875,0.9727487029157,0.577114200736244,0.726429438916465
DPH1,0.447960492387128,0.285586489994421,0.866533459225858,0.72959506801168,0.353451898985213,0.821704388655161,0.749294043499023,0.789286405818529
SNX7,0.309419332595418,0.446839830399118,0.999999999793368,0.938234785029012,0,0.990908042602923,0.519100154414371,0.837292843964946
VPS29,0.511247526694312,0.545842189465368,0.666517020858618,0.739879979985627,0.519340943290954,0.819,0.632560656081099,0.588081558944108
ZMIZ2,0.412,0.418735623635592,0.787,0.686,0.427521192211785,0.861563128134017,0.737,0.687
PNISR,0.561404130087986,0.556942287737521,0.66631181579777,0.665314211690455,0.401093504358829,0.804315111728457,0.662031373289889,0.656739349062178
TMEM50B,0.599239307113389,0.52576029190973,0.598265327354607,0.746452601245882,0.377158611724439,0.626455953428072,0.775517922668416,0.705929929650241
FAM174A,0.322781395638347,0.419420256927839,0.809643056433014,0.79108210080769,0.621273743753882,0.772753886822925,0.582070548904302,0.617675785581369
ELP4,0.429497515052555,0.273067211373952,0.777034178848059,0.856701600836532,0.148,0.675328387131654,0.86497378647096,0.908627789959989
NLGN1,0.195875031501651,0.350007623627799,0.76386834452742,0.79130504699915,0.475978200430999,0.653230562119947,0.815298610979487,0.834602929353679
ATP8A2,0.471418304591662,0.397764221829081,0.651163398286337,0.824113930406256,0.177561213859094,0.731527044133722,0.795599371115828,0.830836019665054
MMS19,0.180526314285269,0.260386528178002,0.966745013727439,0.911362582344826,0.227521818633542,0.964165068848554,0.619191712423429,0.716387794673397
LINGO2,0,0.472044744345468,0.93084547982263,0.813109670174259,0.567814109266937,0.809665776160679,0.453004347845703,0.7648308773496
MACROD2,0.536969175725164,0.438475946663258,0.599745250082151,0.751290757608525,0.35493908094713,0.677069079482504,0.766851184205704,0.662632877257985
GRIA1,0.30172381441646,0.606442432049086,0.727618259117022,0.701089612334751,0.417609688675275,0.677896200546265,0.736750821311175,0.614562435599971
RUNDC3B,0.339355746146888,0.381740021637921,0.912771213291635,0.708337805356794,0.384,0.906612792985373,0.387443652175509,0.757798400504512
WDR91,0,0.778367804785752,0,0.973272949355131,0.857713698398985,0.985,0.536239354606404,0.634
HSD17B12,0,0.22726368517237,0.953359635202096,0.961360749950782,0.733809260208054,0.959979417365287,0.243410376245677,0.669908632780244
LNPK,0.361031936873582,0.272969888045874,0.904126350011975,0.699070633649823,0.314571264732269,0.965106476684834,0.602381916974603,0.617149914655091
SPIDR,0.320209242038388,0.210842304428314,0.739019371166955,0.768048491153357,0.469659152105982,0.753823834153717,0.737117469318353,0.713886231883252
CHD9,0.255575058987069,0.457,0.710829421106671,0.75198716916141,0.43579369213529,0.755149447813017,0.641153830469926,0.639802761168935
TRAF3,0,0.16928333399601,0.98416752242607,0.807691133680207,0.230959240931203,0.988529331189827,0.656601790106061,0.798132718114548
PTPRT,0.319235809412176,0.324532716440051,0.7476883400457,0.745793853148404,0.398786132718697,0.885169629480498,0.641355170617047,0.571493921140862
MAN1B1,0.151947595604462,0.421851662167992,0.818775178098799,0.872486694409419,0.203627786035814,0.837684768777583,0.683690319248231,0.637209215121499
ZNF138,0.394259505825627,0.366357694528859,0.845764689704156,0.714479512560329,0.268752899835955,0.905563383973885,0.602842826544623,0.46428597329307
AGGF1,0,0.44244922937733,0.651497861308406,0.904021244623842,0,0.846623747032429,0.890979169507949,0.818658043360369
SF3B3,0.37266729841505,0.348959505739448,0.490908582980307,0.78468711147308,0.220053953644773,0.625508550229678,0.863038313349025,0.829701537121728
FAM124A,0,0.271780592324095,0.888100638859484,0.827714607373801,0.37762835081814,0.963977233408655,0.356580517444252,0.823530253891386
BECN1,0.419508707567373,0.453837684423337,0.488635806043733,0.802017291384531,0.30844446374564,0.53327423273407,0.789526307829741,0.711299833962624
ATP7B,0.266907149988404,0.427684281675902,0.614570289671902,0.673598792041182,0.581,0.630543079148118,0.539158795754271,0.759447364407612
SULF1,0.46185066210324,0.506272188778555,0.641876825243751,0.585556783855735,0.512614778013821,0.591050688763605,0.60194939447394,0.583087829828479
FBXL16,0.321311023465051,0.258585637560674,0.844253651767448,0.789470491716526,0.237121586473313,0.857874136185797,0.638796524146833,0.534992957074347
ODR4,0.202705698102311,0.222345650768249,0.818612836263987,0.819953444595603,0.160081105135597,0.870248298375828,0.809962880909688,0.557548374928585
MTERF3,0,0,0.935911506087538,0.86435908181367,0.372681307082231,0.93143456215948,0.5152598799943,0.829406137917365
DDX42,0.201049284701984,0.321570955822995,0.848291101230339,0.591280124086639,0.372766633080183,0.97253779212006,0.597248345469039,0.533537640680494
DENND1B,0,0.283159824409656,0.969816521931361,0.979717496771747,0,0.974330737054314,0.30765147336567,0.921452807400052
ADGRL1,0.403608354184848,0.346461477978302,0.650436053878351,0.678863125563414,0.399367760463273,0.646627274115823,0.643986504093288,0.65580001523087
CPLX2,0.158326101385507,0.256343538618533,0.890005450614163,0.871395627384565,0.329564143889894,0.912958955705752,0.355716763178712,0.650365955709825
LARS2,0.169432424913228,0.203873335914518,0.909911026050432,0.824725466507904,0.581449701881233,0.967575985996684,0.196172829669574,0.568282848363224
CYB5B,0.372742511266688,0.193812788685438,0.950292490645056,0.95466029017816,0.526802569874904,0.969290258795747,0.24223323287247,0.189317650449538
DLG5,0.516168220525674,0.191325256913406,0.826419979392415,0.781684422616265,0,0.800982308229125,0.35907834181185,0.857053549922678
ZNF804A,0,0.204504122885672,0.834176929935814,0.792169894366022,0.432402588005084,0.913977457830829,0.52549277950995,0.61871208687814
CTTNBP2,0,0.246973252659117,0.947657375594366,0.821546099232891,0.498841334503488,0.83480382859916,0.299450869737351,0.670206848401624
RCC1,0.532604876788859,0.510010263930627,0.508151423458359,0.591112842994365,0.468051492919558,0.597215658896641,0.610925855809554,0.492542404344419
SSBP1,0.39288486989441,0.345589321368897,0.517282506288154,0.769849755181708,0.158642932617278,0.581364493232913,0.830339644625768,0.713181576336543
MELTF,0.842982671885,0.769934936155691,0.592368528022015,0.716145216331174,0.61726982143499,0,0,0.768007613923566
ELMO2,0.452,0.444281629192205,0.649732598665854,0.602,0.473,0.679203378122111,0.515253369670222,0.473
IFT57,0.241964385409571,0.274983925163619,0.805170725153389,0.680437385782585,0.252321132120345,0.807690015338378,0.578107122502744,0.639152791659476
ZNF730,0.345012251450723,0.770797087979485,0.570211593209326,0.638832725576034,0,0.72981717116375,0.61304065302176,0.592867961296221
CEP57,0.286818406439172,0.213493904018351,0.791,0.87,0.16514685333852,0.844,0.719,0.369618487017113
LMBRD2,0,0.174526038434775,0.981370919427178,0.842125215071263,0.43122945614438,0.953477382261012,0.17777744762258,0.664180698968201
DGKI,0.191430137956654,0.185361352984822,0.819918249466363,0.712119402500685,0.157546255191596,0.93433050343466,0.576936398478077,0.644605976750304
MATK,0,0.575025458510517,0.785268977554676,0.722163451257015,0.441704285719497,0.81119206432931,0.439827247053245,0.442603374513241
NIPA1,0,0,0.956,0.786,0.72,0.947,0,0.804
ZNF618,0.433768000918696,0.410399106280495,0.627918889832029,0.591487623145429,0.360204892111529,0.581005048093705,0.57167261075312,0.61759295573921
WDR17,0.506,0.518,0.537,0.537,0.477,0.537,0.537,0.537
AKAP9,0.171592543469162,0.204590564922826,0.64900196468862,0.655061708438748,0.259906047578748,0.621027544573959,0.812119354524032,0.803028117740729
AL157871.6,0,0.491555548539665,0.951852775404003,0.819235762733708,0,0.937106775891328,0.44039580459276,0.535247302332494
NLN,0.272417882250909,0.274007537129597,0.805784377278419,0.657340634217874,0.227495200628782,0.69517914017821,0.650751697249265,0.5808350756762
RNF144A,0.236568451562669,0.296795337156192,0.798970105637626,0.660821437109796,0.261514052912484,0.863627030099542,0.536396680636098,0.488464566369284
RAB2B,0,0.46825261236014,0.575994053155281,0.629864099075011,0.572005174649202,0.660066290735913,0.573491950836251,0.649187937068151
ATG2B,0.309443079027515,0.412357304138507,0.597825060778934,0.760610710471958,0.123,0.665577457979841,0.627576400711903,0.621369177470564
MYT1,0.12,0.396,0.66,0.662,0.653,0.655,0.202170284990474,0.763
MDN1,0,0.314763419970724,0.919619179845465,0.111,0.317743213643148,0.973679295980593,0.70758330596985,0.761127232734882
AC068205.2,0,0.17161379536615,0.95212971105515,0.956433311868475,0.237325135959458,0.944179407279588,0.173544060401911,0.648689467192638
ARHGAP5,0.434043761075878,0.422133825334136,0.517932625740592,0.715453443023267,0.176500030395448,0.530549951105061,0.750793741230608,0.515837192848945
RAP1A,0.402,0.452,0.546,0.546,0.538,0.555,0.487,0.531
SLC41A3,0.21053782658577,0.216152947686797,0.68707438375836,0.729920173101122,0.184518794332819,0.699430454054341,0.699783432461588,0.62116678284861
SAR1A,0,0.206231203269986,0.908068268106756,0.727944255157004,0.569160192522729,0.980383389555032,0.20872954991716,0.412617278237562
CSTF3,0.482837106432312,0.479817809714593,0.442599784967358,0.634818239766907,0.304311407485476,0.479008703697995,0.644480176067351,0.538656400868606
CCDC3,0,0.424428079319687,0.724428097352912,0.637758675145144,0,0.847007072512874,0.744547072282076,0.625866103846078
EIF2D,0.345957397594367,0.404182635460725,0.546060666497652,0.575751649793888,0.441,0.568952268968932,0.565223013916131,0.556462394223777
DOCK3,0.220960524400417,0.202402751651005,0.784033320893731,0.641701332202425,0.272791420643846,0.79893801233153,0.556626600829904,0.524007222757844
VAV2,0,0.28002990876867,0.884312212040412,0.715432686578039,0.397909751788028,0.948153767059857,0.286216368362231,0.450569959339252
TSPAN7,0.300240796636301,0.493475215667904,0.53699033453247,0.555513580174783,0.511224637721707,0.544362741594232,0.486085958064736,0.534080371089969
MAST4,0.320562383360262,0,0.968295552473956,0.75480617255501,0,0.964317996536412,0.328722893814998,0.624937398802538
UBAP2L,0.109546994628146,0.274398719099387,0.885584741150244,0.769813811815942,0.438111042490754,0.87996286809938,0.122059509769334,0.479674233174267
TNRC6A,0.323311905953888,0.244499460995979,0.747500119244716,0.565656956488647,0.327867840917353,0.795038104203108,0.503778026399948,0.449202063788932
LUC7L3,0,0.287157288893689,0.846404819487582,0.723448900463439,0.268634129951649,0.923806710595212,0.408581933369039,0.473944320397431
MRPL39,0.320790549410764,0.288612129828218,0.510582763903864,0.708652464565024,0.168627139292304,0.552043012995593,0.681393614926124,0.699814964477373
PPHLN1,0.23086076350694,0.311213623819668,0.646715382655118,0.606736584859566,0.353,0.660935661120116,0.546477213722228,0.566665420364865
ARMCX6,0.399822700540826,0.389083906632249,0.50165976275595,0.619266003464405,0.238561759416286,0.522143879497081,0.661834401400262,0.577436985802195
ZNF585B,0,0.412158340379837,0.763195566283515,0.639052379952225,0.348972667000288,0.547684614702025,0.531790074314141,0.572828780163883
KDSR,0.195574080019765,0.233739441288649,0.502226202112029,0.729803105502344,0,0.558996554176426,0.762545604603216,0.829767224596186
BLMH,0,0.25987413252058,0.649209821003446,0.562296799826754,0.338351618060562,0.688026451217573,0.707702269449888,0.598860935827174
ANKRD13C,0,0.199595479286825,0.80554877855427,0.74507504713907,0,0.776246525979517,0.628990967102817,0.636992280823895
ANK2,0.256944403617209,0.254947408589722,0.39399569168215,0.689992561431422,0.20423992379107,0.469453172702066,0.805123249667738,0.717135584051283
KCNT2,0,0.947676341475344,0.232,0.289,0.430952883571399,0,0.948089208132911,0.943279942181244
HIKESHI,0.287,0.31,0.656,0.539,0.391,0.664,0.404,0.512
PRPF39,0.302791804785646,0.155792362235715,0.83734826205663,0,0.236596401326734,0.959554587096778,0.585894006930157,0.673137558639125
SH3YL1,0.430391915150308,0.329536589217121,0.595090161584882,0.494871280242045,0.353,0.475697881234666,0.569308721886197,0.499817536369641
SORCS1,0,0.500904995421023,0.902963989693064,0.71055827192574,0.655520742036637,0,0.338635256545652,0.632552010946932
PITPNB,0.583985807771781,0.427791034394784,0.287756909153101,0.221238392732594,0,0.839122109930454,0.643256353486265,0.731259640055874
BEND6,0.163,0,0.756,0.729,0.426,0.764,0.13,0.764
TMEM214,0,0.413784691817589,0.792259239703501,0.616992958654362,0.199488640155764,0.907102176859923,0.522996479422076,0.276845196308515
VSTM2L,0.193789932557733,0.208307137047123,0.608128144211839,0.585047832794527,0.254252104537505,0.564440349213053,0.626075932291279,0.640857816150532
CTNS,0.399968019261693,0.169752688946034,0.826891372827689,0.64844360898721,0.344681453988968,0.857244413021204,0.26029213054354,0.160318126408672
NELFA,0.274245462095811,0.360211332993959,0.619179564660063,0.535375373275897,0.201427395378222,0.743406294667068,0.527177623656065,0.392755881523144
COG3,0,0,0.995036033148267,0.765870283368278,0.303411490075196,0.995025119648091,0.133,0.408848001564875
RCOR3,0.379186897403949,0.40027248552107,0.48648646461855,0.584435922522243,0,0.658912139693674,0.695744570880688,0.379853382244596
SPATS2,0,0,0.896908565625092,0.714935173343894,0.169276549290987,0.935239670475158,0.380688029229733,0.450433107179151
CDH18,0.245577989259886,0.376535512521622,0.536708112395195,0.531086610198382,0.183093377768752,0.615330727512326,0.587846219371959,0.466507558899835
FCHO1,0.225945744765088,0.199800839748674,0.536240697575995,0.664292630519664,0,0.549285064233903,0.658999818534367,0.705136327877843
YPEL5,0,0.374,0.733720554856573,0.544726052468713,0.284,0.812944107125291,0.322,0.459
CHN2,0,0,0.921760911902709,0.789911165197752,0.422192145698668,0.932556920801827,0,0.434250144011226
