Genes,iPSC.BIO1755497.00040nM,iPSC.BIO2006152.00045nM,iPSC.BIO2059811.00261nM,iPSC.BIO2135644.00300nM
CTNS,0.286417450071056,0,0.489773761328981,0.396852461531103
FAM174A,0,0,0.617279753014614,0.545542623150494
MMS22L,0.339016602735182,0,0.437799002157176,0.379679635816622
EML1,0.212325761409651,0.227119480535883,0.29766326312825,0.411621048355408
C14orf132,0.369903044124173,0.301986016501126,0,0.471063104042459
NOD1,0.301,0,0.344,0.455
FES,0,0,0.586589002651636,0.510724931755206
FAM149B1,0.159,0.155,0.421797488038384,0.359087045127319
GCFC2,0,0,0.751419210454428,0.342432117975827
TSPAN7,0.113,0.19795355200486,0.403646257559505,0.376
DCAF17,0,0,0.753218979705739,0.327889984443965
CRYM,0.274074993679793,0,0.301191416428077,0.503543019086415
ZMIZ2,0.284856372256167,0.10900345762269,0.348526190723811,0.314362385313248
SLC7A6,0.155,0.207910837860022,0.372515017617658,0.314655143171488
APIP,0.115567451092974,0,0.551085847691004,0.377331435832455
TASP1,0,0,0.694522954351854,0.331656431204139
CACNA1H,0.254738805819313,0,0.472434197924823,0.269382693953186
CAPNS1,0.406553066580451,0,0.289209862847022,0.298375873998476
EMSY,0.179510589377454,0,0.480776905188995,0.330744965100232
SEC22A,0,0,0.620927806865991,0.36233376439162
TOE1,0,0,0.72019868338535,0.254944625602738
PDIA5,0,0,0.618664803329506,0.354549214206308
TCF4,0.169164217996144,0.142720693373104,0.358260523498762,0.301939118704399
CHEK1,0.189495379973207,0.203884057125536,0.290165912049295,0.287510666818288
LNPK,0.316101289943488,0,0.397593197767811,0.255550763452988
TMEM214,0.249087642527669,0.138112572432471,0.373527069541579,0.204480727555929
SNAP23,0,0,0.951,0
ENAH,0.202962738262518,0.134014817507143,0.262206916199219,0.348257432954437
CDC37L1,0,0,0.626114845864654,0.307993994903716
TET1,0.285530955746089,0.135338176920536,0.274763697492248,0.237618447035077
HELQ,0,0.309882811519773,0.313145807998937,0.308245198295796
EGLN1,0.302,0.319,0.298,0
DHFR,0.186726565300246,0.113824614570292,0.242724537413435,0.372856510807262
TUBE1,0.234669173078184,0,0.340170539524766,0.334604391941112
PNISR,0.323082272158559,0.158632951765544,0.12865023810087,0.296067431216709
ZFYVE26,0,0,0.479785078072532,0.426034983947578
RAPGEF1,0,0,0.741,0.152445688741909
PRPF31,0,0,0.608512904638216,0.280766045428179
CYB5R2,0.417,0.455,0,0
SNHG16,0,0,0.538411471812031,0.330807443814823
CLN3,0.255,0,0.297,0.313
RPS10,0,0,0.458589218793122,0.401729942927903
DENND1A,0.190128520635565,0,0.466043879842466,0.19984839711266
MAN1B1,0.207958748867262,0.206397480930717,0.195953092505683,0.244941182731333
TMC3-AS1,0,0,0.850752000916864,0
CA5B,0,0,0.456367546024625,0.379950519622319
PPP1R26,0,0,0.530305020586521,0.298040859939827
PMS1,0,0,0.553483054065283,0.272781326992001
ARMCX6,0.258392588301775,0.108144157997762,0.163248986629705,0.293557361451013
NIPA1,0,0,0.509503208611513,0.312141550649996
PFKL,0.253,0.253,0.16,0.15
TSPAN2,0,0,0.612224570684686,0.19481265859804
LINC00678,0.310230155799702,0,0.177859241860105,0.31321443188187
ANKRD13D,0.212,0.196,0.218,0.175
PAN2,0.189,0.162,0.233,0.208
GULP1,0.268,0.117,0.27283573407805,0.130227420630463
SLC12A2,0,0,0.605008130911603,0.181165709793046
SAC3D1,0.192,0.223,0.206,0.159
WNK3,0,0,0.431861201242429,0.338144552815459
SPPL2B,0,0,0.440520511846915,0.324305315731875
ANKHD1,0,0,0.376383262447803,0.383527828780705
LHFPL2,0.259816196296794,0.161412360851221,0.178798007188932,0.156818478222314
PHGDH,0.226371827483661,0,0.296363776236194,0.225563700924012
ABHD10,0,0,0.459381475515176,0.288216561712252
PPHLN1,0.111,0.108,0.285,0.239525535823675
AC010522.1,0.23282531617906,0,0.275832937215237,0.232
KIF21A,0.254849329579416,0.15152479128419,0.151801620009254,0.182015852308612
HARS1,0.409,0,0,0.329
TIMM23B-AGAP6,0.40423091674763,0,0.331606241139417,0
SERGEF,0,0,0.407539594581647,0.324794082201408
ZNF730,0.24188937448053,0.221028476997707,0,0.26857593665098
LINC00667,0.157,0,0.301,0.26365627528512
SUN1,0.229,0,0.245543828807248,0.24294042073911
TMEM50B,0.23717463854723,0,0.121,0.34866885302757
RNF144A,0,0,0.449456314912961,0.254776782296701
SYN3,0,0,0.315635633806767,0.387833270390449
ANKHD1-EIF4EBP3,0,0,0.344334285029221,0.356856736634941
NAA40,0.267,0,0,0.432
PPIP5K2,0,0,0.58122265422749,0.117470882657314
FGFR1,0.358,0,0,0.337
IFT57,0.164870436817864,0,0.342203683622601,0.187516018965651
PRKCG,0.323051503032076,0,0.371155125178588,0
PPP4C,0.192,0.152,0.15,0.199
TMEM198B,0,0,0.247,0.435393379554201
LINC00862,0,0,0.32411588533635,0.357773599211491
AC092718.3,0,0,0.34732806222528,0.333447951426003
VWDE,0,0,0.383465000592295,0.292575621126505
MLLT10,0.19458010642479,0.153718121153923,0,0.325884172161411
ZMYM6,0.174564156301408,0,0.12,0.372069072320261
FGD4,0.171656753492619,0,0.309153343612047,0.174708094091466
TTTY14,0,0,0.209746876208859,0.443716073506911
SH3YL1,0.20850040858889,0,0.167811571525017,0.271927808589725
DPH1,0,0,0.388448145457959,0.24879841757201
C1orf94,0,0,0.275366162017145,0.361234251603745
RTTN,0.145,0.139,0.17,0.178
SCLT1,0,0,0.37298599043909,0.258337934657116
VAV2,0,0,0.401573236457213,0.226566541212924
LRRC28,0,0.156048072477609,0.198,0.274
HSD17B12,0,0,0.62322074632646,0
ZNF138,0,0,0.375085477989873,0.245328777377222
TNS3,0,0,0.412046003448686,0.204191696048706
NUTM2A-AS1,0,0.169,0.226757424355771,0.218414728591456
EXTL2,0,0,0.348894180392132,0.259165002495436
TMEM241,0,0.287277926036633,0,0.317751295230617
NAXD,0.174,0,0.21593444203662,0.206
ELMO2,0,0,0.390756130793403,0.203569688315062
KCTD20,0,0,0.307366390724365,0.280515347920444
SOS2,0,0,0.397004225429906,0.190411396410899
CCDC88A,0,0,0.367734480440679,0.218977667614561
SOBP,0,0,0.249,0.331522839163727
SNHG5,0,0.153,0.231270797894968,0.193
PANK4,0.156,0.14,0.125,0.156
AC068205.2,0,0,0.575783721391087,0
VAMP4,0.268452668139588,0,0.303551971838328,0
RPS6KL1,0,0.283,0,0.283
XRN2,0.160791492354402,0,0.140528428615299,0.264023217895178
CEP164,0,0,0.565141541332072,0
DIAPH3,0,0,0.387131289231846,0.177
SGCE,0,0,0.326,0.233
WNK1,0.237875245791508,0.126687856118317,0,0.19297429520653
NRG3,0,0.267148710358444,0,0.288619236409113
TTC23,0,0,0.251,0.304
PACRGL,0,0.153,0.227749693440515,0.168
ADGRL1,0.13903167698776,0,0.180919235869317,0.226991581874059
AOPEP,0,0,0.284146870386341,0.256263014405706
MAN1A2,0,0,0.290860700732536,0.241798529885708
SF3B3,0.221216142902125,0.107809543055464,0,0.203095941343269
DALRD3,0.265751467786771,0.264651621823585,0,0
THAP10,0.171631316339431,0.178686151158864,0,0.178876063310882
ZGPAT,0,0,0.264,0.264
AC104109.3,0,0.523033017444433,0,0
PIGN,0,0,0.362955974722311,0.155275479794195
PLCH1,0,0,0.284578420110731,0.23357435594302
COA1,0.271,0,0.122,0.125
TSC1,0.183,0.133,0,0.201
PRODH,0,0,0.246893887507627,0.267444524920653
ZMYM2,0,0,0.205,0.304
CTTNBP2,0,0,0.305383048195338,0.201
ZNF215,0.113,0.141,0.118,0.126
STOX2,0.229810423337184,0,0,0.264804399935917
CCDC120,0.253344896473096,0.241133642169435,0,0
CACNA2D1,0.493711347832477,0,0,0
VPS26C,0.161,0.129,0.203,0
LIPG,0.17,0.159,0.157,0
DNAJB6,0.104,0.103,0.12,0.155
GRID2,0,0,0.32336318444589,0.155053736357794
COPS7B,0,0,0.274785866488345,0.201137807426005
GPSM2,0.249,0.224393378662585,0,0
CENPA,0.158,0.15,0,0.163
EHHADH,0,0.249516097313988,0,0.220304207837126
AKAP9,0,0,0.203,0.265
PRKG1,0.214039446405277,0,0,0.251168469869074
BORCS8,0,0.238,0.226,0
EWSR1,0.11,0,0.127,0.226
AC138894.1,0,0,0.296,0.166968865290433
SGK3,0,0,0.461695264135557,0
RAB3IP,0.461668445980259,0,0,0
PLEKHM1,0,0.187466622740517,0,0.271
TRAPPC13,0,0,0.456,0
ADARB1,0.152,0,0.152,0.152
UBAP2L,0,0,0.294201417521646,0.161651880254217
HIKESHI,0,0,0.452,0
RBCK1,0,0,0.191632432693509,0.256709154594878
TRIM27,0.446,0,0,0
ERG,0,0.153,0.28827033474506,0
FRMD8,0.15,0,0.115,0.176
JPX,0,0,0.198,0.240495259033065
TYW5,0.161,0.13,0.146,0
THEMIS2,0.19,0,0.128,0.117
OR2A20P,0,0,0.433205634432826,0
ITPK1,0.234784093923817,0,0.194102856926587,0
MMP17,0,0,0.244339325379505,0.18352134245876
FBXO10,0,0,0.250194597678179,0.176362457499929
SERP2,0.190339555330633,0,0.236045895167033,0
SEPTIN2,0.171,0,0.254,0
ACVR1B,0,0.210289228073855,0.212730740613125,0
PIEZO2,0,0,0.417369935404565,0
TMEM18,0.146,0,0.268637320213204,0
NGLY1,0.122,0,0,0.292
AC114490.2,0.172257367612643,0,0,0.241258422028566
WDR90,0,0,0.408132833245941,0
GRB10,0,0,0.28350914326577,0.124
IFT27,0,0,0.407,0
PPIA,0,0,0.235,0.172
TRPT1,0.165,0.139,0,0.102
MKLN1-AS,0,0,0.401773768518023,0
ZNF415,0,0,0.272,0.128883830023554
ZNF182,0.223410394851539,0,0.176737993030108,0
ENKD1,0,0.196,0,0.204
GAS2L3,0,0,0.395614850877577,0
UBE2D3,0.221738682782003,0.172232222178815,0,0
AC009533.1,0,0,0.393399646203162,0
PLPP5,0,0,0,0.391
GPD1L,0,0.112,0.138,0.14
CRYZL1,0,0,0.38831434454788,0
ZMYM5,0.139,0,0.248614712623074,0
ODF2L,0.235816862466894,0,0,0.149
ZNF777,0,0,0.381095125948999,0
RLIM,0,0,0.229809073456936,0.151
EPB41L2,0,0,0.207,0.173
GATD1,0.116,0,0.116,0.148
MANEAL,0.19,0,0,0.187
SUPT20H,0.123473369856143,0,0.253309941593609,0
TNRC6C,0.218070303859289,0,0,0.158
JMJD7-PLA2G4B,0.163,0.21,0,0
INTS11,0,0,0.369,0
AC009055.2,0.191223407964728,0,0.175548432789406,0
WDR91,0,0,0.366463128403588,0
EDEM1,0.146,0,0,0.217640081236678
RTN2,0,0,0.182728634694941,0.180745865209324
DIAPH2,0.169294138361659,0,0.192803701365228,0
DDX59,0.117,0.119,0.125,0
FIGNL1,0,0,0.361,0
TAF5L,0,0,0.235117444805592,0.124400546328896
TNFRSF25,0,0,0.355699540069714,0
FYCO1,0,0,0,0.355470327613527
PCNX4,0,0,0.122,0.231982229058178
SHMT1,0,0.113,0.125,0.115
SLC25A30,0,0.152,0,0.201
SCMH1,0,0.250056668778166,0,0.102
ZNF680,0.182583161036035,0,0,0.1671482817142
PCM1,0.227931308553703,0,0.121,0
ANO8,0.111,0,0.124,0.113
TJP2,0,0,0.173064892470792,0.174559020820069
CLK4,0,0,0.347,0
MAP4,0.122,0,0.113,0.112
AL731577.2,0.179307891250682,0,0,0.16755618447043
RPF2,0,0,0.223535218768325,0.122078782106706
ELP6,0,0,0.239,0.106
SYN2,0,0,0,0.344507070546888
NUDT22,0.101,0,0.134,0.108
ST3GAL1,0,0.34,0,0
SYNE2,0,0,0.339137352485019,0
L3HYPDH,0,0.338847508347343,0,0
TRRAP,0,0.338117398215904,0,0
UGGT2,0,0,0.233,0.105
MYL5,0,0.337306049743204,0,0
RBM11,0.337285072067244,0,0,0
ZNF404,0,0.336722119882004,0,0
CHROMR,0.336,0,0,0
ELF2,0,0,0.148,0.188
SEMA4F,0.335400429096133,0,0,0
AGO3,0,0,0.200427935361022,0.134
SERHL2,0,0.334,0,0
NUBP2,0,0,0.332,0
MKNK1,0,0.329676775882902,0,0
SMG1P2,0,0,0.329672259704288,0
ZFP90,0.32836840072601,0,0,0
NPEPPS,0,0,0.216340806881059,0.112
ZNF185,0,0.328106452672582,0,0
UTY,0.165825184761915,0.161425172866005,0,0
APOC1P1,0,0.326535861274089,0,0
WDR37,0,0,0.326145191941425,0
FAM189A1,0,0.32349429195391,0,0
AP000812.5,0,0.323137805847424,0,0
FBXW11,0.175,0,0,0.147
ADAL,0.111,0,0,0.210153124412623
TRMT2B,0,0.193,0.128,0
GXYLT1,0.320902968327185,0,0,0
TRAF3,0.146,0,0.174134386401158,0
SPSB3,0.319583358588197,0,0,0
BLOC1S2,0,0.319446055213528,0,0
TNFRSF12A,0.319360875786214,0,0,0
SEMA6D,0.318120013248326,0,0,0
USP4,0,0.15073770548671,0,0.165394815839865
QRICH2,0.316,0,0,0
OPN3,0,0.143,0.171,0
AMPH,0,0,0.181,0.132
POLG2,0,0.311,0,0
ZNF559-ZNF177,0.310757674818247,0,0,0
MAGOHB,0.142,0,0,0.168
PRR13,0,0.307388737222857,0,0
RREB1,0,0,0.162341101321342,0.145
AHI1,0.3062881213044,0,0,0
DHRS12,0,0,0,0.305848955447981
ZFAND4,0,0,0.304110970322678,0
INPP5K,0.30348913986978,0,0,0
SNHG32,0,0,0.171,0.131
LINC01484,0,0,0,0.302
TANK,0,0,0,0.301165175708762
SMC6,0,0,0.16808150839233,0.131100202381604
IL17RB,0.298,0,0,0
TMEM175,0,0.297295737525439,0,0
GRINA,0.127,0,0.17,0
SNHG14,0,0.134,0.163,0
ARMC5,0.151,0,0,0.146
ZNF708,0,0,0.118,0.178
MAPKBP1,0.295646638134063,0,0,0
OSBPL6,0,0,0.295465316947696,0
ASAH1,0,0.142,0.153,0
ADAM17,0,0,0.294470473383239,0
COPS5,0,0,0.293836303389753,0
LRTOMT,0,0.293538250135829,0,0
AL441992.2,0,0,0.29346366838145,0
ZNF26,0.293,0,0,0
STAM,0.173,0,0,0.118
OBSCN,0,0.290427825400937,0,0
MAP4K4,0,0,0.155,0.135
CEP41,0,0,0.176217820912766,0.113578078912
ZNF790,0,0,0.289105061367234,0
PRPF39,0.113820845445382,0,0.175076426534825,0
ZNF614,0.121588383103336,0,0.167017917798559,0
FGFR2,0,0,0,0.287291323563448
RSRP1,0,0,0,0.286428288454323
CFAP410,0,0,0,0.285489350319038
SYP,0,0.18,0.105096062518373,0
ARHGEF12,0,0,0.133,0.152
LINC00337,0,0,0.283,0
SMYD2,0,0.282,0,0
TRAF4,0,0.282,0,0
ORAI3,0,0,0.281921410759124,0
RCOR3,0.281572344573913,0,0,0
PRUNE2,0,0,0,0.281473045940528
SCHIP1,0,0,0.281,0
APOO,0,0,0.158521061260869,0.12221075711752
POLM,0,0.280624585423768,0,0
USP28,0,0.28,0,0
GLI4,0,0,0.279254171003754,0
LUC7L,0,0.143,0.136,0
ZNF418,0,0.147,0,0.132
ZNF264,0,0,0,0.278378649799092
SLC44A2,0,0,0.164302163861495,0.113822997088568
C19orf47,0,0,0.277578069987675,0
GLT1D1,0.27703504613818,0,0,0
PI4KB,0.128,0,0,0.149
ICOSLG,0.276539683252182,0,0,0
RASSF4,0,0,0,0.276452403112857
YPEL5,0,0,0.129,0.147
AL713999.1,0,0,0,0.275269392084152
ATP2C1,0,0,0.275214671064531,0
BBS9,0.155,0,0.12,0
PKD1,0,0,0.274895705779334,0
CSPP1,0,0,0.274783057330066,0
EXO1,0,0,0.167647512789131,0.107
ZNF208,0,0,0.273474069097548,0
AC107871.1,0,0.27322298328461,0,0
ZNF799,0.272082252010308,0,0,0
NASP,0,0,0.149,0.123
SNHG26,0,0.272,0,0
ARHGEF3,0,0,0.270560486945893,0
SNX4,0,0,0.269588645421854,0
NR4A1,0,0,0,0.268882394050893
TASOR2,0.268,0,0,0
CLDND1,0,0,0,0.26782816633485
PPM1K,0.267469936836304,0,0,0
CCHCR1,0.16,0.107,0,0
MRTFA,0.131,0.134,0,0
ZKSCAN7,0,0,0.265,0
AC004943.2,0,0,0.264969062758104,0
AC068587.4,0.264741925972837,0,0,0
KCND2,0,0,0.264272219272756,0
NSUN3,0.132,0,0.132,0
RNF103,0,0.264,0,0
AC021087.5,0.263895531600305,0,0,0
MTERF3,0,0,0.261073836402005,0
ARAP3,0,0,0,0.260703926852749
MCM3AP-AS1,0.260655550588898,0,0,0
PIFO,0,0,0,0.26047876574815
AKAP7,0,0,0.260395782899044,0
CHST6,0,0,0.26,0
IP6K2,0.141,0,0,0.119
SELENOV,0,0,0.259400857639887,0
CD40,0,0,0,0.258989670882518
EIF1AD,0,0,0.133063590920529,0.124960175492545
SPIN1,0.113,0,0.145,0
ACVR1,0,0,0,0.257665413261848
ASH2L,0.13322141910788,0,0.121643623299923,0
ZNF28,0,0.254174562447725,0,0
R3HDM4,0,0,0.253970630412621,0
CLOCK,0.11,0.143,0,0
ZNF239,0.132,0,0.121,0
MAOA,0,0.252624643094532,0,0
IGFLR1,0,0,0,0.252275264118852
CCDC144NL-AS1,0,0,0,0.252123402632769
FRYL,0,0,0.252,0
RNF220,0,0,0.113753142469914,0.13780357871438
DOK1,0.25058101319319,0,0,0
AP002784.1,0,0.250267102868393,0,0
NPHP4,0,0,0,0.250259302457397
ZNF177,0.250152315448202,0,0,0
MCCC2,0.249881456125162,0,0,0
HYAL3,0.249747992066403,0,0,0
DOCK1,0,0,0.249373400960825,0
CMSS1,0,0,0.120755331056025,0.128369919405042
CCNYL1,0,0,0.14,0.109
ASTE1,0.247972378523556,0,0,0
PMS2P10,0,0.2475446281118,0,0
DLEU7,0,0.246996392349978,0,0
APOBEC3F,0,0,0,0.246893645145822
AD000671.2,0,0,0,0.246891181831567
ZNF623,0,0,0.246557114491647,0
RASGRP2,0,0,0,0.246153794910253
DFFB,0.246,0,0,0
ANGEL2,0,0,0.245401498837659,0
METTL23,0,0.24527024659438,0,0
DYRK1A,0.128,0,0.116,0
WDR62,0.244,0,0,0
SCO1,0,0,0.10440664570195,0.13892641042895
CBLC,0,0,0,0.243
EIF4G2,0.242891657004181,0,0,0
AFMID,0,0,0.114,0.128
ATXN2L,0,0,0.241,0
DDX5,0.240722046112136,0,0,0
AC018630.2,0,0,0.240365686219137,0
BICD1,0,0,0.240203630068261,0
RNF34,0,0,0.128941160603658,0.110617746292746
ZFPL1,0,0,0,0.239
SLC25A14,0.236721746629014,0,0,0
TIMELESS,0,0.118,0,0.118
SDCCAG8,0,0,0,0.235373565289142
ERCC1,0,0.106,0.129,0
TBC1D1,0,0,0.133939239009886,0.100590811764947
SBDSP1,0.113,0,0.12,0
KIF24,0.232953516190698,0,0,0
TRIM37,0.232867554384361,0,0,0
CAMSAP1,0,0,0.125,0.107
LINC00630,0,0,0.231778716872941,0
TSGA10,0.231747268751887,0,0,0
MYO3A,0,0,0.23169859156313,0
ACACB,0.231054122120366,0,0,0
NPHP3,0,0,0.23,0
PRUNE1,0,0,0.23,0
LINC00698,0,0,0,0.229674270205762
CHEK2,0,0,0.229,0
LCTL,0,0,0.119,0.11
ACSL4,0.122,0,0.106,0
FIRRE,0,0,0,0.22788573284438
EIF2D,0,0,0.111,0.116
CNTRL,0,0,0.226656847140053,0
DLG5,0.226194710657923,0,0,0
RERE,0,0,0.226167678938409,0
MYLK,0,0.123896705885503,0.102,0
AL157778.1,0,0,0.225724426759097,0
BRSK2,0.225304809835762,0,0,0
NR1H3,0.224570556162366,0,0,0
ANKRD9,0,0,0.223439923757266,0
ARRDC1,0,0,0.117,0.106
PARN,0,0,0,0.223
TSC2,0,0.113,0,0.11
SPTAN1,0.114137740911862,0,0,0.108731090033878
AC073050.1,0,0,0,0.222854675401181
FAM174C,0,0,0.222533485691235,0
ZNF821,0,0,0,0.222476415666844
AMACR,0,0,0.12,0.102
LARP4,0,0,0.221740424005356,0
PFKFB3,0,0,0.219453280869857,0
SLC25A37,0.219427712479616,0,0,0
AC069288.1,0.218350229766292,0,0,0
ABAT,0,0.21829659716038,0,0
TRIM68,0,0,0,0.217
CRTC1,0,0,0,0.216938440114217
CCDC74B,0,0.216374386448311,0,0
RALGDS,0,0,0.216,0
MACF1,0,0,0.108722475930867,0.107
ZNF585B,0,0,0,0.215624415296526
CAPN15,0.215,0,0,0
RBBP8,0,0,0,0.214984734957209
HLA-A,0,0.214,0,0
XPNPEP3,0,0,0.213805298779867,0
BORCS8-MEF2B,0,0.21377428345789,0,0
IL6ST,0,0,0,0.212752482454809
STXBP1,0.211998737304511,0,0,0
TTC3,0,0,0.211412304250142,0
AKAP13,0.210656730310532,0,0,0
RARS2,0,0,0.210216783436055,0
CTC1,0,0.101,0.109,0
CEP170,0,0,0,0.21
KRT8,0.209861259045848,0,0,0
RSPO4,0.209769044867171,0,0,0
UBP1,0,0,0,0.209531895188188
ZNF510,0,0,0.209328558583293,0
RPGR,0,0,0.20920133924966,0
NAT9,0.104,0,0,0.105
ATAT1,0.208119767039772,0,0,0
HMGN1,0,0,0.208,0
HIP1,0,0,0,0.207726184699999
DLGAP1,0,0,0,0.20636196172687
PARM1,0,0,0.206091598405258,0
DIABLO,0,0.206,0,0
POLD4,0,0.205721780198314,0,0
FAR2P2,0,0,0.205615109265294,0
CD47,0,0,0.205406640772466,0
BOLA2-SMG1P6,0,0.205,0,0
IMMP1L,0,0.204237091626658,0,0
LGALS1,0,0.204,0,0
NIPA2,0.102,0,0,0.102
ZFAND1,0.204,0,0,0
STK32C,0.202378077657581,0,0,0
EFHC1,0,0,0,0.202
SH3D21,0.20084922200567,0,0,0
KIAA1549L,0,0.199,0,0
SLC25A36,0.198,0,0,0
ARHGAP5,0.197370889548122,0,0,0
ANKS3,0.196859719310106,0,0,0
CAPN10,0.196,0,0,0
TSPOAP1,0,0.196,0,0
DESI2,0,0,0.195108362563918,0
PARPBP,0,0,0.195,0
PCNX1,0,0,0.195,0
EPN1,0,0,0.194680650420608,0
PDE2A,0,0,0.19453348709044,0
CTNNBIP1,0,0,0.194382512972913,0
PIK3CB,0,0,0.192800968812496,0
ARMCX3,0,0,0.192370079044511,0
PHF12,0,0,0,0.192
STK32B,0,0,0,0.191932090571199
PIK3R1,0,0,0,0.190747598422029
BBX,0,0,0.190554858006811,0
ZNF837,0,0,0.190234265455375,0
CROCC,0,0,0,0.19
PIKFYVE,0,0,0.19,0
WWOX,0,0,0.189499910532423,0
DDX42,0,0,0.189159433354247,0
