chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI
chr1,+,LRRC42,ENSG00000116212.15,SE,rmats,0,0,-0.493,178,0.228666666666667,0.721333333333333,exonStart_0base:53947861|exonEnd:53947981|upstreamES:53946357|upstreamEE:53946549|downstreamES:53951985|downstreamEE:53952472|IJC_SAMPLE_1:56;32;53|SJC_SAMPLE_1:100;40;86|IJC_SAMPLE_2:171;175;188|SJC_SAMPLE_2:40;31;23|IncFormLen:219|SkipFormLen:99|PSI_1_persub:0.202;0.266;0.218|PSI_2_persub:0.659;0.718;0.787,,NA,,,NA
chr4,+,LIMCH1,ENSG00000064042.18,SE,rmats,0,0,-0.758,109.666666666667,0.129666666666667,0.887666666666667,exonStart_0base:41638931|exonEnd:41638967|upstreamES:41619187|upstreamEE:41619440|downstreamES:41644499|downstreamEE:41644626|IJC_SAMPLE_1:17;11;12|SJC_SAMPLE_1:66;68;62|IJC_SAMPLE_2:77;129;123|SJC_SAMPLE_2:13;5;10|IncFormLen:135|SkipFormLen:99|PSI_1_persub:0.159;0.106;0.124|PSI_2_persub:0.813;0.95;0.9,,NA,,,NA
chr14,-,POMT2,,chr14:clu_7047,leafcutter,4.60827996242033e-05,1.18148188055666e-07,0.59805659901214,Success,0.374915596923724,0.972972195935863,logef:2.72978353392886|loglr:15.9513261693967|df:2|N:3|coord:chr14:77286822-77288762|chr14:77286822:77288762:clu_7047:-,annotated,NA,,,NA
chr15,-,PPIP5K1,,chr15:clu_1006,leafcutter,8.01282298383827e-12,2.39517635674008e-15,0.907482943964922,Success,0.0140450863296962,0.921528030294618,logef:5.59552476806222|loglr:38.9108422011871|df:5|N:6|coord:chr15:43584892-43688852|chr15:43584892:43590172:clu_1006:-,cryptic,NA,,,NA
chr16,-,AXIN1,,chr16:clu_9901,leafcutter,4.55584987366695e-05,1.11669662713185e-07,0.404407047565676,Success,0.339267950792123,0.743674998357799,logef:1.15447740503372|loglr:16.007720763882|df:2|N:3|coord:chr16:289607-293488|chr16:289607:293488:clu_9901:-,annotated,NA,,,NA
chr17,+,LINC02210,,chr17:clu_14295,leafcutter,0.00941230903560682,6.41479781227463e-05,0.525156166111874,Success,0.384162690513371,0.909318856625246,logef:2.38054085054621|loglr:14.4391732116692|df:6|N:7|coord:chr17:45630158-45645901|chr17:45630158:45636283:clu_14295:+,cryptic,NA,,,NA
chr3,-,RAF1,,chr3:clu_1394,leafcutter,1.43580883913809e-09,1.20172916529761e-12,0.445986103224473,Success,0.521319721491585,0.967305824716059,logef:2.2013247638291|loglr:27.4472596252558|df:2|N:3|coord:chr3:12600415-12604136|chr3:12600415:12604136:clu_1394:-,annotated,NA,,,NA
chr4,+,LIMCH1,,chr4:clu_16232,leafcutter,8.72327933619226e-07,1.09516868571793e-09,0.744875471601815,Success,0.0564105208195743,0.801285992421389,logef:2.80759120114853|loglr:20.6323574346586|df:2|N:3|coord:chr4:41619440-41644500|chr4:41619440:41644500:clu_16232:+,annotated,NA,,,NA
chr4,+,PHOX2B-AS1,,chr4:clu_16235,leafcutter,0.00283769577625044,1.59468764851762e-05,0.480473554172205,Success,0.151857159446539,0.632330713618743,logef:1.50822474700889|loglr:11.0462475795613|df:2|N:3|coord:chr4:41748586-41794205|chr4:41748586:41794205:clu_16235:+,cryptic,NA,,,NA
chr5,-,ARL15,,chr5:clu_2347,leafcutter,4.31463298699132e-05,1.03177688455582e-07,0.432024511560222,Success,0.209747828670216,0.641772340230438,logef:1.7007122407489|loglr:21.6345730480866|df:6|N:7|coord:chr5:54171928-54310432|chr5:54171928:54310432:clu_2347:-,cryptic,NA,,,NA
chr7,+,ABCB8,,chr7:clu_16845,leafcutter,0.00204401993440287,1.03869010835323e-05,0.583576538599254,Success,0.328912181275808,0.912488719875062,logef:2.29313795347164|loglr:12.9114978625436|df:3|N:4|coord:chr7:151028610-151033605|chr7:151028610:151033605:clu_16845:+,annotated,NA,,,NA
chr8,-,PDE7A,,chr8:clu_3706,leafcutter,0.000141103589604881,4.50677030556179e-07,0.615548646034984,Success,0.366015471488456,0.98156411752344,logef:3.01613159325861|loglr:14.6125148724798|df:2|N:3|coord:chr8:65779803-65782783|chr8:65779803:65782783:clu_3706:-,annotated,NA,,,NA
chr8,-,TAF2,,chr8:clu_3805,leafcutter,2.17442307815449e-06,2.85988567701314e-09,0.521875710111104,Success,0.438659633275069,0.960535343386173,logef:2.29245897746896|loglr:19.6724841859859|df:2|N:3|coord:chr8:119744393-119746705|chr8:119744393:119746705:clu_3805:-,annotated,NA,,,NA
chr8,+,VDAC3,,chr8:clu_8997,leafcutter,0.00258619195320034,1.41377566765241e-05,0.443738855449259,Success,0.00959809095694745,0.453336946406206,logef:3.33701223493892|loglr:12.5915318581501|df:3|N:4|coord:chr8:42394278-42398712|chr8:42396680:42398712:clu_8997:+,annotated,NA,,,NA
chr9,-,DENND1A,,chr9:clu_4305,leafcutter,2.72726352460848e-06,3.75004848843158e-09,0.442909415406002,Success,0.550140655021066,0.993050070427068,logef:3.1738736969587|loglr:19.4014970667993|df:2|N:3|coord:chr9:123452347-123454739|chr9:123452347:123454739:clu_4305:-,cryptic,NA,,,NA
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:s:41619188-41620294,majiq,NA,NA,0.783573435168881,,0.882,0.118,LSV Type:s|2e1.1o1|2e2.1o2|2e3.1o2|Exons coords:41619188-41620294;41620424-41620690;41638932-41638967;41644500-41644626|IR coords:,,0.4,ES,41619440-41638932,0.999999999999994
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:s:41619188-41620294,majiq,NA,NA,-0.782929718542348,,0.117,0.88,LSV Type:s|2e1.1o1|2e2.1o2|2e3.1o2|Exons coords:41619188-41620294;41620424-41620690;41638932-41638967;41644500-41644626|IR coords:,,0.4,ES,41619440-41644500,0.999999999999999
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:t:41644500-41644626,majiq,NA,NA,-0.782117287004518,,0.109,0.874,LSV Type:t|1e1.2o6|1e2.1o1|Exons coords:41619188-41620294;41638932-41638967;41644500-41644626|IR coords:,,0.4,ES,41619440-41644500,1
chr4,+,LIMCH1,ENSG00000064042.18,ENSG00000064042.18:t:41644500-41644626,majiq,NA,NA,0.78211728700452,,0.891,0.126,LSV Type:t|1e1.2o6|1e2.1o1|Exons coords:41619188-41620294;41638932-41638967;41644500-41644626|IR coords:,,0.4,ES,41638967-41644500,1
chr4,+,EVC,ENSG00000072840.13,ENSG00000072840.13:s:5733351-5733435,majiq,NA,NA,0.589960218664849,,0.606,0.014,LSV Type:s|1e1.1o1|1e2.1o2|Exons coords:5733351-5733435;5741334-5741441;5741716-5741814|IR coords:,,0.4,ES,5733435-5741334,0.990120086507874
chr4,+,EVC,ENSG00000072840.13,ENSG00000072840.13:s:5733351-5733435,majiq,NA,NA,-0.589960218664847,,0.394,0.986,LSV Type:s|1e1.1o1|1e2.1o2|Exons coords:5733351-5733435;5741334-5741441;5741716-5741814|IR coords:,,0.4,ES,5733435-5741716,0.990120086507874
chr5,-,SKP1,ENSG00000113558.19,ENSG00000113558.19:t:134174462-134174765,majiq,NA,NA,-0.49356918387063,,0.493,0.977,LSV Type:t|1e1.1o6|1e2.2o4|1e3.7o7|1e3.5o7|1e3.2o7|Exons coords:134174462-134174765;134174765-134175570;134176144-134176719;134176855-134176964|IR coords:,,0.4,A5SS_ES,134174514-134176855,0.988457056913011
chr1,+,LRRC42,ENSG00000116212.15,ENSG00000116212.15:t:53951986-53952472,majiq,NA,NA,0.498057266823103,,0.646,0.159,LSV Type:t|1e1.1o3|1e2.1o1|1e3.1o1|Exons coords:53946350-53946549;53947788-53947821;53947862-53947981;53951986-53952472|IR coords:,,0.4,ES,53947981-53951986,0.982376447666176
chr13,-,KLHL1,ENSG00000150361.12,ENSG00000150361.12:s:70107203-70108493,majiq,NA,NA,0.45484363903826,,0.471,0.02,LSV Type:s|1e1.1o1|1e2.1o2|1e3.1o3|Exons coords:69961308-69961444;69975620-69975802;70106604-70106747;70107203-70108493|IR coords:,,0.4,ES,70106747-70107203,0.900543595794712
chr13,-,KLHL1,ENSG00000150361.12,ENSG00000150361.12:t:69975620-69975802,majiq,NA,NA,-0.517284704287291,,0.47,0.998,LSV Type:t|1e1.1o3|1e2.1o2|Exons coords:69975620-69975802;70106604-70106747;70107203-70108493|IR coords:,,0.4,ES,69975802-70107203,0.998309519296562
chr13,-,KLHL1,ENSG00000150361.12,ENSG00000150361.12:t:69975620-69975802,majiq,NA,NA,0.517284704287292,,0.53,0.002,LSV Type:t|1e1.1o3|1e2.1o2|Exons coords:69975620-69975802;70106604-70106747;70107203-70108493|IR coords:,,0.4,ES,69975802-70106604,0.998309519296562
chr5,-,ARL15,ENSG00000185305.11,ENSG00000185305.11:s:54310432-54310582,majiq,NA,NA,0.465292697562545,,0.526,0.068,LSV Type:s|1e1.1o2|1e2.1o2|1e3.1o5|1e4.1o3|1e5.1o6|Exons coords:54113133-54113410;54154391-54154639;54171784-54171928;54285341-54285358;54307888-54307946;54310432-54310582|IR coords:,,0.4,ES,54307946-54310432,0.936497588525367
chr14,-,STRN3,ENSG00000196792.12,ENSG00000196792.12:s:30935163-30935304,majiq,NA,NA,0.495017793911286,,0.864,0.384,LSV Type:s|1e1.1o1|1e2.1o2|1e3.1o3|1e4.1o5|Exons coords:30912007-30912311;30913524-30913657;30918966-30919106;30929201-30929311;30935163-30935304|IR coords:,,0.4,ES,30929311-30935163,0.980857827158284
chr14,-,STRN3,ENSG00000196792.12,ENSG00000196792.12:s:30935163-30935304,majiq,NA,NA,-0.480673758130867,,0.127,0.593,LSV Type:s|1e1.1o1|1e2.1o2|1e3.1o3|1e4.1o5|Exons coords:30912007-30912311;30913524-30913657;30918966-30919106;30929201-30929311;30935163-30935304|IR coords:,,0.4,ES,30913657-30935163,0.97022105225814
chr14,-,STRN3,ENSG00000196792.12,ENSG00000196792.12:t:30913524-30913657,majiq,NA,NA,-0.539751188915657,,0.138,0.665,LSV Type:t|1e1.1o4|1e2.1o3|1e3.1o1|Exons coords:30913524-30913657;30918966-30919106;30929201-30929311;30935163-30935304|IR coords:,,0.4,ES,30913657-30935163,0.998861962121763
chr17,+,LINC02210,ENSG00000204650.14,ENSG00000204650.14:t:45645671-45655156,majiq,NA,NA,0.476862800975753,,0.489,0.001,LSV Type:t|2e1.1o15|3e1.1o15|2e1.9o15|2e1.11o15|2e1.13o15|2e2.2o3|2e3.5o6|2e4.1o5|2e4.2o5|2e4.4o5|2e5.1o2|2e6.1o4|2e6.2o4|Exons coords:45629904-45630456;45630485-45630606;45636283-45636505;45637201-45637959;45638975-45639520;45640362-45642303;45645671-45655156|IR coords:,,0.4,A5SS_A3SS_ES,45630318-45645901,0.94950225384203
chr8,-,PDE7A,ENSG00000205268.11,ENSG00000205268.11:t:65779720-65779803,majiq,NA,NA,-0.484086294980676,,0.499,0.993,LSV Type:t|1e1.1o2|1e2.1o1|Exons coords:65779720-65779803;65780844-65780947;65782783-65782843|IR coords:,,0.4,ES,65779803-65782783,0.973846974272854
chr8,-,PDE7A,ENSG00000205268.11,ENSG00000205268.11:t:65779720-65779803,majiq,NA,NA,0.484086294980678,,0.501,0.007,LSV Type:t|1e1.1o2|1e2.1o1|Exons coords:65779720-65779803;65780844-65780947;65782783-65782843|IR coords:,,0.4,ES,65779803-65780844,0.973846974272854
chr4,+,PHOX2B-AS1,ENSG00000250467.1,ENSG00000250467.1:s:41748293-41748586,majiq,NA,NA,0.53921646284743,,0.753,0.225,LSV Type:s|1e1.1o1|1e2.1o3|Exons coords:41748293-41748586;41749200-41749342;41794205-41794339|IR coords:,,0.4,ES,41748586-41749200,0.95384121942813
chr4,+,PHOX2B-AS1,ENSG00000250467.1,ENSG00000250467.1:s:41748293-41748586,majiq,NA,NA,-0.539216462847428,,0.247,0.775,LSV Type:s|1e1.1o1|1e2.1o3|Exons coords:41748293-41748586;41749200-41749342;41794205-41794339|IR coords:,,0.4,ES,41748586-41794205,0.953841219428131
chr5,+,AC136604.3,ENSG00000250999.2,ENSG00000250999.2:s:179658225-179658481,majiq,NA,NA,0.58666667909225,,0.704,0.133,LSV Type:s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o2|1e3.1o1|1e4.1o2|Exons coords:179658225-179658481;179662657-179663103;179664323-179665136;179669509-179669519;179674015-179674025|IR coords:,,0.4,A3SS_ES,179658481-179664323,0.992643098641614
