"","dPSI_Sy5Y_2006152_10x"
"MIR9-3HG",0.315
"AC010642.2",0.311
"FRYL",0.311
"MSL3",0.311
"ARHGAP5",0.309043942497701
"FAAP20",0.305
"MAPK10",0.303702328823466
"ADAM17",0.302
"DLGAP4",0.302
"GULP1",0.302
"LARP7",0.302
"ZNF558",0.295400764627164
"SLC12A2",0.294778828381861
"LINC02249",0.29465679208695
"PRKG1-AS1",0.294142342621752
"HSD17B4",0.29412436171602
"PPIP5K2",0.293208240543303
"ZNF417",0.290308035288387
"VDAC3",0.288200842701004
"CHRM2",0.277777120710277
"MAN1B1",0.275417957067694
"MAN1A2",0.269565926651075
"ASCC3",0.265963962607925
"APPL2",0.265327450810688
"DENND4A",0.260047586173011
"CCDC57",0.258633829913864
"TPT1-AS1",0.254184098693222
"PHOX2B-AS1",0.253751104643222
"ATF6",0.252398834145643
