,1st_exp_iPSC.6152.10x,2nd_exp_iPSC.6152.10x,1st_exp_iPSC.6152.3x,2nd_exp_iPSC.6152.3x,1st_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.10x,1st_exp_NGN2.6152.3x,2nd_exp_NGN2.6152.3x
LRRC42,0.555,0.596,0.329,0.355,0.729,0.665,0.592,0.354
ERGIC3,0.554,0.585,0.344984784343102,0.285784834112786,0,0,0,0
EXOC6B,0.554,0.634,0.339720002642673,0.373625391163155,0.731,0.592,0.339,0
CLASP2,0.552851794744221,0.517999062377728,0.366883859749142,0.376657939715572,0.66704572316046,0.626932830679783,0.508213168791394,0
FOXM1,0.544,0.511,0.378628189910238,0.356355420587645,0,0,0,0
SENP6,0.54,0.645,0.434519710420322,0.475500179106231,0.726,0.537,0.650996993885202,0.461210397117836
COL4A5,0.539464097062392,0,0,0,0,0,0,0
ZNF730,0.532364155566868,0.605777768114738,0,0,0.770797087979485,0,0,0
ZFP82,0.531898386629335,0.580667814269905,0.304759169810112,0.300268487704534,0.635560062439291,0.583007939660401,0.428174832634584,0.294471507549583
LINC02210,0.530319038028799,0.530016065726408,0.25144056146028,0.296365418322937,0.820366385559607,0.609369323251885,0.609505967818361,0.398914738365771
C14orf132,0.516384186931753,0.520720168585846,0,0,0.469,0.389,0.346705403202711,0
ZNF66,0.49905664076187,0.754726426862323,0,0,0,0,0,0
RAB2B,0.497787308505979,0.389740428202153,0,0,0.284923376707008,0.271959587480243,0,0
STX18-AS1,0.484851856305815,0,0,0,0.803360743922791,0,0.539588458848038,0
TPTEP2,0.478,0.559,0.351787572600944,0.491950375709931,0.501,0.463,0,0
MYCBP2,0.465,0.53,0.307,0.341,0.312,0.355,0.317,0
GPSM2,0.464458658990692,0,0,0,0,0,0,0
TMEM241,0.463186055503981,0,0,0,0,0,0,0
HSD17B4,0.456925268775503,0.656771174815704,0,0,0.282165220845989,0,0.401866964908478,0
RAP1A,0.45,0.374,0,0,0.452,0.332,0,0
TAB3,0.439,0,0,0,0,0,0,0
VPS29,0.434,0.452,0.366832778243315,0.321779294591479,0.545842189465368,0.435084362903456,0.30540327556983,0
TMEM214,0.432395125091843,0.46151387723424,0,0,0.413784691817589,0.321249092343898,0,0
BRD2,0.430086769500482,0,0,0,0,0,0,0
PDXDC1,0.420441818511867,0.428450072304722,0,0,0.90023422488187,0.397,0.593902347677396,0.509894682513559
TAF2,0.42,0.505,0.268831731144065,0,0.636,0.583,0.443,0.387
MAN1B1,0.419042986765688,0.540800829374527,0,0,0.416016973756522,0.285235900284359,0,0
GRAMD2B,0.418,0.741660972873971,0.608701939651363,0.349256990331551,0,0,0,0
KCNT2,0.415320482500778,0,0.333802463607929,0,0.947676341475344,0.854226699872746,0,0.842545777742289
WDR27,0.415103670452884,0.60651893297101,0,0,0.753444390425295,0.820408469200166,0.654133809959983,0
BECN1,0.402705818506793,0.488181231953808,0,0,0.453837684423337,0.295044036271282,0,0
FAAP20,0.396,0.408,0,0,0.336,0.433,0.301,0.308
FAM162A,0.384705801143666,0.333,0,0,0.33,0.306,0,0
PLCH1,0.382720329543449,0,0,0,0,0,0,0
ABCB8,0.382,0.519776951240037,0.26436180254839,0,0.723,0.615,0.48,0.453573895783474
MMS22L,0.381716039029091,0.397772160816683,0,0,0,0,0,0
FGF12,0.380862626930043,0,0,0,0.333844754373293,0.304478691980223,0,0
APLP2,0.38,0.422,0,0,0.632,0.47,0.351,0
TARBP1,0.379928654146361,0.302,0,0,0.464,0.3,0,0
ANKRD18CP,0.373354729775389,0.607857296998017,0,0,0,0,0,0
ADAL,0.37194231335924,0.414939068489868,0,0,0,0,0,0
AXIN1,0.37,0.429,0,0,0.714,0.568,0.415,0
ODR4,0.367787044502247,0.26471706617049,0,0,0,0,0,0
TNRC6A,0.366518194549096,0.296924534330342,0,0,0,0,0,0
DLGAP4,0.362435626736614,0.465864800570679,0,0.263998259994956,0.654,0.593,0.459,0.371
RAF1,0.355,0.322,0.270736278111926,0,0.865,0.725,0.592,0.397
OXSM,0.354,0,0,0,0,0,0,0
GGCT,0.353827021458213,0.438,0,0,0.301,0,0.388556123656635,0
STOX2,0.351506929287748,0,0,0,0.417978378381219,0.368959647755623,0,0
PLPP5,0.351,0,0,0,0,0,0,0
DENND5A,0.349796924303802,0.451425158526597,0,0,0.407,0.371,0.258477247921269,0
LINC00667,0.344,0,0,0,0,0,0,0
CLN3,0.342,0.345,0,0,0.394,0.323,0.346,0
ZMIZ2,0.342,0.293575577279636,0,0,0.386,0.393,0,0
TIAM1,0.341354851860071,0.263593309527765,0,0,0.685305687077562,0.508728179533978,0.442312838970498,0.289030911455485
NUP58,0.341,0.367,0.29075527647987,0,0.8,0.437,0.391,0.310816190050291
RCC1,0.338047885336484,0.2637986989611,0,0,0.461574248126798,0.255421619481934,0.285329997766163,0
STRN3,0.332,0.33,0.319,0.381,0.313,0.317,0.544,0.357
PNISR,0.331651894632186,0.337889655511145,0,0,0.540614713983636,0.4877994543714,0.31061832266889,0
STRN,0.33140746422168,0.350406830697828,0.250716911848053,0,0.649497159733255,0.538425677016698,0.535513426341478,0.301282671568438
AC138894.1,0.327,0,0,0,0.397,0,0.351,0.319
ZNF618,0.322253326659299,0.344138841251558,0.274798869325599,0,0.397,0.386,0,0
MLLT10,0.32119863616919,0.275452648143379,0,0,0.6992123020346,0.6921977644037,0,0
TMEM50B,0.320941511445604,0,0,0,0.399,0.374022383163263,0.259943309454444,0
TENT2,0.319705418126139,0.362896641649227,0,0,0.372570602202433,0.522736524735708,0.341098549588275,0.310630780515194
FGFR1,0.314,0,0,0,0,0,0,0
XRN2,0.313239005360186,0.34776555068588,0,0,0.928090521538434,0.859889064091906,0.568315591937423,0.612269849629271
FAM174A,0.309079001410784,0.257688135425325,0,0,0.317,0.325143723112638,0,0
TCF4,0.30793249156692,0.344728138557101,0,0,0,0,0,0
SPIDR,0.307170260385266,0.432740758248314,0,0,0,0,0,0
GCFC2,0.301696044774199,0,0,0,0.91628651843036,0.886923301161764,0.726673690562951,0.603288411142975
SAR1A,0.301130772568231,0.282436434658261,0.520978717546436,0,0,0,0,0
WNK1,0.299392115595276,0.378936717597193,0,0,0.5527672256077,0.441283800962915,0.276698983890683,0
KIF21A,0.296603247184317,0.292745833180395,0,0,0.293459057601355,0,0,0
DHFR,0.28910471086364,0.36125234252148,0,0,0.716480679772927,0.679853666536198,0.433083047517275,0
CACNA2D1,0.282407454352278,0.400035680628419,0,0,0,0,0,0
CHD9,0.277551724089937,0.34037419409835,0,0,0.345188650738688,0.283158779835687,0,0
SH3YL1,0.273600516018915,0,0,0,0.2565689527518,0.331,0,0
APIP,0.272743530245703,0.283843234764064,0,0,0.530292944664261,0.449315509043286,0.355489123898135,0
SF3B3,0.258238499216375,0.254161132997817,0,0,0.348959505739448,0.261819973075765,0,0
PPIP5K2,0.255080692697364,0,0,0,0,0,0,0
LNPK,0.254294641450008,0,0,0,0.272969888045874,0,0,0
AC008581.2,0,0,0,0,0.585490041892476,0.39761356305885,0,0
AC026786.1,0,0,0,0,0.569906131830068,0,0,0
AC068547.1,0,0,0,0,0.760438359339015,0.513482076320844,0,0
AC114490.2,0,0,0,0,0.632363273953032,0.451545981395001,0,0
ACAD11,0,0,0,0,0,0.489903947943671,0,0
ACADM,0,0,0,0,0,0.466635110591113,0,0
ADAM17,0,0,0,0,0.405,0.383,0.288043701658911,0.403151206358041
ADAMTS10,0,0,0,0,0.397324889234977,0.29360745316118,0,0
ADGRL1,0,0,0,0,0.346461477978302,0,0,0
AGGF1,0,0,0,0,0.44244922937733,0,0,0
AGPS,0,0,0,0,0.352274252490933,0,0,0
AKAP8L,0,0,0,0.373,0,0,0,0
AL031315.1,0,0,0,0,0.611054396099911,0.375903495144498,0.378690927677992,0
AL157778.1,0,0.497372666391837,0,0,0,0,0,0
AL157871.6,0,0,0,0,0.491555548539665,0,0,0
ANKHD1,0,0.266470946965521,0,0,0,0,0,0
ANKRD13D,0,0.343,0,0,0,0,0,0
ANKS3,0,0,0,0,0,0.400880054711721,0,0
ANXA6,0,0,0,0,0.372,0,0,0
APPL2,0,0,0,0,0.501012884330066,0.496604770584832,0,0
ARHGAP5,0,0.253990351090088,0,0,0.422133825334136,0.292203887962456,0,0
ARMCX6,0,0.255213759165636,0,0,0.32,0,0,0
ARMH3,0,0,0,0,0.514773195559418,0.472813355782502,0.317702574770545,0
ASAP2,0,0.352192308907692,0,0,0,0,0,0
ASCC3,0,0,0,0,0.742025573786927,0.562761197701329,0.516128577148954,0
ASGR1,0,0,0,0,0,0,0,0.325
ATG2B,0,0.540960874265733,0,0,0.412357304138507,0.417917651399721,0,0
ATP7B,0,0,0,0,0.418,0,0,0.308
ATP8A2,0,0,0,0,0.397764221829081,0.290519732918321,0,0
ATR,0,0,0,0,0.313,0,0,0
AVL9,0,0,0,0,0.253349179874466,0,0,0
BLMH,0,0,0,0,0,0.256255846764067,0,0
C10orf82,0,0,0,0,0,0,0.382,0
C11orf95,0,0.378,0,0,0,0,0,0
CA12,0,0.521426760680637,0,0,0,0,0,0
CACNA1C,0,0,0,0,0.635,0.4654066402656,0,0
CACNA1H,0,0.285218373264442,0,0,0.314,0.417,0.366,0.304
CACNB4,0,0,0,0,0.313,0.476808145233518,0.503,0.254133021405468
CCDC18-AS1,0,0,0,0,0.41,0,0,0
CCDC3,0,0,0,0,0.424428079319687,0,0,0
CCNT2,0,0,0,0,0.259210402193654,0,0,0
CDC37L1,0,0,0,0,0.417015636593032,0,0,0
CDH18,0,0,0,0,0.376535512521622,0,0,0
CDK5RAP1,0,0,0,0,0,0.341,0,0
CDK5RAP2,0,0,0,0,0.319,0,0,0
CEP44,0,0.303,0,0,0,0,0,0
CEP57L1,0,0,0,0,0.263287289130182,0,0,0
CFAP410,0,0,0,0.313,0,0,0,0
CHORDC1,0,0,0,0,0.385,0,0,0
CHRM2,0,0,0,0,0.576348904346093,0.581141032623228,0,0
CHROMR,0,0,0,0.704,0.494,0,0.494,0
CKMT2-AS1,0,0,0,0,0,0,0,0.467006459041868
CLK4,0,0,0,0,0.435,0.424,0,0
CLN6,0,0,0,0,0,0,0.306,0
CNGA3,0,0,0,0,0.813802591315326,0.663287243350476,0.571497777266498,0
COMMD4,0,0,0,0,0,0,0,0.308
COPS7B,0,0,0,0,0.456,0.316,0,0
CRYL1,0,0,0,0,0.67,0,0,0
CSTF3,0,0,0,0,0.479817809714593,0.381901041106922,0.303553395551188,0
CYB5R2,0,0,0.455,0,0,0,0,0
DCAF17,0,0,0,0,0.445198259749836,0.26609632390875,0,0
DDX41,0,0,0,0,0,0.312,0,0
DDX42,0,0,0,0,0.30385527436948,0.322546038596823,0,0
DENND1A,0,0.382079374403936,0,0,0.911558765410158,0.881757257010398,0.620750310236184,0.440749647727287
DMAC2L,0,0,0,0,0.449,0.417105818632266,0,0
DPY30,0,0,0,0,0.549833460058757,0.671019577990112,0,0
DST,0,0,0,0,0,0.377,0,0
DTWD1,0,0,0,0,0,0,0.272815039045584,0
EGLN1,0,0,0.319,0,0,0,0,0
EIF2D,0,0,0,0,0.404182635460725,0.411,0,0
ELMO2,0,0,0,0,0.421,0.373,0,0
ELP5,0,0.25145739004422,0,0,0,0,0,0
EMSY,0,0,0,0,0,0.34204999187073,0,0
ENAH,0,0.306303384778302,0,0,0.481056138117116,0.423779397356819,0.352904172261174,0
ENOX1,0,0,0,0,0.435484594566863,0.348190246664554,0,0
ERCC8,0,0,0,0,0.462,0.393,0,0
ERRFI1,0,0,0,0,0.254433302748216,0,0,0
EVC,0,0,0,0,0.904354189431049,0.680253979017282,0.565231169591333,0.420791698018678
FAM110B,0,0,0,0,0,0,0.434449899936423,0
FAM114A2,0,0,0,0,0.333,0,0,0
FAM221A,0,0,0,0,0,0,0,0.399
FBL,0,0,0,0,0.334671389125953,0,0,0
FBXL16,0,0,0,0,0.258585637560674,0,0,0
FGD4,0,0,0,0,0.422789302632812,0,0,0
FHOD3,0,0.92077595441002,0,0,0.569287594551163,0.751645041121796,0,0.260433850097285
FNIP2,0,0,0,0,0.391382623713637,0.318619897724454,0,0
FRG1HP,0,0,0,0,0,0.335,0,0
FSIP2,0,0,0,0,0,0.541,0,0.541
FUS,0,0,0,0,0,0,0.324,0
FUT10,0,0,0,0,0.463723057849263,0,0,0
GALC,0,0,0,0,0.78,0.727,0.373,0.388406340135738
GARNL3,0,0,0,0,0.789310111648904,0.643107018172685,0,0
GLRA3,0,0,0,0,0.574904531602376,0.539053177358126,0,0
GNAQ,0,0,0,0,0.442173423667008,0.347815878650772,0,0
GOLT1B,0,0.318741925608075,0,0,0,0,0,0
GPHN,0,0,0,0,0.403586729927646,0,0,0
GRIA1,0,0,0,0,0.606442432049086,0.426160092552721,0,0
GXYLT1,0,0,0,0,0.765044505376789,0.627866232229198,0.464954019239359,0
HAUS3,0,0,0,0,0.673962167300294,0.505710909540062,0,0
HIKESHI,0,0,0,0,0.31,0,0,0
IFT57,0,0,0,0,0.274983925163619,0,0,0
IFT81,0,0.252842690374265,0,0,0,0,0,0
IL11RA,0,0,0,0,0.46152605334595,0,0,0
INO80E,0,0,0,0,0.339,0,0.483,0.521
INTS3,0,0.309,0,0,0,0,0,0
IVD,0,0,0,0,0.420135315537056,0,0,0
KIAA1549L,0,0.31,0,0.313,0,0,0,0
KLHL1,0,0,0,0,0.446036378408508,0.372019455393617,0.357846671842085,0.253760254793944
LIMCH1,0,0,0,0,0.883,0.841,0.848,0.706
LINC00678,0,0.368701857728235,0,0,0,0,0,0
LINC01011,0,0,0,0,0.433622094953503,0,0,0
LINC01128,0,0,0,0,0,0,0,0.416
LINGO2,0,0,0,0,0.435475556874805,0,0,0
LRIG2,0,0,0,0,0.636833547634265,0.709466028730594,0.369327567100596,0.266706974422561
LRRCC1,0,0,0,0,0.378248928948469,0,0,0
LUC7L3,0,0,0,0,0.287157288893689,0,0,0
MACROD2,0,0,0,0,0.438475946663258,0.334499117352416,0,0
MAN1A2,0,0.383344427595273,0,0,0,0,0,0
MAP6,0,0,0,0,0.293622485000297,0.38889545715868,0,0
MAPK10,0,0,0,0,0,0,0,0.371
MDN1,0,0,0,0,0.263561588307386,0,0,0
MELTF,0,0,0,0,0.663487098610555,0.73071411219674,0.452420104931301,0.513136820040606
MEMO1,0,0,0,0,0.521928085311499,0.614411682052188,0,0
METTL6,0,0,0,0,0,0,0,0.318245827600568
MFN2,0,0.384554567010139,0,0,0.514,0.382014047575285,0,0
MORN1,0,0,0,0,0,0,0.423681449186521,0
MRPL39,0,0,0,0,0.288612129828218,0,0,0
MRPS5,0,0,0,0,0,0.432776957465789,0,0
MSL3,0,0,0,0,0.358,0,0,0.382
MYT1,0,0,0,0,0.396,0,0,0
MYT1L,0,0,0,0,0.341844491083716,0,0,0
NECAP1,0,0,0,0,0.359,0,0,0
NECAP2,0,0,0,0,0,0,0,0.4
NELFA,0,0,0,0,0.360211332993959,0,0,0
NIPA1,0,0.306530824347147,0,0,0,0,0,0
NKAIN2,0,0,0,0,0.689648686291858,0.613293387998096,0.455656830254495,0.299023742240538
NLGN1,0,0,0,0,0.350007623627799,0.251321274276565,0,0
NLN,0,0,0,0,0.274007537129597,0,0,0
NPRL2,0,0,0,0,0,0,0.322,0
NQO2,0,0,0,0,0.33,0,0,0
NR1H3,0,0,0,0,0,0,0.431676874762862,0
NRXN3,0,0,0,0,0,0,0,0.33
NUDT22,0,0,0,0,0.338,0,0,0
PAXBP1,0,0.253854545644662,0,0,0,0,0,0
PCDH10,0,0,0,0,0.706391685579159,0.563852471493717,0.331126597808086,0
PDIA5,0,0,0,0,0.501506158094809,0.372599790141742,0,0
PHB2,0,0,0.476346732158169,0.516889175692161,0,0,0,0
PIGN,0,0,0,0,0.564538716846285,0,0,0
PITPNB,0,0,0,0,0.427791034394784,0.289552160187915,0,0
PMS1,0,0,0,0,0.649530726275412,0.605514666918653,0,0
PMS2P10,0,0,0,0,0,0.267253083987767,0,0
POLG2,0,0,0.311,0,0,0,0,0
PPHLN1,0,0,0,0,0,0.256100011481292,0,0
PPP1R26,0,0.425381734557895,0,0,0,0,0,0
PRICKLE1,0,0,0,0,0.452366352024156,0,0,0
PRKG1,0,0,0,0,0.439896539358401,0,0,0
PRR13,0,0,0.307388737222857,0,0,0,0,0
PRRT1,0,0,0,0,0.40094050295937,0,0,0
PRUNE2,0,0,0,0,0.369,0,0.302,0
PTPRT,0,0,0,0,0.324532716440051,0,0,0
QKI,0,0,0,0,0,0,0,0.347
RALGPS1,0,0.305600546085231,0,0,0,0,0,0
RAPGEF1,0,0.299387579692294,0,0,0.536,0.505,0.466,0
RBBP8,0,0,0,0,0.637032757093315,0.444750394478078,0.431526522920421,0
RCOR3,0,0,0,0,0.40027248552107,0,0,0
RPGR,0,0.405,0,0,0.33,0,0,0
RPS10,0,0.410429197378713,0,0,0,0,0,0
RUNDC3B,0,0,0,0,0.345,0,0,0
SCO1,0,0,0,0,0.456976039983228,0.434553550959262,0,0
SCYL2,0,0,0,0,0,0,0.359,0
SEC22A,0,0,0,0,0.435442577906452,0.364677510080188,0,0
SERGEF,0,0,0,0,0.43,0.368,0.342,0
SERHL2,0,0,0.334,0,0,0,0,0
SETX,0,0,0,0,0.757635744478529,0.715467016821067,0.379189308361628,0.350407034415646
SF3B1,0,0,0,0,0,0,0.325,0
SIRT5,0,0.318383644737999,0,0,0,0,0,0
SLC24A3,0,0,0,0,0.398276341419975,0,0,0
SLC25A17,0,0.331,0,0,0.348,0.454,0.319,0
SLC7A6,0,0,0,0,0.38,0.452,0.36563638210185,0
SMC4,0,0,0,0,0,0,0,0.446414640874911
SNAP23,0,0,0,0,0.376,0.406165876836391,0,0
SNHG15,0,0,0,0,0.367,0,0.373,0
SNX14,0,0.331,0,0,0,0,0,0
SNX7,0,0,0,0,0.446839830399118,0,0,0
SORCS1,0,0,0,0,0.500904995421023,0,0,0
SOS2,0,0,0,0,0.514353641051627,0.432730988718806,0,0
SPRYD7,0,0,0,0,0.365518968138453,0.309752978980482,0,0
SREK1,0,0,0,0,0.529,0.456,0,0
SS18L1,0,0.425063801104231,0,0,0,0,0,0
SSBP1,0,0,0,0,0.345589321368897,0,0,0
ST3GAL1,0,0,0.34,0,0,0,0,0
STAG3L5P-PVRIG2P-PILRB,0,0,0,0,0,0,0.322,0
STRN4,0,0,0,0,0.438678507209751,0.371017607739392,0,0
STXBP5L,0,0,0,0,0.643,0.460491826639579,0,0.288841496602035
SULF1,0,0,0,0,0.506272188778555,0,0.464661288116576,0
SUPT20H,0,0,0,0,0.341074835236412,0,0,0
SYNE4,0,0,0,0,0,0,0,0.396
SYTL2,0,0,0,0.304,0,0,0,0
TASP1,0,0,0,0,0.43945585623267,0,0,0
TEN1-CDK3,0,0,0,0,0.41220967645586,0,0,0
TET1,0,0,0,0,0.380959464263413,0.494438952837545,0,0
THSD7B,0,0,0,0,0.542755659383647,0.481542151205301,0,0
TMEM116,0,0,0,0,0,0.424,0,0
TMEM52,0,0.42,0,0,0,0,0,0
TNFRSF25,0,0,0,0,0.451,0.477,0,0.439
TNIP1,0,0,0,0,0,0.448461249776431,0,0
TP53INP1,0,0,0,0,0.38788401010266,0.342,0,0
TPM2,0,0,0,0,0,0,0,0.450874884883255
TRAPPC13,0,0,0,0,0,0,0.371,0
TRIM65,0,0,0,0,0,0.417,0,0
TSC1,0,0.349,0,0,0,0,0,0
TSPAN4,0,0,0,0,0,0.552,0,0.39
TSPAN7,0,0.363,0,0,0.326,0.366,0.372447775562998,0.265295435729365
TSTD3,0,0,0,0,0,0,0.412979523512199,0
TTN-AS1,0,0,0,0,0,0.544,0,0
TUBB4A,0,0,0,0,0,0.469961097339681,0,0
UBAP2L,0,0,0,0,0.269330835978301,0,0,0
UBE2Q2P1,0,0,0,0,0,0.431314257940136,0,0
USP9Y,0,0,0,0,0.682104632068303,0.50597815787625,0,0
VAV2,0,0.255984074875935,0,0,0.28002990876867,0,0,0
VDAC3,0,0,0,0,0,0,0,0.364051811327148
WDR17,0,0,0,0,0.518,0.67,0.474,0.504
WDR90,0,0,0,0,0,0,0,0.368
WDR91,0,0,0,0,0.44331211092003,0.356,0,0.520346323375745
WSB1,0,0,0,0,0.374727988184491,0,0,0
YPEL5,0,0,0,0,0.374,0.33,0,0
ZDHHC11,0,0,0,0,0,0.769586457906306,0,0
ZDHHC13,0,0,0,0,0,0.331,0,0
ZMYM6,0,0.424526513994826,0,0,0.769271219838947,0.597071964079618,0.429320166160656,0
ZNF138,0,0.404940654586499,0,0,0,0,0,0
ZNF37BP,0,0.921471580307522,0,0,0,0,0,0
ZNF43,0,0.260533005113858,0,0,0,0,0,0
ZNF563,0,0.429879702717386,0,0,0,0,0,0
ZNF585B,0,0,0,0,0.412158340379837,0,0,0
ZNF687,0,0,0,0,0,0,0.349,0
