,iPSC_2197294_3x,NGN2_2197294_3x,Sy5Y_2197294_3x,sum,,,,,,,,,,,
ADAL,0,0,0,0,,,,,,,,,,,
ADAM17,0,0,0,0,,,,,,,,,,,
ADAM23,0,0,0,0,,,,,,,,,,,
ADAMTS19,0,0,0,0,,,,,,,,,,,
ADGRL1,0,0,0,0,,,,,,,,,,,
ADNP-AS1,0,0,0,0,,,,,,,,,,,
ADSL,0,0,0,0,,,,,,,,,,,
AGPS,0,0,0,0,,,,,,,,,,,
AGTR1,0,0,0,0,,,,,,,,,,,
AL031315.1,0,0,0,0,,,,,,,,,,,
AL133163.3,0,0,0,0,,,,,,,,,,,
AL137024.1,0,0,0,0,,,,,,,,,,,
AL512353.1,0,0,0,0,,,,,,,,,,,
AL713999.1,0,0,0,0,,,,,,,,,,,
ALDH3A2,0,0,0,0,,,,,,,,,,,
AMT,0,0,0,0,,,,,,,,,,,
ANK2,0,0,0,0,,,,,,,,,,,
ANKHD1,0,0,0,0,,,,,,,,,,,
ANKRD18CP,0,0,0,0,,,,,,,,,,,
ANKS3,0,0,0,0,,,,,,,,,,,
ANO9,0,0,0,0,,,,,,,,,,,
ANP32A,0,0,0,0,,,,,,,,,,,
ANXA11,0,0,0,0,,,,,,,,,,,
AP2M1,0,0,0,0,,,,,,,,,,,
APBB2,0,0,0,0,,,,,,,,,,,
APIP,0,0,0,0,,,,,,,,,,,
APLP2,0,0,0,0,,,,,,,,,,,
APPL2,0,0,0,0,,,,,,,,,,,
ARFIP1,0,0,0,0,,,,,,,,,,,
ARHGAP5,0,0,0,0,,,,,,,,,,,
ARHGEF35,0,0,0,0,,,,,,,,,,,
ARHGEF9,0,0,0,0,,,,,,,,,,,
ARMCX6,0,0,0,0,,,,,,,,,,,
ARMH3,0,0,0,0,,,,,,,,,,,
ARPP19,0,0,0,0,,,,,,,,,,,
ASAH1,0,0,0,0,,,,,,,,,,,
ASNS,0,0,0,0,,,,,,,,,,,
ATF6,0,0,0,0,,,,,,,,,,,
ATG2B,0,0,0,0,,,,,,,,,,,
ATG4A,0,0,0,0,,,,,,,,,,,
ATG5,0,0,0,0,,,,,,,,,,,
ATP5PO,0,0,0,0,,,,,,,,,,,
ATP7B,0,0,0,0,,,,,,,,,,,
ATP8A2,0,0,0,0,,,,,,,,,,,
ATR,0,0,0,0,,,,,,,,,,,
BBIP1,0,0,0,0,,,,,,,,,,,
BECN1,0,0,0,0,,,,,,,,,,,
BEND6,0,0,0,0,,,,,,,,,,,
BMS1P1,0,0,0,0,,,,,,,,,,,
BPHL,0,0,0,0,,,,,,,,,,,
C12orf4,0,0,0,0,,,,,,,,,,,
C14orf132,0,0,0,0,,,,,,,,,,,
C19orf12,0,0,0,0,,,,,,,,,,,
C1orf94,0,0,0,0,,,,,,,,,,,
CACNA1C,0,0,0,0,,,,,,,,,,,
CACNA1H,0,0,0,0,,,,,,,,,,,
CACNA2D1,0,0,0,0,,,,,,,,,,,
CACNB1,0,0,0,0,,,,,,,,,,,
CACNB4,0,0,0,0,,,,,,,,,,,
CALM3,0,0,0,0,,,,,,,,,,,
CAPS2,0,0,0,0,,,,,,,,,,,
CCDC24,0,0,0,0,,,,,,,,,,,
CCDC3,0,0,0,0,,,,,,,,,,,
CCDC57,0,0,0,0,,,,,,,,,,,
CCNT2,0,0,0,0,,,,,,,,,,,
CCT7,0,0,0,0,,,,,,,,,,,
CD24,0,0,0,0,,,,,,,,,,,
CD27-AS1,0,0,0,0,,,,,,,,,,,
CDC37L1,0,0,0,0,,,,,,,,,,,
CDCA4,0,0,0,0,,,,,,,,,,,
CDH18,0,0,0,0,,,,,,,,,,,
CDPF1,0,0,0,0,,,,,,,,,,,
CENPI,0,0,0,0,,,,,,,,,,,
CEP162,0,0,0,0,,,,,,,,,,,
CEP192,0,0,0,0,,,,,,,,,,,
CEP72,0,0,0,0,,,,,,,,,,,
CERS5,0,0,0,0,,,,,,,,,,,
CHD9,0,0,0,0,,,,,,,,,,,
CHEK1,0,0,0,0,,,,,,,,,,,
CHN2,0,0,0,0,,,,,,,,,,,
CHRM2,0,0,0,0,,,,,,,,,,,
CHROMR,0,0,0,0,,,,,,,,,,,
CIP2A,0,0,0,0,,,,,,,,,,,
CLK4,0,0,0,0,,,,,,,,,,,
CMSS1,0,0,0,0,,,,,,,,,,,
CMTM8,0,0,0,0,,,,,,,,,,,
CNGA3,0,0,0,0,,,,,,,,,,,
COG4,0,0,0,0,,,,,,,,,,,
COPS7B,0,0,0,0,,,,,,,,,,,
CORO6,0,0,0,0,,,,,,,,,,,
CPAMD8,0,0,0,0,,,,,,,,,,,
CPEB1,0,0,0,0,,,,,,,,,,,
CPLX2,0,0,0,0,,,,,,,,,,,
CREBZF,0,0,0,0,,,,,,,,,,,
CROCCP2,0,0,0,0,,,,,,,,,,,
CRYL1,0,0,0,0,,,,,,,,,,,
CRYM,0,0,0,0,,,,,,,,,,,
CSTF3,0,0,0,0,,,,,,,,,,,
CTNS,0,0,0,0,,,,,,,,,,,
CXorf38,0,0,0,0,,,,,,,,,,,
CYB5B,0,0,0,0,,,,,,,,,,,
CYRIB,0,0,0,0,,,,,,,,,,,
CYTH2,0,0,0,0,,,,,,,,,,,
DCAF17,0,0,0,0,,,,,,,,,,,
DDX27,0,0,0,0,,,,,,,,,,,
DENND1B,0,0,0,0,,,,,,,,,,,
DENND4A,0,0,0,0,,,,,,,,,,,
DENND5A,0,0,0,0,,,,,,,,,,,
DENND6B,0,0,0,0,,,,,,,,,,,
DGKI,0,0,0,0,,,,,,,,,,,
DIABLO,0,0,0,0,,,,,,,,,,,
DIPK1B,0,0,0,0,,,,,,,,,,,
DLG5,0,0,0,0,,,,,,,,,,,
DMAC2L,0,0,0,0,,,,,,,,,,,
DNAJC27,0,0,0,0,,,,,,,,,,,
DOCK3,0,0,0,0,,,,,,,,,,,
DPH1,0,0,0,0,,,,,,,,,,,
DPY30,0,0,0,0,,,,,,,,,,,
DUXAP9,0,0,0,0,,,,,,,,,,,
DYRK1A,0,0,0,0,,,,,,,,,,,
EHHADH,0,0,0,0,,,,,,,,,,,
EIF2D,0,0,0,0,,,,,,,,,,,
ELMO2,0,0,0,0,,,,,,,,,,,
ELP4,0,0,0,0,,,,,,,,,,,
EMSY,0,0,0,0,,,,,,,,,,,
ENOX1,0,0,0,0,,,,,,,,,,,
EPM2A,0,0,0,0,,,,,,,,,,,
ERBB4,0,0,0,0,,,,,,,,,,,
ERCC6L2,0,0,0,0,,,,,,,,,,,
ERCC8,0,0,0,0,,,,,,,,,,,
ERICH5,0,0,0,0,,,,,,,,,,,
ERVK13-1,0,0,0,0,,,,,,,,,,,
EXOSC8,0,0,0,0,,,,,,,,,,,
FAAP20,0,0,0,0,,,,,,,,,,,
FAM162A,0,0,0,0,,,,,,,,,,,
FAM174A,0,0,0,0,,,,,,,,,,,
FAM193B,0,0,0,0,,,,,,,,,,,
FAM221A,0,0,0,0,,,,,,,,,,,
FAM3A,0,0,0,0,,,,,,,,,,,
FBN2,0,0,0,0,,,,,,,,,,,
FBXL16,0,0,0,0,,,,,,,,,,,
FBXO48,0,0,0,0,,,,,,,,,,,
FBXO7,0,0,0,0,,,,,,,,,,,
FES,0,0,0,0,,,,,,,,,,,
FGD4,0,0,0,0,,,,,,,,,,,
FGF12,0,0,0,0,,,,,,,,,,,
FHOD3,0,0,0,0,,,,,,,,,,,
FIGNL1,0,0,0,0,,,,,,,,,,,
FNIP2,0,0,0,0,,,,,,,,,,,
FOXM1,0,0,0,0,,,,,,,,,,,
FOXP1,0,0,0,0,,,,,,,,,,,
FRY,0,0,0,0,,,,,,,,,,,
FRYL,0,0,0,0,,,,,,,,,,,
FUT9,0,0,0,0,,,,,,,,,,,
GABRB2,0,0,0,0,,,,,,,,,,,
GALC,0,0,0,0,,,,,,,,,,,
GALT,0,0,0,0,,,,,,,,,,,
GARNL3,0,0,0,0,,,,,,,,,,,
GAS8,0,0,0,0,,,,,,,,,,,
GCFC2,0,0,0,0,,,,,,,,,,,
GGCT,0,0,0,0,,,,,,,,,,,
GLI4,0,0,0,0,,,,,,,,,,,
GLMP,0,0,0,0,,,,,,,,,,,
GLRA3,0,0,0,0,,,,,,,,,,,
GNAQ,0,0,0,0,,,,,,,,,,,
GPHN,0,0,0,0,,,,,,,,,,,
GPI,0,0,0,0,,,,,,,,,,,
GPSM2,0,0,0,0,,,,,,,,,,,
GRAMD2B,0,0,0,0,,,,,,,,,,,
GRB10,0,0,0,0,,,,,,,,,,,
GRIA1,0,0,0,0,,,,,,,,,,,
GTF2IP12,0,0,0,0,,,,,,,,,,,
GULP1,0,0,0,0,,,,,,,,,,,
GUSBP11,0,0,0,0,,,,,,,,,,,
GXYLT1,0,0,0,0,,,,,,,,,,,
HACL1,0,0,0,0,,,,,,,,,,,
HARS1,0,0,0,0,,,,,,,,,,,
HAUS3,0,0,0,0,,,,,,,,,,,
HEXD,0,0,0,0,,,,,,,,,,,
HHLA3,0,0,0,0,,,,,,,,,,,
HIF1A,0,0,0,0,,,,,,,,,,,
HIKESHI,0,0,0,0,,,,,,,,,,,
HIP1,0,0,0,0,,,,,,,,,,,
HIVEP1,0,0,0,0,,,,,,,,,,,
HIVEP3,0,0,0,0,,,,,,,,,,,
HMGN1,0,0,0,0,,,,,,,,,,,
HSD17B4,0,0,0,0,,,,,,,,,,,
HSPA1L,0,0,0,0,,,,,,,,,,,
HTR3A,0,0,0,0,,,,,,,,,,,
HTT,0,0,0,0,,,,,,,,,,,
ICA1L,0,0,0,0,,,,,,,,,,,
IFT27,0,0,0,0,,,,,,,,,,,
IFT57,0,0,0,0,,,,,,,,,,,
IGFLR1,0,0,0,0,,,,,,,,,,,
IL17RC,0,0,0,0,,,,,,,,,,,
INO80E,0,0,0,0,,,,,,,,,,,
INPP5K,0,0,0,0,,,,,,,,,,,
INTS3,0,0,0,0,,,,,,,,,,,
INVS,0,0,0,0,,,,,,,,,,,
IQCH,0,0,0,0,,,,,,,,,,,
IQCH-AS1,0,0,0,0,,,,,,,,,,,
IRAK4,0,0,0,0,,,,,,,,,,,
IVD,0,0,0,0,,,,,,,,,,,
JAZF1,0,0,0,0,,,,,,,,,,,
JMJD7-PLA2G4B,0,0,0,0,,,,,,,,,,,
KANTR,0,0,0,0,,,,,,,,,,,
KIAA0895L,0,0,0,0,,,,,,,,,,,
KIF21A,0,0,0,0,,,,,,,,,,,
KIF26B,0,0,0,0,,,,,,,,,,,
KIF27,0,0,0,0,,,,,,,,,,,
KLHDC4,0,0,0,0,,,,,,,,,,,
KRT8,0,0,0,0,,,,,,,,,,,
L3MBTL2,0,0,0,0,,,,,,,,,,,
LARS1,0,0,0,0,,,,,,,,,,,
LARS2,0,0,0,0,,,,,,,,,,,
LCMT1,0,0,0,0,,,,,,,,,,,
LIN37,0,0,0,0,,,,,,,,,,,
LINC00337,0,0,0,0,,,,,,,,,,,
LINC00632,0,0,0,0,,,,,,,,,,,
LINC00678,0,0,0,0,,,,,,,,,,,
LINC00862,0,0,0,0,,,,,,,,,,,
LINC00960,0,0,0,0,,,,,,,,,,,
LINC01011,0,0,0,0,,,,,,,,,,,
LINC01128,0,0,0,0,,,,,,,,,,,
LINC01881,0,0,0,0,,,,,,,,,,,
LINC02249,0,0,0,0,,,,,,,,,,,
LINGO2,0,0,0,0,,,,,,,,,,,
LNPK,0,0,0,0,,,,,,,,,,,
LRGUK,0,0,0,0,,,,,,,,,,,
LRIG2,0,0,0,0,,,,,,,,,,,
LUC7L3,0,0,0,0,,,,,,,,,,,
LYRM1,0,0,0,0,,,,,,,,,,,
MACROD2,0,0,0,0,,,,,,,,,,,
MAN1A2,0,0,0,0,,,,,,,,,,,
MAN1B1,0,0,0,0,,,,,,,,,,,
MAP4,0,0,0,0,,,,,,,,,,,
MAP6,0,0,0,0,,,,,,,,,,,
MAPK10,0,0,0,0,,,,,,,,,,,
MATK,0,0,0,0,,,,,,,,,,,
MAZ,0,0,0,0,,,,,,,,,,,
MDN1,0,0,0,0,,,,,,,,,,,
MED17,0,0,0,0,,,,,,,,,,,
MEF2A,0,0,0,0,,,,,,,,,,,
MEMO1,0,0,0,0,,,,,,,,,,,
METTL17,0,0,0,0,,,,,,,,,,,
MFAP2,0,0,0,0,,,,,,,,,,,
MFN2,0,0,0,0,,,,,,,,,,,
MIR100HG,0,0,0,0,,,,,,,,,,,
MIR9-3HG,0,0,0,0,,,,,,,,,,,
MIR924HG,0,0,0,0,,,,,,,,,,,
MLLT10,0,0,0,0,,,,,,,,,,,
MMS22L,0,0,0,0,,,,,,,,,,,
MORN1,0,0,0,0,,,,,,,,,,,
MRNIP,0,0,0,0,,,,,,,,,,,
MRPL39,0,0,0,0,,,,,,,,,,,
MSL3,0,0,0,0,,,,,,,,,,,
MTMR3,0,0,0,0,,,,,,,,,,,
MUC20-OT1,0,0,0,0,,,,,,,,,,,
MUC3A,0,0,0,0,,,,,,,,,,,
MYCBP2,0,0,0,0,,,,,,,,,,,
MYT1,0,0,0,0,,,,,,,,,,,
MYT1L,0,0,0,0,,,,,,,,,,,
MZF1,0,0,0,0,,,,,,,,,,,
NAGK,0,0,0,0,,,,,,,,,,,
NAIP,0,0,0,0,,,,,,,,,,,
NBR2,0,0,0,0,,,,,,,,,,,
NCAM1,0,0,0,0,,,,,,,,,,,
NEGR1,0,0,0,0,,,,,,,,,,,
NF1,0,0,0,0,,,,,,,,,,,
NFIB,0,0,0,0,,,,,,,,,,,
NHSL2,0,0,0,0,,,,,,,,,,,
NIPA1,0,0,0,0,,,,,,,,,,,
NKAIN2,0,0,0,0,,,,,,,,,,,
NLGN1,0,0,0,0,,,,,,,,,,,
NOD1,0,0,0,0,,,,,,,,,,,
NOMO2,0,0,0,0,,,,,,,,,,,
NOX4,0,0,0,0,,,,,,,,,,,
NPHP3,0,0,0,0,,,,,,,,,,,
NQO2,0,0,0,0,,,,,,,,,,,
NR1H3,0,0,0,0,,,,,,,,,,,
NSMF,0,0,0,0,,,,,,,,,,,
NUDT22,0,0,0,0,,,,,,,,,,,
NUP58,0,0,0,0,,,,,,,,,,,
OBI1-AS1,0,0,0,0,,,,,,,,,,,
OCLN,0,0,0,0,,,,,,,,,,,
OCLNP1,0,0,0,0,,,,,,,,,,,
ODR4,0,0,0,0,,,,,,,,,,,
ORAI3,0,0,0,0,,,,,,,,,,,
OSGEPL1,0,0,0,0,,,,,,,,,,,
OTX2,0,0,0,0,,,,,,,,,,,
PACSIN2,0,0,0,0,,,,,,,,,,,
PARGP1,0,0,0,0,,,,,,,,,,,
PCBP1-AS1,0,0,0,0,,,,,,,,,,,
PCDH10,0,0,0,0,,,,,,,,,,,
PCDH9,0,0,0,0,,,,,,,,,,,
PDE3A,0,0,0,0,,,,,,,,,,,
PDXDC1,0,0,0,0,,,,,,,,,,,
PDXDC2P,0,0,0,0,,,,,,,,,,,
PI4K2B,0,0,0,0,,,,,,,,,,,
PIEZO2,0,0,0,0,,,,,,,,,,,
PIGN,0,0,0,0,,,,,,,,,,,
PILRB,0,0,0,0,,,,,,,,,,,
PIN1,0,0,0,0,,,,,,,,,,,
PITPNB,0,0,0,0,,,,,,,,,,,
PLCH1,0,0,0,0,,,,,,,,,,,
PMFBP1,0,0,0,0,,,,,,,,,,,
PMS1,0,0,0,0,,,,,,,,,,,
PNISR,0,0,0,0,,,,,,,,,,,
PNPO,0,0,0,0,,,,,,,,,,,
POLM,0,0,0,0,,,,,,,,,,,
POLR2J3,0,0,0,0,,,,,,,,,,,
PPHLN1,0,0,0,0,,,,,,,,,,,
PPIP5K2,0,0,0,0,,,,,,,,,,,
PPP1R26,0,0,0,0,,,,,,,,,,,
PPP1R3B,0,0,0,0,,,,,,,,,,,
PPP1R3E,0,0,0,0,,,,,,,,,,,
PRDM11,0,0,0,0,,,,,,,,,,,
PRELID2,0,0,0,0,,,,,,,,,,,
PRICKLE1,0,0,0,0,,,,,,,,,,,
PRKACB,0,0,0,0,,,,,,,,,,,
PRKG1,0,0,0,0,,,,,,,,,,,
PRKG1-AS1,0,0,0,0,,,,,,,,,,,
PROSER3,0,0,0,0,,,,,,,,,,,
PRPF31,0,0,0,0,,,,,,,,,,,
PRPF39,0,0,0,0,,,,,,,,,,,
PRRC2B,0,0,0,0,,,,,,,,,,,
PRUNE2,0,0,0,0,,,,,,,,,,,
PSMA1,0,0,0,0,,,,,,,,,,,
PSME2,0,0,0,0,,,,,,,,,,,
PTPRT,0,0,0,0,,,,,,,,,,,
RAB23,0,0,0,0,,,,,,,,,,,
RAB2B,0,0,0,0,,,,,,,,,,,
RAB3IP,0,0,0,0,,,,,,,,,,,
RAP1A,0,0,0,0,,,,,,,,,,,
RAPGEF1,0,0,0,0,,,,,,,,,,,
RBBP8,0,0,0,0,,,,,,,,,,,
RBFOX1,0,0,0,0,,,,,,,,,,,
RBM8A,0,0,0,0,,,,,,,,,,,
RCC1,0,0,0,0,,,,,,,,,,,
RCOR3,0,0,0,0,,,,,,,,,,,
RELA-DT,0,0,0,0,,,,,,,,,,,
RGS5,0,0,0,0,,,,,,,,,,,
RNF144A,0,0,0,0,,,,,,,,,,,
RNF213,0,0,0,0,,,,,,,,,,,
RNFT1,0,0,0,0,,,,,,,,,,,
RPP21,0,0,0,0,,,,,,,,,,,
RPS10,0,0,0,0,,,,,,,,,,,
RPS19,0,0,0,0,,,,,,,,,,,
RPS3,0,0,0,0,,,,,,,,,,,
RPS6KL1,0,0,0,0,,,,,,,,,,,
RPS9,0,0,0,0,,,,,,,,,,,
RUBCNL,0,0,0,0,,,,,,,,,,,
RUNDC3B,0,0,0,0,,,,,,,,,,,
SAR1A,0,0,0,0,,,,,,,,,,,
SCAF8,0,0,0,0,,,,,,,,,,,
SCARB1,0,0,0,0,,,,,,,,,,,
SCHIP1,0,0,0,0,,,,,,,,,,,
SCLY,0,0,0,0,,,,,,,,,,,
SCO1,0,0,0,0,,,,,,,,,,,
SDCBP2-AS1,0,0,0,0,,,,,,,,,,,
SDHAP2,0,0,0,0,,,,,,,,,,,
SENP6,0,0,0,0,,,,,,,,,,,
SERGEF,0,0,0,0,,,,,,,,,,,
SETDB2,0,0,0,0,,,,,,,,,,,
SETX,0,0,0,0,,,,,,,,,,,
SF3B3,0,0,0,0,,,,,,,,,,,
SFT2D1,0,0,0,0,,,,,,,,,,,
SGIP1,0,0,0,0,,,,,,,,,,,
SH3YL1,0,0,0,0,,,,,,,,,,,
SHOC2,0,0,0,0,,,,,,,,,,,
SLC10A7,0,0,0,0,,,,,,,,,,,
SLC12A2,0,0,0,0,,,,,,,,,,,
SLC24A3,0,0,0,0,,,,,,,,,,,
SLC25A17,0,0,0,0,,,,,,,,,,,
SLC35A5,0,0,0,0,,,,,,,,,,,
SLC7A6,0,0,0,0,,,,,,,,,,,
SMAD1,0,0,0,0,,,,,,,,,,,
SMN1,0,0,0,0,,,,,,,,,,,
SMN2,0,0,0,0,,,,,,,,,,,
SMTN,0,0,0,0,,,,,,,,,,,
SMYD2,0,0,0,0,,,,,,,,,,,
SNAI3-AS1,0,0,0,0,,,,,,,,,,,
SNAP23,0,0,0,0,,,,,,,,,,,
SNAP91,0,0,0,0,,,,,,,,,,,
SNHG12,0,0,0,0,,,,,,,,,,,
SNHG14,0,0,0,0,,,,,,,,,,,
SNHG17,0,0,0,0,,,,,,,,,,,
SNHG29,0,0,0,0,,,,,,,,,,,
SNHG5,0,0,0,0,,,,,,,,,,,
SNX24,0,0,0,0,,,,,,,,,,,
SNX4,0,0,0,0,,,,,,,,,,,
SORBS3,0,0,0,0,,,,,,,,,,,
SORCS1,0,0,0,0,,,,,,,,,,,
SOS2,0,0,0,0,,,,,,,,,,,
SPATA13,0,0,0,0,,,,,,,,,,,
SPG7,0,0,0,0,,,,,,,,,,,
SPIDR,0,0,0,0,,,,,,,,,,,
SPPL2B,0,0,0,0,,,,,,,,,,,
SPRY4-AS1,0,0,0,0,,,,,,,,,,,
SPRYD7,0,0,0,0,,,,,,,,,,,
SREK1,0,0,0,0,,,,,,,,,,,
SRP14-AS1,0,0,0,0,,,,,,,,,,,
SSBP1,0,0,0,0,,,,,,,,,,,
ST6GALNAC4,0,0,0,0,,,,,,,,,,,
STIM2,0,0,0,0,,,,,,,,,,,
STOX2,0,0,0,0,,,,,,,,,,,
STRN,0,0,0,0,,,,,,,,,,,
STRN4,0,0,0,0,,,,,,,,,,,
STXBP1,0,0,0,0,,,,,,,,,,,
STXBP4,0,0,0,0,,,,,,,,,,,
STXBP6,0,0,0,0,,,,,,,,,,,
SULF1,0,0,0,0,,,,,,,,,,,
SUZ12P1,0,0,0,0,,,,,,,,,,,
SYTL2,0,0,0,0,,,,,,,,,,,
TARBP1,0,0,0,0,,,,,,,,,,,
TARDBP,0,0,0,0,,,,,,,,,,,
TASOR2,0,0,0,0,,,,,,,,,,,
TASP1,0,0,0,0,,,,,,,,,,,
TCF4,0,0,0,0,,,,,,,,,,,
TENT2,0,0,0,0,,,,,,,,,,,
TET1,0,0,0,0,,,,,,,,,,,
TEX21P,0,0,0,0,,,,,,,,,,,
THRAP3,0,0,0,0,,,,,,,,,,,
TIAM1,0,0,0,0,,,,,,,,,,,
TMEM116,0,0,0,0,,,,,,,,,,,
TMEM214,0,0,0,0,,,,,,,,,,,
TMEM237,0,0,0,0,,,,,,,,,,,
TMEM50B,0,0,0,0,,,,,,,,,,,
TMEM91,0,0,0,0,,,,,,,,,,,
TNFRSF25,0,0,0,0,,,,,,,,,,,
TNRC6A,0,0,0,0,,,,,,,,,,,
TP53INP1,0,0,0,0,,,,,,,,,,,
TPM3,0,0,0,0,,,,,,,,,,,
TPT1-AS1,0,0,0,0,,,,,,,,,,,
TPTEP2,0,0,0,0,,,,,,,,,,,
TRAF5,0,0,0,0,,,,,,,,,,,
TRAPPC13,0,0,0,0,,,,,,,,,,,
TRAPPC2L,0,0,0,0,,,,,,,,,,,
TRIM27,0,0,0,0,,,,,,,,,,,
TRIM37,0,0,0,0,,,,,,,,,,,
TSC1,0,0,0,0,,,,,,,,,,,
TSPAN7,0,0,0,0,,,,,,,,,,,
TSTD3,0,0,0,0,,,,,,,,,,,
TTC5,0,0,0,0,,,,,,,,,,,
TTLL3,0,0,0,0,,,,,,,,,,,
TUBA1C,0,0,0,0,,,,,,,,,,,
TVP23A,0,0,0,0,,,,,,,,,,,
UBE2Q2L,0,0,0,0,,,,,,,,,,,
URGCP-MRPS24,0,0,0,0,,,,,,,,,,,
USP9Y,0,0,0,0,,,,,,,,,,,
VAMP1,0,0,0,0,,,,,,,,,,,
VAV2,0,0,0,0,,,,,,,,,,,
VDAC1P8,0,0,0,0,,,,,,,,,,,
VPS28,0,0,0,0,,,,,,,,,,,
VPS41,0,0,0,0,,,,,,,,,,,
VPS8,0,0,0,0,,,,,,,,,,,
VSTM2L,0,0,0,0,,,,,,,,,,,
WDR45,0,0,0,0,,,,,,,,,,,
WDR90,0,0,0,0,,,,,,,,,,,
WDR91,0,0,0,0,,,,,,,,,,,
WDTC1,0,0,0,0,,,,,,,,,,,
WNK1,0,0,0,0,,,,,,,,,,,
WNK2,0,0,0,0,,,,,,,,,,,
WNK3,0,0,0,0,,,,,,,,,,,
WSB1,0,0,0,0,,,,,,,,,,,
XRN2,0,0,0,0,,,,,,,,,,,
YJEFN3,0,0,0,0,,,,,,,,,,,
YPEL5,0,0,0,0,,,,,,,,,,,
