,1st_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.10x
ASCC3,0.742025574,0.562761198
ASGR1,0,0
ATG2B,0.412357304,0.417917651
ATP7B,0.418,0
ATP8A2,0.397764222,0.290519733
ATR,0.313,0
AVL9,0.25334918,0
BLMH,0,0.256255847
C10orf82,0,0
C11orf95,0,0
CA12,0,0
CACNA1C,0.635,0.46540664
CACNA1H,0.314,0.417
CACNB4,0.313,0.476808145
CCDC18-AS1,0.41,0
CCDC3,0.424428079,0
CCNT2,0.259210402,0
CDC37L1,0.417015637,0
CDH18,0.376535513,0
CDK5RAP1,0,0.341
CDK5RAP2,0.319,0
CEP44,0,0
CEP57L1,0.263287289,0
CFAP410,0,0
CHORDC1,0.385,0
CHRM2,0.576348904,0.581141033
CHROMR,0.494,0
CKMT2-AS1,0,0
CLK4,0.435,0.424
CLN6,0,0
CNGA3,0.813802591,0.663287243
COMMD4,0,0
COPS7B,0.456,0.316
CRYL1,0.67,0
CSTF3,0.47981781,0.381901041
CYB5R2,0,0
DCAF17,0.44519826,0.266096324
DDX41,0,0.312
DDX42,0.303855274,0.322546039
DENND1A,0.911558765,0.881757257
DMAC2L,0.449,0.417105819
DPY30,0.54983346,0.671019578
DST,0,0.377
DTWD1,0,0
EGLN1,0,0
EIF2D,0.404182635,0.411
ELMO2,0.421,0.373
ELP5,0,0
EMSY,0,0.342049992
ENAH,0.481056138,0.423779397
ENOX1,0.435484595,0.348190247
ERCC8,0.462,0.393
ERRFI1,0.254433303,0
EVC,0.904354189,0.680253979
FAM110B,0,0
FAM114A2,0.333,0
FAM221A,0,0
FBL,0.334671389,0
FBXL16,0.258585638,0
FGD4,0.422789303,0
FHOD3,0.569287595,0.751645041
FNIP2,0.391382624,0.318619898
FRG1HP,0,0.335
FSIP2,0,0.541
FUS,0,0
FUT10,0.463723058,0
GALC,0.78,0.727
GARNL3,0.789310112,0.643107018
GLRA3,0.574904532,0.539053177
GNAQ,0.442173424,0.347815879
GOLT1B,0,0
GPHN,0.40358673,0
GRIA1,0.606442432,0.426160093
GXYLT1,0.765044505,0.627866232
HAUS3,0.673962167,0.50571091
HIKESHI,0.31,0
IFT57,0.274983925,0
IFT81,0,0
IL11RA,0.461526053,0
INO80E,0.339,0
INTS3,0,0
IVD,0.420135316,0
KIAA1549L,0,0
KLHL1,0.446036378,0.372019455
LIMCH1,0.883,0.841
LINC00678,0,0
LINC01011,0.433622095,0
LINC01128,0,0
LINGO2,0.435475557,0
LRIG2,0.636833548,0.709466029
LRRCC1,0.378248929,0
LUC7L3,0.287157289,0
MACROD2,0.438475947,0.334499117
MAN1A2,0,0
MAP6,0.293622485,0.388895457
MAPK10,0,0
MDN1,0.263561588,0
MELTF,0.663487099,0.730714112
MEMO1,0.521928085,0.614411682
METTL6,0,0
MFN2,0.514,0.382014048
MORN1,0,0
MRPL39,0.28861213,0
MRPS5,0,0.432776957
MSL3,0.358,0
MYT1,0.396,0
MYT1L,0.341844491,0
NECAP1,0.359,0
NECAP2,0,0
NELFA,0.360211333,0
NIPA1,0,0
NKAIN2,0.689648686,0.613293388
NLGN1,0.350007624,0.251321274
NLN,0.274007537,0
NPRL2,0,0
NQO2,0.33,0
NR1H3,0,0
NRXN3,0,0
NUDT22,0.338,0
PAXBP1,0,0
PCDH10,0.706391686,0.563852471
PDIA5,0.501506158,0.37259979
PHB2,0,0
PIGN,0.564538717,0
PITPNB,0.427791034,0.28955216
PMS1,0.649530726,0.605514667
PMS2P10,0,0.267253084
POLG2,0,0
PPHLN1,0,0.256100011
PPP1R26,0,0
PRICKLE1,0.452366352,0
PRKG1,0.439896539,0
PRR13,0,0
PRRT1,0.400940503,0
PRUNE2,0.369,0
PTPRT,0.324532716,0
QKI,0,0
RALGPS1,0,0
RAPGEF1,0.536,0.505
RBBP8,0.637032757,0.444750394
RCOR3,0.400272486,0
RPGR,0.33,0
RPS10,0,0
RUNDC3B,0.345,0
SCO1,0.45697604,0.434553551
SCYL2,0,0
SEC22A,0.435442578,0.36467751
SERGEF,0.43,0.368
SERHL2,0,0
SETX,0.757635744,0.715467017
SF3B1,0,0
SIRT5,0,0
SLC24A3,0.398276341,0
SLC25A17,0.348,0.454
SLC7A6,0.38,0.452
SMC4,0,0
SNAP23,0.376,0.406165877
SNHG15,0.367,0
SNX14,0,0
SNX7,0.44683983,0
SORCS1,0.500904995,0
SOS2,0.514353641,0.432730989
SPRYD7,0.365518968,0.309752979
SREK1,0.529,0.456
SS18L1,0,0
SSBP1,0.345589321,0
ST3GAL1,0,0
STAG3L5P-PVRIG2P-PILRB,0,0
STRN4,0.438678507,0.371017608
STXBP5L,0.643,0.460491827
SULF1,0.506272189,0
SUPT20H,0.341074835,0
SYNE4,0,0
SYTL2,0,0
TASP1,0.439455856,0
TEN1-CDK3,0.412209676,0
TET1,0.380959464,0.494438953
THSD7B,0.542755659,0.481542151
TMEM116,0,0.424
TMEM52,0,0
TNFRSF25,0.451,0.477
TNIP1,0,0.44846125
TP53INP1,0.38788401,0.342
TPM2,0,0
TRAPPC13,0,0
TRIM65,0,0.417
TSC1,0,0
TSPAN4,0,0.552
TSPAN7,0.326,0.366
TSTD3,0,0
TTN-AS1,0,0.544
TUBB4A,0,0.469961097
UBAP2L,0.269330836,0
UBE2Q2P1,0,0.431314258
USP9Y,0.682104632,0.505978158
VAV2,0.280029909,0
VDAC3,0,0
WDR17,0.518,0.67
WDR90,0,0
WDR91,0.443312111,0.356
WSB1,0.374727988,0
YPEL5,0.374,0.33
ZDHHC11,0,0.769586458
ZDHHC13,0,0.331
ZMYM6,0.76927122,0.597071964
ZNF138,0,0
ZNF37BP,0,0
ZNF43,0,0
ZNF563,0,0
ZNF585B,0.41215834,0
ZNF687,0,0
