UniqueID,Gene.Name,Index1_iPSC_2006152_3xBatch2_log2FoldChange,UniqueID.1,Gene.Name.1,Index2_iPSC_2139701_3xBatch2_log2FoldChange,UniqueID.2,Gene.Name.2,Index3_iPSC_2174714_3xBatch2_log2FoldChange,UniqueID.3,Gene.Name.3,Index4_iPSC_2174748_3xBatch2_log2FoldChange,UniqueID.4,Gene.Name.4,Index5_iPSC_2175420_3xBatch2_log2FoldChange,UniqueID.5,Gene.Name.5,Index6_iPSC_2184088_3xBatch2_log2FoldChange,UniqueID.6,Gene.Name.6,Index7_iPSC_2184090_3xBatch2_log2FoldChange,UniqueID.7,Gene.Name.7,Index8_iPSC_2184741_3xBatch2_log2FoldChange,UniqueID.8,Gene.Name.8,Index9_iPSC_2186527_3xBatch2_log2FoldChange,UniqueID.9,Gene.Name.9,Index10_iPSC_2186866_3xBatch2_log2FoldChange,UniqueID,Gene.Name,Index11_iPSC_2186960_3xBatch2_log2FoldChange
ENSG00000185052.12,SLC24A3,-0.7351826,ENSG00000134775.15,FHOD3,-1.767212,ENSG00000149554.13,CHEK1,-0.7775435,ENSG00000134775.15,FHOD3,-1.7966531,ENSG00000228716.7,DHFR,-0.6269885,ENSG00000164329.13,TENT2,-1.1981742,ENSG00000198695.2,MT-ND6,-1.259842,ENSG00000283782.2,AC116366.3,-20.0404254,ENSG00000179889.19,PDXDC1,-0.9320301,ENSG00000168803.15,ADAL,-0.882560658,ENSG00000134775.15,FHOD3,-1.6000761
ENSG00000164329.13,TENT2,-0.9039379,ENSG00000123178.15,SPRYD7,-0.7769086,ENSG00000166736.11,HTR3A,-1.1043656,ENSG00000185052.12,SLC24A3,-0.6337285,ENSG00000164329.13,TENT2,-1.1428175,ENSG00000171246.6,NPTX1,-1.4534303,ENSG00000179889.19,PDXDC1,-0.7834797,ENSG00000088930.8,XRN2,-1.2551274,ENSG00000134775.15,FHOD3,-1.6042926,ENSG00000113643.9,RARS1,-0.86424766,ENSG00000162687.18,KCNT2,-1.1203677
ENSG00000144712.12,CAND2,-0.9985466,ENSG00000182870.13,GALNT9,-1.0197293,ENSG00000054983.17,GALC,-0.6751213,ENSG00000123178.15,SPRYD7,-0.7334564,ENSG00000134775.15,FHOD3,-2.4387336,ENSG00000166394.15,CYB5R2,-1.0571917,ENSG00000152582.14,SPEF2,-1.3454257,ENSG00000144354.14,CDCA7,-0.8670803,ENSG00000162687.18,KCNT2,-0.9209116,ENSG00000171246.6,NPTX1,-1.795463277,ENSG00000123178.15,SPRYD7,-0.6722346
ENSG00000134775.15,FHOD3,-1.7488663,ENSG00000162687.18,KCNT2,-1.0828069,ENSG00000103064.15,SLC7A6,-0.649276,ENSG00000166736.11,HTR3A,-0.7970659,ENSG00000180957.18,PITPNB,-1.0306489,ENSG00000134775.15,FHOD3,-2.1555544,ENSG00000285053.1,TBCE,-0.8682665,ENSG00000119522.16,DENND1A,-0.9973022,,,,ENSG00000185104.20,FAF1,-0.952779996,,,
ENSG00000182870.13,GALNT9,-1.2188836,ENSG00000257354.2,AC048341.1,-0.7235498,ENSG00000134775.15,FHOD3,-1.8585368,ENSG00000166394.15,CYB5R2,-0.6456104,ENSG00000173681.16,BCLAF3,-0.913405,ENSG00000183032.12,SLC25A21,-1.1772218,ENSG00000162687.18,KCNT2,-1.0137112,ENSG00000188153.14,COL4A5,-1.2392266,,,,ENSG00000139734.19,DIAPH3,-1.545617914,,,
ENSG00000180957.18,PITPNB,-0.7498868,ENSG00000118407.15,FILIP1,-0.7521553,ENSG00000123178.15,SPRYD7,-0.8398069,ENSG00000260641.1,AC114811.2,-1.5624409,ENSG00000166394.15,CYB5R2,-1.1225741,ENSG00000160392.13,C19orf47,-0.6462366,ENSG00000087510.7,TFAP2C,-0.6704805,ENSG00000180957.18,PITPNB,-1.1616502,,,,ENSG00000163507.14,CIP2A,-1.49914283,,,
ENSG00000166394.15,CYB5R2,-0.6826074,ENSG00000053524.12,MCF2L2,-0.6360742,ENSG00000139734.19,DIAPH3,-1.0851838,ENSG00000145284.12,SCD5,-0.9294182,ENSG00000137872.17,SEMA6D,-0.6549617,ENSG00000100395.15,L3MBTL2,-0.6310329,ENSG00000285827.1,AP001267.5,-1.4462992,ENSG00000285238.2,AC006064.6,-18.0609019,,,,ENSG00000119537.18,KDSR,-0.895246104,,,
ENSG00000151468.11,CCDC3,-0.8272696,ENSG00000087510.7,TFAP2C,-0.6696829,ENSG00000163507.14,CIP2A,-1.0575253,ENSG00000162687.18,KCNT2,-0.9509552,ENSG00000160392.13,C19orf47,-0.6866952,ENSG00000182870.13,GALNT9,-1.137996,ENSG00000283900.1,TPTEP2-CSNK1E,-1.6263387,ENSG00000144712.12,CAND2,-1.3956346,,,,ENSG00000166394.15,CYB5R2,-1.102852925,,,
ENSG00000253882.6,AC099548.2,-5.5339145,ENSG00000163507.14,CIP2A,-0.7984795,ENSG00000166394.15,CYB5R2,-0.7973088,ENSG00000156345.17,CDK20,-0.7759801,ENSG00000110881.12,ASIC1,-1.2442736,ENSG00000152582.14,SPEF2,-1.5873761,ENSG00000166736.11,HTR3A,-0.6198803,ENSG00000197386.12,HTT,-1.2691884,,,,ENSG00000198162.12,MAN1A2,-1.038289679,,,
ENSG00000152582.14,SPEF2,-1.2289927,ENSG00000166394.15,CYB5R2,-0.5884838,ENSG00000162687.18,KCNT2,-1.0822953,,,,ENSG00000103064.15,SLC7A6,-0.5898415,ENSG00000123178.15,SPRYD7,-0.7183872,ENSG00000171246.6,NPTX1,-0.6738998,ENSG00000143207.21,COP1,-0.7107226,,,,ENSG00000183032.12,SLC25A21,-1.412496511,,,
ENSG00000260641.1,AC114811.2,-1.4529901,ENSG00000150672.17,DLG2,-0.6764123,ENSG00000144712.12,CAND2,-0.7314191,,,,ENSG00000053524.12,MCF2L2,-0.8910106,ENSG00000163507.14,CIP2A,-0.9365749,ENSG00000204963.6,PCDHA7,-2.7214813,ENSG00000133028.12,SCO1,-0.6111209,,,,ENSG00000103064.15,SLC7A6,-0.725867434,,,
ENSG00000171533.11,MAP6,-0.6991098,ENSG00000214367.8,HAUS3,-0.632178,ENSG00000071794.16,HLTF,-0.7529306,,,,ENSG00000188153.14,COL4A5,-0.8272799,ENSG00000162687.18,KCNT2,-1.1115046,,,,ENSG00000064933.18,PMS1,-1.2733454,,,,ENSG00000123178.15,SPRYD7,-1.03044253,,,
ENSG00000110881.12,ASIC1,-0.763607,ENSG00000156298.12,TSPAN7,-0.659578,ENSG00000171246.6,NPTX1,-0.7975552,,,,ENSG00000157214.14,STEAP2,-0.9244744,ENSG00000198695.2,MT-ND6,-1.2737429,,,,ENSG00000187672.13,ERC2,-0.8610064,,,,ENSG00000115970.18,THADA,-0.688329,,,
ENSG00000285053.1,TBCE,-0.7383849,ENSG00000285053.1,TBCE,-0.7186198,ENSG00000048052.21,HDAC9,-0.5977627,,,,ENSG00000183032.12,SLC25A21,-1.0734972,ENSG00000136044.12,APPL2,-0.6316161,,,,ENSG00000005436.14,GCFC2,-1.1672067,,,,ENSG00000157869.15,RAB28,-0.592092315,,,
,,,,,,ENSG00000153914.16,SREK1,-0.6867552,,,,ENSG00000100285.10,NEFH,-0.619495,ENSG00000166736.11,HTR3A,-0.7287069,,,,ENSG00000139734.19,DIAPH3,-1.3380404,,,,ENSG00000134775.15,FHOD3,-2.014242221,,,
,,,,,,ENSG00000150672.17,DLG2,-0.6846068,,,,ENSG00000182870.13,GALNT9,-1.2187644,ENSG00000101489.20,CELF4,-0.9828321,,,,ENSG00000071794.16,HLTF,-1.1393986,,,,ENSG00000160392.13,C19orf47,-0.675085041,,,
,,,,,,ENSG00000138336.9,TET1,-0.8040277,,,,ENSG00000163507.14,CIP2A,-1.0287479,ENSG00000198162.12,MAN1A2,-0.6279597,,,,ENSG00000115970.18,THADA,-0.6673721,,,,ENSG00000137710.17,RDX,-0.73886206,,,
,,,,,,ENSG00000165475.15,CRYL1,-1.1630909,,,,ENSG00000198162.12,MAN1A2,-0.7491733,ENSG00000118407.15,FILIP1,-0.7617365,,,,ENSG00000103064.15,SLC7A6,-0.6761455,,,,ENSG00000054983.17,GALC,-0.624402034,,,
,,,,,,ENSG00000242735.1,RPSAP26,-5.4567359,,,,ENSG00000152582.14,SPEF2,-1.737503,ENSG00000139734.19,DIAPH3,-0.8433393,,,,ENSG00000145808.10,ADAMTS19,-1.1620056,,,,ENSG00000100395.15,L3MBTL2,-0.665139371,,,
,,,,,,,,,,,,ENSG00000156345.17,CDK20,-1.0502084,ENSG00000110881.12,ASIC1,-0.8245692,,,,ENSG00000121542.12,SEC22A,-0.7533533,,,,ENSG00000157214.14,STEAP2,-1.010664235,,,
,,,,,,,,,,,,ENSG00000119537.18,KDSR,-0.6237262,ENSG00000053524.12,MCF2L2,-0.6189736,,,,ENSG00000198162.12,MAN1A2,-0.8925516,,,,ENSG00000152582.14,SPEF2,-1.971145284,,,
,,,,,,,,,,,,ENSG00000153317.15,ASAP1,-0.6777063,ENSG00000214367.8,HAUS3,-0.6876933,,,,ENSG00000157214.14,STEAP2,-1.0080876,,,,ENSG00000136044.12,APPL2,-0.795864714,,,
,,,,,,,,,,,,ENSG00000123178.15,SPRYD7,-0.7338734,ENSG00000156345.17,CDK20,-0.7897836,,,,ENSG00000056050.7,HPF1,-0.924891,,,,ENSG00000166736.11,HTR3A,-0.913134891,,,
,,,,,,,,,,,,ENSG00000173230.15,GOLGB1,-0.9748104,ENSG00000157214.14,STEAP2,-0.6533881,,,,ENSG00000123178.15,SPRYD7,-0.8582056,,,,ENSG00000165475.15,CRYL1,-2.177172449,,,
,,,,,,,,,,,,ENSG00000182253.15,SYNM,-0.6339042,ENSG00000156052.11,GNAQ,-0.735037,,,,ENSG00000124299.15,PEPD,-0.6379634,,,,ENSG00000156052.11,GNAQ,-1.058104917,,,
,,,,,,,,,,,,ENSG00000162687.18,KCNT2,-1.1386264,ENSG00000197959.14,DNM3,-0.916098,,,,ENSG00000118513.19,MYB,-0.8787656,,,,ENSG00000109911.19,ELP4,-0.780900859,,,
,,,,,,,,,,,,ENSG00000273820.2,USP27X,-0.5993666,ENSG00000150672.17,DLG2,-0.6807184,,,,ENSG00000115415.20,STAT1,-0.6354221,,,,ENSG00000150672.17,DLG2,-0.989177822,,,
,,,,,,,,,,,,ENSG00000119698.12,PPP4R4,-0.6241292,ENSG00000273294.1,C1QTNF3-AMACR,-6.7989864,,,,ENSG00000151466.12,SCLT1,-0.6121,,,,ENSG00000185052.12,SLC24A3,-0.633737801,,,
,,,,,,,,,,,,ENSG00000138161.14,CUZD1,-0.6303961,ENSG00000228253.1,MT-ATP8,-0.7627726,,,,ENSG00000136205.17,TNS3,-0.8457582,,,,ENSG00000173681.16,BCLAF3,-0.623909602,,,
,,,,,,,,,,,,ENSG00000068078.18,FGFR3,-0.7472817,ENSG00000133640.20,LRRIQ1,-1.0070549,,,,ENSG00000171246.6,NPTX1,-0.9574852,,,,ENSG00000138336.9,TET1,-1.120462352,,,
,,,,,,,,,,,,ENSG00000103742.12,IGDCC4,-0.6040142,ENSG00000189221.9,MAOA,-0.7791356,,,,ENSG00000134775.15,FHOD3,-1.6074916,,,,ENSG00000071794.16,HLTF,-0.872509382,,,
,,,,,,,,,,,,ENSG00000136205.17,TNS3,-0.7162474,,,,,,,ENSG00000134198.10,TSPAN2,-0.945828,,,,ENSG00000214367.8,HAUS3,-0.862779888,,,
,,,,,,,,,,,,ENSG00000136044.12,APPL2,-0.6051973,,,,,,,ENSG00000092531.10,SNAP23,-0.6437474,,,,ENSG00000143702.16,CEP170,-0.653869143,,,
,,,,,,,,,,,,ENSG00000126001.16,CEP250,-0.6849015,,,,,,,ENSG00000273173.5,SNURF,-1.1632124,,,,ENSG00000048052.21,HDAC9,-0.7075133,,,
,,,,,,,,,,,,ENSG00000214367.8,HAUS3,-0.7160707,,,,,,,ENSG00000285184.3,AC244033.2,-0.9432947,,,,ENSG00000188153.14,COL4A5,-0.685590786,,,
,,,,,,,,,,,,ENSG00000048052.21,HDAC9,-0.5907887,,,,,,,ENSG00000285827.1,AP001267.5,-1.4401566,,,,ENSG00000153914.16,SREK1,-0.797875659,,,
,,,,,,,,,,,,ENSG00000133816.15,MICAL2,-0.7472325,,,,,,,ENSG00000197959.14,DNM3,-0.9762748,,,,ENSG00000110881.12,ASIC1,-0.896122506,,,
,,,,,,,,,,,,ENSG00000113319.13,RASGRF2,-0.6950566,,,,,,,ENSG00000162687.18,KCNT2,-0.9507397,,,,ENSG00000144320.14,LNPK,-0.915697789,,,
,,,,,,,,,,,,ENSG00000150672.17,DLG2,-0.6969692,,,,,,,ENSG00000163507.14,CIP2A,-0.7655489,,,,ENSG00000156345.17,CDK20,-0.862772802,,,
,,,,,,,,,,,,ENSG00000138336.9,TET1,-0.835733,,,,,,,ENSG00000144320.14,LNPK,-0.7839177,,,,ENSG00000038210.14,PI4K2B,-0.789776319,,,
,,,,,,,,,,,,ENSG00000197959.14,DNM3,-0.9096053,,,,,,,ENSG00000124491.16,F13A1,-0.652733,,,,ENSG00000151468.11,CCDC3,-0.824723473,,,
,,,,,,,,,,,,ENSG00000257354.2,AC048341.1,-0.6312773,,,,,,,ENSG00000189221.9,MAOA,-0.7914635,,,,ENSG00000185305.11,ARL15,-0.883670493,,,
,,,,,,,,,,,,ENSG00000203761.5,MSTO2P,-1.8694122,,,,,,,,,,,,,ENSG00000182870.13,GALNT9,-0.894091866,,,
,,,,,,,,,,,,ENSG00000171368.12,TPPP,-0.6790402,,,,,,,,,,,,,ENSG00000162687.18,KCNT2,-0.993513544,,,
,,,,,,,,,,,,ENSG00000139734.19,DIAPH3,-0.7203825,,,,,,,,,,,,,ENSG00000144712.12,CAND2,-0.682621166,,,
,,,,,,,,,,,,ENSG00000124491.16,F13A1,-0.6364539,,,,,,,,,,,,,ENSG00000064933.18,PMS1,-0.736285313,,,
,,,,,,,,,,,,ENSG00000196586.16,MYO6,-0.794066,,,,,,,,,,,,,ENSG00000136205.17,TNS3,-0.664800875,,,
,,,,,,,,,,,,ENSG00000234420.7,ZNF37BP,-0.8330947,,,,,,,,,,,,,ENSG00000113319.13,RASGRF2,-0.721831318,,,
,,,,,,,,,,,,ENSG00000156052.11,GNAQ,-0.6530158,,,,,,,,,,,,,ENSG00000156298.12,TSPAN7,-0.696422191,,,
,,,,,,,,,,,,ENSG00000156298.12,TSPAN7,-0.6237227,,,,,,,,,,,,,ENSG00000112893.9,MAN2A1,-0.686495277,,,
,,,,,,,,,,,,ENSG00000243709.1,LEFTY1,-0.6365327,,,,,,,,,,,,,ENSG00000197959.14,DNM3,-0.900586839,,,
,,,,,,,,,,,,ENSG00000203618.6,GP1BB,-4.4154509,,,,,,,,,,,,,ENSG00000143353.12,LYPLAL1,-0.643831984,,,
,,,,,,,,,,,,ENSG00000250303.4,LINC02762,-1.3541354,,,,,,,,,,,,,ENSG00000185015.8,CA13,-0.810774982,,,
,,,,,,,,,,,,ENSG00000275131.3,AC241952.2,-1.1436969,,,,,,,,,,,,,ENSG00000189221.9,MAOA,-0.815999481,,,
,,,,,,,,,,,,ENSG00000054654.18,SYNE2,-0.7093745,,,,,,,,,,,,,ENSG00000125510.18,OPRL1,-0.935516558,,,
,,,,,,,,,,,,ENSG00000125510.18,OPRL1,-0.8860088,,,,,,,,,,,,,ENSG00000196586.16,MYO6,-0.80017638,,,
,,,,,,,,,,,,ENSG00000130827.6,PLXNA3,-0.7238044,,,,,,,,,,,,,ENSG00000172264.17,MACROD2,-0.680764749,,,
,,,,,,,,,,,,ENSG00000144320.14,LNPK,-0.6720262,,,,,,,,,,,,,ENSG00000260400.1,AL513534.3,-1.056986647,,,
,,,,,,,,,,,,ENSG00000171121.16,KCNMB3,-1.1031118,,,,,,,,,,,,,ENSG00000260641.1,AC114811.2,-1.191138205,,,
,,,,,,,,,,,,ENSG00000136895.19,GARNL3,-0.7742374,,,,,,,,,,,,,ENSG00000234456.8,MAGI2-AS3,-0.801327976,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000164252.13,AGGF1,-0.615727157,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000273173.5,SNURF,-0.937808539,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000111860.14,CEP85L,-0.642152258,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000175161.13,CADM2,-0.69263227,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000117533.15,VAMP4,-0.722082847,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000279561.2,AL845472.2,-4.343971225,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000204860.5,FAM201A,-0.764062817,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000250486.4,FAM218A,-0.842270796,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000172817.4,CYP7B1,-0.78270845,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ENSG00000242616.4,GNG10,-0.701608975,,,
