UniqueID,Gene.Name,Index1_iPSC.1755497.3xBatch1_log2FoldChange,UniqueID.1,Gene.Name.1,Index2_iPSC.2006152.3xBatch1_log2FoldChange,UniqueID.2,Gene.Name.2,Index3_iPSC.2059811.3xBatch1_log2FoldChange,UniqueID.3,Gene.Name.3,Index4_iPSC.2060573.3xBatch1_log2FoldChange,UniqueID.4,Gene.Name.4,Index5_iPSC.2070692.3xBatch1_log2FoldChange,UniqueID.5,Gene.Name.5,Index6_iPSC.2135644.3xBatch1_log2FoldChange,UniqueID,Gene.Name,Index7_iPSC.2136770.3xBatch1_log2FoldChange
,,,ENSG00000131142.13,CCL25,-1.7605051,ENSG00000228716.7,DHFR,-0.8133908,ENSG00000185104.20,FAF1,-1.8660347,ENSG00000123213.23,NLN,-1.254893222,ENSG00000185104.20,FAF1,-1.5736807,ENSG00000108349.17,CASC3,-0.6543589
,,,,,,ENSG00000134198.10,TSPAN2,-2.0781713,ENSG00000131876.17,SNRPA1,-0.861265,ENSG00000152208.13,GRID2,-0.732871212,ENSG00000168803.15,ADAL,-0.9887737,ENSG00000132773.12,TOE1,-0.9457334
,,,,,,ENSG00000119522.16,DENND1A,-2.1891171,ENSG00000149554.13,CHEK1,-1.0426407,ENSG00000188153.14,COL4A5,-1.674562223,ENSG00000166394.15,CYB5R2,-1.1103436,ENSG00000107625.13,DDX50,-0.7385241
,,,,,,ENSG00000150760.12,DOCK1,-0.9579759,ENSG00000100350.14,FOXRED2,-0.8954561,ENSG00000161888.11,SPC24,-0.791593191,ENSG00000141279.16,NPEPPS,-0.8628616,ENSG00000166394.15,CYB5R2,-0.9698613
,,,,,,ENSG00000163584.18,RPL22L1,-1.0549038,ENSG00000187955.12,COL14A1,-1.6045172,ENSG00000119522.16,DENND1A,-2.04075665,ENSG00000119522.16,DENND1A,-1.5451996,ENSG00000119522.16,DENND1A,-1.5553502
,,,,,,ENSG00000175768.13,TOMM5,-1.612358,ENSG00000113643.9,RARS1,-2.2599129,ENSG00000185104.20,FAF1,-1.613314342,ENSG00000160392.13,C19orf47,-0.88048,ENSG00000160392.13,C19orf47,-0.9091196
,,,,,,ENSG00000149554.13,CHEK1,-0.9985571,ENSG00000120333.4,MRPS14,-1.2012688,ENSG00000112146.16,FBXO9,-1.585383924,ENSG00000123178.15,SPRYD7,-0.7937361,ENSG00000056050.7,HPF1,-1.1635989
,,,,,,ENSG00000056050.7,HPF1,-1.6375902,ENSG00000112146.16,FBXO9,-1.659442,ENSG00000149554.13,CHEK1,-0.916752732,ENSG00000121542.12,SEC22A,-1.4294138,ENSG00000123178.15,SPRYD7,-0.8096558
,,,,,,ENSG00000144354.14,CDCA7,-1.9619815,ENSG00000109911.19,ELP4,-1.5549149,ENSG00000101773.19,RBBP8,-1.510487756,ENSG00000132773.12,TOE1,-0.8156428,ENSG00000134198.10,TSPAN2,-1.3342367
,,,,,,ENSG00000143207.21,COP1,-2.1536117,ENSG00000183032.12,SLC25A21,-2.8157725,ENSG00000056050.7,HPF1,-1.474026616,ENSG00000183032.12,SLC25A21,-1.7064091,ENSG00000115866.11,DARS1,-1.2146773
,,,,,,ENSG00000156298.12,TSPAN7,-2.1465644,ENSG00000144712.12,CAND2,-1.555107,ENSG00000156298.12,TSPAN7,-2.134619407,ENSG00000056050.7,HPF1,-0.947404,ENSG00000168803.15,ADAL,-0.7627035
,,,,,,ENSG00000152208.13,GRID2,-0.6149521,ENSG00000065457.10,ADAT1,-0.6919648,ENSG00000183032.12,SLC25A21,-2.490543387,ENSG00000189221.9,MAOA,-1.212878,ENSG00000144354.14,CDCA7,-1.3464735
,,,,,,ENSG00000108349.17,CASC3,-0.6946563,ENSG00000152208.13,GRID2,-0.6427161,ENSG00000166736.11,HTR3A,-2.916555642,ENSG00000179889.19,PDXDC1,-3.0915246,ENSG00000121542.12,SEC22A,-1.3284592
,,,,,,ENSG00000121542.12,SEC22A,-1.808882,ENSG00000166736.11,HTR3A,-3.0376183,ENSG00000175768.13,TOMM5,-1.402895188,ENSG00000144354.14,CDCA7,-1.1118316,ENSG00000171246.6,NPTX1,-1.3633124
,,,,,,ENSG00000160392.13,C19orf47,-1.0751925,ENSG00000105778.19,AVL9,-0.7637929,ENSG00000065457.10,ADAT1,-0.643444729,ENSG00000134198.10,TSPAN2,-1.0645613,ENSG00000179889.19,PDXDC1,-3.1072191
,,,,,,ENSG00000138780.15,GSTCD,-0.677061,ENSG00000090372.15,STRN4,-1.135512,ENSG00000121542.12,SEC22A,-1.82124969,ENSG00000123213.23,NLN,-0.6436486,ENSG00000144320.14,LNPK,-1.1585985
,,,,,,ENSG00000018625.15,ATP1A2,-0.6333186,ENSG00000119522.16,DENND1A,-1.8854529,ENSG00000100350.14,FOXRED2,-0.721487652,ENSG00000164329.13,TENT2,-1.6882037,ENSG00000164329.13,TENT2,-1.6919878
,,,,,,ENSG00000115866.11,DARS1,-1.4127499,ENSG00000143702.16,CEP170,-2.043561,ENSG00000180957.18,PITPNB,-3.756395263,ENSG00000112146.16,FBXO9,-0.8950672,ENSG00000143207.21,COP1,-1.2659226
,,,,,,ENSG00000144320.14,LNPK,-1.6581004,ENSG00000101773.19,RBBP8,-1.4418366,ENSG00000137710.17,RDX,-1.03385125,ENSG00000171246.6,NPTX1,-1.2156892,ENSG00000206585.1,RNVU1-7,-17.7283664
,,,,,,ENSG00000136111.14,TBC1D4,-0.6193982,ENSG00000180957.18,PITPNB,-3.9179729,ENSG00000113643.9,RARS1,-1.792180976,ENSG00000166736.11,HTR3A,-1.6385405,ENSG00000280780.2,JAKMIP2-AS1,-0.7317075
,,,,,,ENSG00000115415.20,STAT1,-1.4319307,ENSG00000018510.16,AGPS,-1.1794891,ENSG00000131876.17,SNRPA1,-0.645829607,ENSG00000140350.15,ANP32A,-0.9447831,ENSG00000166685.12,COG1,-0.8098592
,,,,,,ENSG00000124299.15,PEPD,-2.0280628,ENSG00000160392.13,C19orf47,-1.048916,ENSG00000123178.15,SPRYD7,-0.934794937,ENSG00000180957.18,PITPNB,-2.2783665,ENSG00000115970.18,THADA,-0.9660778
,,,,,,ENSG00000070785.17,EIF2B3,-1.20848,ENSG00000070785.17,EIF2B3,-1.3495897,ENSG00000122359.18,ANXA11,-1.381807672,ENSG00000064933.18,PMS1,-1.5761467,ENSG00000064933.18,PMS1,-1.5907808
,,,,,,ENSG00000064933.18,PMS1,-2.3003821,ENSG00000175161.13,CADM2,-1.740643,ENSG00000120333.4,MRPS14,-0.929487416,ENSG00000175768.13,TOMM5,-0.7820195,ENSG00000182870.13,GALNT9,-1.3979094
,,,,,,ENSG00000115970.18,THADA,-1.3886494,ENSG00000170962.13,PDGFD,-1.3161237,ENSG00000018625.15,ATP1A2,-0.616348118,ENSG00000160207.9,HSF2BP,-1.9672552,ENSG00000112146.16,FBXO9,-0.8187623
,,,,,,ENSG00000076685.18,NT5C2,-0.9438196,ENSG00000198162.12,MAN1A2,-1.7845282,ENSG00000109911.19,ELP4,-1.190656698,ENSG00000144320.14,LNPK,-1.0162279,ENSG00000198162.12,MAN1A2,-1.0510329
,,,,,,ENSG00000179889.19,PDXDC1,-3.8346411,ENSG00000122359.18,ANXA11,-1.3931649,ENSG00000018510.16,AGPS,-1.019263738,ENSG00000115970.18,THADA,-0.9119387,ENSG00000140350.15,ANP32A,-0.8738732
,,,,,,ENSG00000140350.15,ANP32A,-1.2383295,ENSG00000142188.17,TMEM50B,-0.945664,ENSG00000198162.12,MAN1A2,-1.632588069,ENSG00000166685.12,COG1,-0.7421467,ENSG00000124299.15,PEPD,-1.2520762
,,,,,,ENSG00000198162.12,MAN1A2,-1.4217778,ENSG00000171246.6,NPTX1,-2.0112046,ENSG00000064933.18,PMS1,-2.314784244,ENSG00000122359.18,ANXA11,-0.7983798,ENSG00000189221.9,MAOA,-0.9698664
,,,,,,ENSG00000081985.12,IL12RB2,-2.258717,ENSG00000115970.18,THADA,-1.4888629,ENSG00000070785.17,EIF2B3,-1.197613723,ENSG00000198162.12,MAN1A2,-1.0003183,ENSG00000070785.17,EIF2B3,-0.7451735
,,,,,,ENSG00000123213.23,NLN,-0.7427763,ENSG00000139629.16,GALNT6,-0.7046397,ENSG00000243943.10,ZNF512,-0.699894012,ENSG00000157214.14,STEAP2,-1.0284593,ENSG00000183032.12,SLC25A21,-1.2111692
,,,,,,ENSG00000160207.9,HSF2BP,-2.6810704,ENSG00000270647.6,TAF15,-0.9532391,ENSG00000171246.6,NPTX1,-1.769852202,ENSG00000103064.15,SLC7A6,-0.9640195,ENSG00000155849.15,ELMO1,-0.7451581
,,,,,,ENSG00000164329.13,TENT2,-1.9094748,ENSG00000123178.15,SPRYD7,-0.8440436,ENSG00000160392.13,C19orf47,-0.889054438,ENSG00000124299.15,PEPD,-1.159459,ENSG00000103064.15,SLC7A6,-0.9726546
,,,,,,ENSG00000116771.6,AGMAT,-1.1430705,ENSG00000179889.19,PDXDC1,-3.9449744,ENSG00000115970.18,THADA,-1.349249108,ENSG00000113643.9,RARS1,-0.936247,ENSG00000184524.6,CEND1,-1.0341635
,,,,,,ENSG00000155849.15,ELMO1,-0.9915598,ENSG00000148925.10,BTBD10,-1.4281861,ENSG00000114988.11,LMAN2L,-1.039032669,ENSG00000081985.12,IL12RB2,-1.3738262,ENSG00000081985.12,IL12RB2,-1.3921183
,,,,,,ENSG00000133835.17,HSD17B4,-0.7102811,ENSG00000121542.12,SEC22A,-1.4648371,ENSG00000134198.10,TSPAN2,-1.383055007,ENSG00000165475.15,CRYL1,-1.7489208,ENSG00000166736.11,HTR3A,-1.3481172
,,,,,,ENSG00000166394.15,CYB5R2,-0.7278399,ENSG00000156298.12,TSPAN7,-1.5924321,ENSG00000090372.15,STRN4,-0.866341393,ENSG00000070785.17,EIF2B3,-0.6924931,ENSG00000163597.15,SNHG16,-0.976552
,,,,,,ENSG00000280780.2,JAKMIP2-AS1,-0.7933635,ENSG00000188153.14,COL4A5,-1.1630488,ENSG00000179889.19,PDXDC1,-3.795612689,ENSG00000088930.8,XRN2,-2.5928704,ENSG00000180957.18,PITPNB,-1.8661885
,,,,,,ENSG00000103064.15,SLC7A6,-1.2592963,ENSG00000156052.11,GNAQ,-1.4446082,ENSG00000187955.12,COL14A1,-1.053822802,ENSG00000101464.10,PIGU,-0.7035654,ENSG00000157214.14,STEAP2,-0.9689175
,,,,,,ENSG00000157214.14,STEAP2,-1.3199618,ENSG00000101464.10,PIGU,-1.2267214,ENSG00000142188.17,TMEM50B,-0.806464194,ENSG00000155849.15,ELMO1,-0.670458,ENSG00000116771.6,AGMAT,-0.7278014
,,,,,,ENSG00000175575.13,PAAF1,-0.6071058,ENSG00000176399.4,DMRTA1,-1.0790517,ENSG00000143702.16,CEP170,-1.548598428,ENSG00000143207.21,COP1,-0.9159702,ENSG00000115415.20,STAT1,-0.7112176
,,,,,,ENSG00000244342.5,LINC00698,-0.7514192,ENSG00000185973.11,TMLHE,-0.8905658,ENSG00000151445.16,VIPAS39,-1.101405082,ENSG00000151466.12,SCLT1,-1.2621287,ENSG00000273820.2,USP27X,-0.8214241
,,,,,,ENSG00000155229.21,MMS19,-1.5168823,ENSG00000166938.13,DIS3L,-1.1976381,ENSG00000175161.13,CADM2,-1.410744173,ENSG00000133101.10,CCNA1,-0.9289439,ENSG00000187902.11,SHISA7,-1.0250374
,,,,,,ENSG00000123178.15,SPRYD7,-0.5865714,ENSG00000056050.7,HPF1,-1.0708847,ENSG00000139629.16,GALNT6,-0.59481788,ENSG00000187955.12,COL14A1,-0.5903361,ENSG00000101464.10,PIGU,-0.661886
,,,,,,ENSG00000163597.15,SNHG16,-1.2332739,ENSG00000243943.10,ZNF512,-0.6389761,ENSG00000144320.14,LNPK,-1.362124657,ENSG00000129244.9,ATP1B2,-0.6216414,ENSG00000184014.8,DENND5A,-1.3925737
,,,,,,ENSG00000171246.6,NPTX1,-1.2175377,ENSG00000197535.14,MYO5A,-1.2299091,ENSG00000148925.10,BTBD10,-1.280977808,ENSG00000103740.10,ACSBG1,-0.7416219,ENSG00000088930.8,XRN2,-2.2440793
,,,,,,ENSG00000100242.15,SUN2,-0.6955835,ENSG00000129244.9,ATP1B2,-1.0220935,ENSG00000144354.14,CDCA7,-1.282935641,ENSG00000196189.13,SEMA4A,-0.5905452,ENSG00000103740.10,ACSBG1,-0.684779
,,,,,,ENSG00000010319.7,SEMA3G,-1.2540417,ENSG00000138336.9,TET1,-1.8599549,ENSG00000132773.12,TOE1,-0.741739314,ENSG00000067221.14,STOML1,-0.6904585,ENSG00000144504.15,ANKMY1,-1.0035801
,,,,,,ENSG00000163807.6,KIAA1143,-0.6486052,ENSG00000164329.13,TENT2,-1.9079142,ENSG00000183044.12,ABAT,-0.823922523,ENSG00000115866.11,DARS1,-0.67541,ENSG00000151466.12,SCLT1,-1.1445757
,,,,,,ENSG00000187955.12,COL14A1,-0.7617977,ENSG00000048052.21,HDAC9,-0.9201001,ENSG00000115866.11,DARS1,-1.112182113,ENSG00000263715.7,LINC02210-CRHR1,-27.6583145,ENSG00000122359.18,ANXA11,-0.5944702
,,,,,,ENSG00000151445.16,VIPAS39,-0.7906226,ENSG00000110881.12,ASIC1,-1.9979783,ENSG00000164329.13,TENT2,-1.898842401,ENSG00000273820.2,USP27X,-0.7792139,ENSG00000134775.15,FHOD3,-2.0851241
,,,,,,ENSG00000281406.2,BLACAT1,-0.8309435,ENSG00000155229.21,MMS19,-1.6476387,ENSG00000157869.15,RAB28,-0.65813075,ENSG00000232859.9,LYRM9,-0.745673,ENSG00000113643.9,RARS1,-0.7306489
,,,,,,ENSG00000136205.17,TNS3,-2.0297077,ENSG00000144320.14,LNPK,-1.235875,ENSG00000160207.9,HSF2BP,-2.671090943,ENSG00000163597.15,SNHG16,-0.8357778,ENSG00000197386.12,HTT,-1.9321227
,,,,,,ENSG00000064313.12,TAF2,-1.4021116,ENSG00000149084.13,HSD17B12,-1.1023733,ENSG00000102802.10,MEDAG,-2.102883016,ENSG00000138336.9,TET1,-1.0737708,ENSG00000153317.15,ASAP1,-0.7710874
,,,,,,ENSG00000102401.20,ARMCX3,-0.8068047,ENSG00000189221.9,MAOA,-1.2257693,ENSG00000189221.9,MAOA,-1.273157674,ENSG00000279423.1,AL445363.3,-6.3002624,ENSG00000281091.3,AL117327.1,-1.0911678
,,,,,,ENSG00000144504.15,ANKMY1,-1.3517709,ENSG00000163507.14,CIP2A,-2.7097255,ENSG00000124299.15,PEPD,-1.607539703,ENSG00000197386.12,HTT,-2.0970339,ENSG00000232859.9,LYRM9,-0.6609909
,,,,,,ENSG00000172115.9,CYCS,-0.6405959,ENSG00000112685.14,EXOC2,-0.9313917,ENSG00000101464.10,PIGU,-1.026931391,ENSG00000270074.1,AC087203.3,-5.5174738,ENSG00000136205.17,TNS3,-1.3714389
,,,,,,ENSG00000253729.8,PRKDC,-2.0566451,ENSG00000273820.2,USP27X,-1.262157,ENSG00000163827.13,LRRC2,-0.63838263,ENSG00000102802.10,MEDAG,-1.1550884,ENSG00000250132.6,AC004803.1,-0.6560067
,,,,,,ENSG00000250132.6,AC004803.1,-0.9656689,ENSG00000157869.15,RAB28,-0.6187899,ENSG00000185973.11,TMLHE,-0.741829204,ENSG00000000005.6,TNMD,-1.6637545,ENSG00000010319.7,SEMA3G,-0.7642634
,,,,,,ENSG00000273820.2,USP27X,-0.9978877,ENSG00000156345.17,CDK20,-1.2594963,ENSG00000155229.21,MMS19,-1.535051024,ENSG00000136205.17,TNS3,-1.4856947,ENSG00000155229.21,MMS19,-0.8718935
,,,,,,ENSG00000184014.8,DENND5A,-1.7790247,ENSG00000105427.10,CNFN,-2.3222284,ENSG00000157214.14,STEAP2,-1.283526143,ENSG00000273294.1,C1QTNF3-AMACR,-7.1464625,ENSG00000197959.14,DNM3,-0.9608222
,,,,,,ENSG00000169174.11,PCSK9,-1.0326256,ENSG00000103064.15,SLC7A6,-1.2541169,ENSG00000163507.14,CIP2A,-2.500140737,ENSG00000132821.12,VSTM2L,-0.8951486,ENSG00000138336.9,TET1,-0.9216615
,,,,,,ENSG00000103264.18,FBXO31,-0.6337587,ENSG00000164048.14,ZNF589,-0.7725187,ENSG00000103064.15,SLC7A6,-1.199616566,ENSG00000184014.8,DENND5A,-1.329039,ENSG00000140945.17,CDH13,-0.9523184
,,,,,,ENSG00000106772.18,PRUNE2,-0.9767798,ENSG00000154608.14,CEP170P1,-2.7097457,ENSG00000103740.10,ACSBG1,-1.053401355,ENSG00000155229.21,MMS19,-0.9583797,ENSG00000187672.13,ERC2,-1.2479649
,,,,,,ENSG00000197959.14,DNM3,-1.4755563,ENSG00000182870.13,GALNT9,-1.5624453,ENSG00000232859.9,LYRM9,-1.159008524,ENSG00000272070.1,AC005618.1,-0.9921073,ENSG00000071794.16,HLTF,-1.3759883
,,,,,,ENSG00000183765.22,CHEK2,-0.7654935,ENSG00000064933.18,PMS1,-1.7134473,ENSG00000270647.6,TAF15,-0.669856518,ENSG00000250132.6,AC004803.1,-0.6969753,ENSG00000132821.12,VSTM2L,-0.7763876
,,,,,,ENSG00000138641.18,HERC3,-0.8727585,ENSG00000136205.17,TNS3,-2.2770215,ENSG00000071794.16,HLTF,-2.355972856,ENSG00000281091.3,AL117327.1,-1.1442799,ENSG00000064313.12,TAF2,-0.8920784
,,,,,,ENSG00000166750.10,SLFN5,-0.7775402,ENSG00000102802.10,MEDAG,-1.7936161,ENSG00000115415.20,STAT1,-0.952487347,ENSG00000104324.16,CPQ,-1.1042123,ENSG00000215472.10,RPL17-C18orf32,-1.2466059
,,,,,,ENSG00000159921.17,GNE,-0.6044764,ENSG00000103740.10,ACSBG1,-1.038881,ENSG00000166938.13,DIS3L,-0.904787558,ENSG00000127419.17,TMEM175,-0.7416128,ENSG00000115827.14,DCAF17,-0.6760748
,,,,,,ENSG00000189221.9,MAOA,-0.9334771,ENSG00000088930.8,XRN2,-3.2869849,ENSG00000110881.12,ASIC1,-1.666113227,ENSG00000135480.16,KRT7,-0.7311673,ENSG00000181234.9,TMEM132C,-1.6686611
,,,,,,ENSG00000110328.6,GALNT18,-0.7806055,ENSG00000159208.16,CIART,-1.1925729,ENSG00000165475.15,CRYL1,-2.194757413,ENSG00000137078.9,SIT1,-0.5879706,ENSG00000075388.4,FGF4,-1.1211499
,,,,,,ENSG00000151726.14,ACSL1,-0.5854976,ENSG00000242259.8,C22orf39,-0.6152168,ENSG00000174607.11,UGT8,-0.729996091,ENSG00000134775.15,FHOD3,-2.0641966,ENSG00000279148.1,AC126474.1,-1.265069
,,,,,,ENSG00000153317.15,ASAP1,-1.0622488,ENSG00000038210.14,PI4K2B,-0.816557,ENSG00000145996.11,CDKAL1,-1.041287119,ENSG00000187902.11,SHISA7,-0.8614126,ENSG00000102802.10,MEDAG,-0.9250433
,,,,,,ENSG00000132821.12,VSTM2L,-1.1723689,ENSG00000069424.15,KCNAB2,-0.6882065,ENSG00000197535.14,MYO5A,-0.950933987,ENSG00000184524.6,CEND1,-0.7550685,ENSG00000149196.16,HIKESHI,-0.5958741
,,,,,,ENSG00000071794.16,HLTF,-2.0113883,ENSG00000113319.13,RASGRF2,-1.1636509,ENSG00000179163.11,FUCA1,-0.879206202,ENSG00000175161.13,CADM2,-0.6596754,ENSG00000166664.14,CHRFAM7A,-0.764122
,,,,,,ENSG00000154556.18,SORBS2,-0.880136,ENSG00000071794.16,HLTF,-2.3055123,ENSG00000280780.2,JAKMIP2-AS1,-0.68177104,ENSG00000143702.16,CEP170,-0.7421358,ENSG00000160207.9,HSF2BP,-1.0383581
,,,,,,ENSG00000166685.12,COG1,-0.6831067,ENSG00000145996.11,CDKAL1,-1.0735725,ENSG00000088930.8,XRN2,-2.9951478,ENSG00000071794.16,HLTF,-1.4297541,ENSG00000118513.19,MYB,-0.8924195
,,,,,,ENSG00000151466.12,SCLT1,-1.401131,ENSG00000138363.15,ATIC,-1.0229153,ENSG00000197959.14,DNM3,-1.587608649,ENSG00000153317.15,ASAP1,-0.7507023,ENSG00000133101.10,CCNA1,-0.6346876
,,,,,,ENSG00000166736.11,HTR3A,-1.3569665,ENSG00000162542.13,TMCO4,-0.7572547,ENSG00000101224.17,CDC25B,-0.699912208,ENSG00000010319.7,SEMA3G,-0.7402502,ENSG00000005436.14,GCFC2,-1.2517197
,,,,,,ENSG00000053524.12,MCF2L2,-0.6473552,ENSG00000157214.14,STEAP2,-1.1867158,ENSG00000281091.3,AL117327.1,-1.777917081,ENSG00000074416.14,MGLL,-1.2480969,ENSG00000074416.14,MGLL,-1.11383
,,,,,,ENSG00000102802.10,MEDAG,-1.4156467,ENSG00000165475.15,CRYL1,-2.116375,ENSG00000136205.17,TNS3,-2.028812875,ENSG00000169174.11,PCSK9,-0.6764569,ENSG00000103227.19,LMF1,-0.5869418
,,,,,,ENSG00000112146.16,FBXO9,-0.7047792,ENSG00000108840.15,HDAC5,-1.1012595,ENSG00000169174.11,PCSK9,-1.06690649,ENSG00000108950.12,FAM20A,-1.1738646,ENSG00000169282.17,KCNAB1,-0.6645675
,,,,,,ENSG00000112902.12,SEMA5A,-0.7176432,ENSG00000140993.11,TIGD7,-0.730336,ENSG00000273820.2,USP27X,-1.022948042,ENSG00000173114.13,LRRN3,-0.8035629,,,
,,,,,,ENSG00000112685.14,EXOC2,-0.6761993,ENSG00000132821.12,VSTM2L,-1.3193969,ENSG00000129244.9,ATP1B2,-0.766966055,ENSG00000145808.10,ADAMTS19,-2.0414248,,,
,,,,,,ENSG00000140403.12,DNAJA4,-0.9376153,ENSG00000169174.11,PCSK9,-1.0871817,ENSG00000138336.9,TET1,-1.409756941,ENSG00000105427.10,CNFN,-1.0835704,,,
,,,,,,ENSG00000162959.13,MEMO1,-0.8532348,ENSG00000120949.15,TNFRSF8,-0.5950022,ENSG00000105427.10,CNFN,-1.801192835,ENSG00000268592.3,AL355312.3,-3.8295416,,,
,,,,,,ENSG00000117245.12,KIF17,-0.7127411,ENSG00000169760.17,NLGN1,-0.7524139,ENSG00000053524.12,MCF2L2,-0.723175865,ENSG00000118513.19,MYB,-0.923378,,,
,,,,,,ENSG00000166938.13,DIS3L,-0.6982805,ENSG00000105202.9,FBL,-0.9271181,ENSG00000048052.21,HDAC9,-0.710372013,ENSG00000187672.13,ERC2,-1.1599622,,,
,,,,,,ENSG00000089123.16,TASP1,-0.6361298,ENSG00000162614.18,NEXN,-1.0590654,ENSG00000182870.13,GALNT9,-1.262845518,ENSG00000197959.14,DNM3,-0.8693129,,,
,,,,,,ENSG00000100344.11,PNPLA3,-0.7554978,ENSG00000134461.16,ANKRD16,-0.6537571,ENSG00000112685.14,EXOC2,-0.738839325,ENSG00000119242.8,CCDC92,-1.1477769,,,
,,,,,,ENSG00000187902.11,SHISA7,-1.0203971,ENSG00000103145.11,HCFC1R1,-1.2377583,ENSG00000132821.12,VSTM2L,-1.233076154,ENSG00000257767.3,AC002996.1,-1.4968303,,,
,,,,,,ENSG00000187672.13,ERC2,-1.5988019,ENSG00000068831.19,RASGRP2,-0.9421805,ENSG00000281406.2,BLACAT1,-0.789103548,ENSG00000157303.11,SUSD3,-0.721114,,,
,,,,,,ENSG00000103335.22,PIEZO1,-0.6312548,ENSG00000144354.14,CDCA7,-0.939815,ENSG00000176399.4,DMRTA1,-0.685025464,ENSG00000153446.15,C16orf89,-0.5940283,,,
,,,,,,ENSG00000106236.4,NPTX2,-0.7399481,ENSG00000103047.8,TANGO6,-0.6027825,ENSG00000178537.10,SLC25A20,-0.94843821,ENSG00000140403.12,DNAJA4,-0.5961892,,,
,,,,,,ENSG00000157927.17,RADIL,-0.6841833,ENSG00000010610.10,CD4,-1.0470523,ENSG00000125354.23,SEPTIN6,-0.783516379,ENSG00000197043.14,ANXA6,-1.0631322,,,
,,,,,,ENSG00000162694.14,EXTL2,-0.7004087,ENSG00000164252.13,AGGF1,-1.4561579,ENSG00000156052.11,GNAQ,-0.914704201,,,,,,
