UniqueID,Gene.Name,Index1_iPSC.1755497.3xBatch3_log2FoldChange,UniqueID.1,Gene.Name.1,Index2_iPSC.2006152.3xBatch3_log2FoldChange,UniqueID.2,Gene.Name.2,Index3_iPSC.2189972.3xBatch3_log2FoldChange,UniqueID.3,Gene.Name.3,Index4_iPSC.2194943.3xBatch3_log2FoldChange,UniqueID.4,Gene.Name.4,Index5_iPSC.2195127.3xBatch3_log2FoldChange,UniqueID.5,Gene.Name.5,Index6_iPSC.2195327.3xBatch3_log2FoldChange,UniqueID,Gene.Name,Index7_iPSC.2197294.3xBatch3_log2FoldChange
,,,ENSG00000188153.14,COL4A5,-0.8439293,ENSG00000180957.18,PITPNB,-1.130297044,ENSG00000188674.11,C2orf80,-0.8118979,ENSG00000144712.12,CAND2,-0.6071435,ENSG00000145808.10,ADAMTS19,-1.6070082,,,
,,,ENSG00000258057.6,BCDIN3D-AS1,-1.4025034,ENSG00000164329.13,TENT2,-1.073923346,ENSG00000185052.12,SLC24A3,-0.7823987,ENSG00000164329.13,TENT2,-0.88456,ENSG00000180957.18,PITPNB,-0.9221054,,,
,,,ENSG00000166394.15,CYB5R2,-0.5972136,ENSG00000071794.16,HLTF,-0.716515,,,,ENSG00000180957.18,PITPNB,-0.8865627,ENSG00000166394.15,CYB5R2,-0.6528949,,,
,,,ENSG00000163507.14,CIP2A,-0.6670455,ENSG00000054983.17,GALC,-0.76216157,,,,ENSG00000163507.14,CIP2A,-0.6606033,ENSG00000163507.14,CIP2A,-0.7366088,,,
,,,ENSG00000284610.1,AC107918.4,-0.8891779,ENSG00000189221.9,MAOA,-0.919515485,,,,ENSG00000139734.19,DIAPH3,-0.6289791,ENSG00000139734.19,DIAPH3,-0.6918977,,,
,,,ENSG00000180957.18,PITPNB,-0.7341323,ENSG00000145808.10,ADAMTS19,-1.698089348,,,,ENSG00000165810.17,BTNL9,-1.5306927,ENSG00000138336.9,TET1,-0.6187951,,,
,,,ENSG00000139734.19,DIAPH3,-0.5958767,ENSG00000285447.1,ZNF883,-20.00925688,,,,ENSG00000183032.12,SLC25A21,-0.8508824,ENSG00000123901.9,GPR83,-0.6113323,,,
,,,,,,ENSG00000139734.19,DIAPH3,-0.773160336,,,,,,,ENSG00000185052.12,SLC24A3,-0.7937751,,,
,,,,,,ENSG00000166394.15,CYB5R2,-0.679185936,,,,,,,ENSG00000248751.6,AC004997.1,-6.3008779,,,
,,,,,,ENSG00000163507.14,CIP2A,-0.715596436,,,,,,,ENSG00000150672.17,DLG2,-0.7531718,,,
,,,,,,ENSG00000138336.9,TET1,-0.621539933,,,,,,,,,,,,
,,,,,,ENSG00000188153.14,COL4A5,-0.714267654,,,,,,,,,,,,
,,,,,,ENSG00000136114.17,THSD1,-1.337771278,,,,,,,,,,,,
,,,,,,ENSG00000156298.12,TSPAN7,-0.724647416,,,,,,,,,,,,
,,,,,,ENSG00000185052.12,SLC24A3,-0.764768234,,,,,,,,,,,,
,,,,,,ENSG00000239911.2,PRKAG2-AS1,-2.365038172,,,,,,,,,,,,
,,,,,,ENSG00000183032.12,SLC25A21,-0.817124046,,,,,,,,,,,,
