	"BIO1755497.NGN2.12nM"	"BIO2006152.NGN2.45nM"	"BIO2059811.NGN2.261nM"	"BIO2135644.NGN2.300nM"	"BIO1755497.iPSC.40nM"	"BIO2006152.iPSC.45nM"	"BIO2059811.iPSC.261nM"	"BIO2135644.iPSC.300nM"
"CHN2"	0	0	1	1	0	0	0	0
"CHORDC1"	0	0	1	1	0	0	0	0
"CLK4"	0	0	1	1	0	0	0	0
"COL4A5"	0	0	0	0	0	0	1	1
"COPS7B"	0	0	1	1	0	0	0	0
"CPLX2"	0	0	1	1	0	0	0	0
"CTNS"	0	0	0	0	0	0	1	1
"CTTNBP2"	0	0	1	1	0	0	0	0
"CYB5B"	0	0	1	1	0	0	0	0
"DCAF17"	0	0	1	1	0	0	0	0
"DENND1B"	0	0	1	1	0	0	0	0
"DNAJC27"	0	0	1	1	0	0	0	0
"DOCK3"	0	0	1	1	0	0	0	0
"DPH1"	0	0	1	1	0	0	0	0
"DPY30"	0	0	1	1	0	0	0	0
"EIF2D"	0	0	1	1	0	0	0	0
"ELMO2"	0	0	1	1	0	0	0	0
"ENOX1"	0	0	1	1	0	0	0	0
"FAM124A"	0	0	1	1	0	0	0	0
"FAM174C"	0	0	1	1	0	0	0	0
"FES"	0	0	0	0	0	0	1	1
"FGFR1"	0	0	0	0	1	0	0	1
"FNIP2"	0	0	1	1	0	0	0	0
"FUS"	0	1	0	1	0	0	0	0
"GABRB2"	0	0	1	1	0	0	0	0
"GLRA3"	0	0	1	1	0	0	0	0
"GPHN"	0	0	1	1	0	0	0	0
"GRIA1"	0	0	1	1	0	0	0	0
"HARS1"	0	0	0	0	1	0	0	1
"HAUS3"	0	0	1	1	0	0	0	0
"HIKESHI"	0	0	1	1	0	0	0	0
"HMGN1"	0	0	1	1	0	0	0	0
"HSD17B12"	0	0	1	1	0	0	0	0
"IFT57"	0	0	1	1	0	0	0	0
"IVD"	0	0	1	1	0	0	0	0
"KIF3A"	0	0	0	0	0	0	1	1
"LARS2"	0	0	1	1	0	0	0	0
"LINC01011"	1	0	0	1	0	0	0	0
"LINGO2"	0	0	1	1	0	0	0	0
"LMAN2L"	0	0	1	1	0	0	0	0
"LMBRD2"	0	0	1	1	0	0	0	0
"LUC7L3"	0	0	1	1	0	0	0	0
"MED13L"	0	0	1	1	0	0	0	0
"MEMO1"	0	0	1	1	0	0	0	0
"MSL3"	0	0	1	1	0	0	0	0
"MTERF3"	0	0	1	1	0	0	0	0
"MUTYH"	1	0	0	1	0	0	0	0
"NIPA1"	0	0	0	0	0	0	1	1
"NLGN1"	0	0	1	1	0	0	0	0
"NUTM2A-AS1"	0	0	1	1	0	0	0	0
"PDIA5"	0	0	1	1	0	0	0	0
"PDXDC1"	0	0	0	0	0	0	1	1
"PIGN"	0	0	1	1	0	0	0	0
"PMS1"	0	0	1	1	0	0	0	0
"PPHLN1"	0	0	1	1	0	0	0	0
"PPP1R26"	0	0	0	0	0	0	1	1
"PRICKLE1"	0	0	1	1	0	0	0	0
"PRPF31"	0	0	0	0	0	0	1	1
"PRPF39"	0	0	1	1	0	0	0	0
"PTPRT"	0	0	1	1	0	0	0	0
"RBCK1"	0	0	1	1	0	0	0	0
"RPS10"	0	0	0	0	0	0	1	1
"RUNDC3B"	0	0	1	1	0	0	0	0
"SCLT1"	0	0	1	1	0	0	0	0
"SCO1"	0	0	1	1	0	0	0	0
"SEC22A"	0	0	1	1	0	0	0	0
"SLC24A3"	0	0	1	1	0	0	0	0
"SNAP23"	0	0	1	1	0	0	0	0
"SORCS1"	0	0	1	1	0	0	0	0
"SOS2"	0	0	1	1	0	0	0	0
"SPRYD7"	0	0	1	1	0	0	0	0
"SREK1"	0	0	1	1	0	0	0	0
"STRN4"	0	0	1	1	0	0	0	0
"STXBP6"	0	0	0	0	0	0	1	1
"SUPT20H"	0	0	1	1	0	0	0	0
"TAF5L"	0	0	1	1	0	0	0	0
"TARBP1"	0	0	0	0	0	0	1	1
"TASP1"	0	0	1	1	0	0	0	0
"TCF4"	0	0	0	0	0	0	1	1
"THSD7B"	0	0	1	1	0	0	0	0
"TNPO3"	0	0	1	1	0	0	0	0
"TP53INP1"	0	0	1	1	0	0	0	0
"UBAP2L"	0	0	1	1	0	0	0	0
"USP9Y"	0	0	1	1	0	0	0	0
"VAV2"	0	0	1	1	0	0	0	0
"VSTM2L"	0	0	1	1	0	0	0	0
"WDR91"	0	0	1	1	0	0	0	0
"WNK1"	0	1	0	1	0	0	0	0
"WSB1"	0	0	1	1	0	0	0	0
"ZFYVE26"	0	0	0	0	0	0	1	1
"ZMYM2"	0	0	0	1	0	0	0	1
"ZNF433"	0	0	1	1	0	0	0	0
"ZNF66"	0	0	0	0	0	0	1	1
"ZNF804A"	0	0	1	1	0	0	0	0
"AC022433.1"	0	0	0	1	0	0	0	0
"AC068547.1"	0	0	0	1	0	0	0	0
"AC104452.1"	0	0	0	1	0	0	0	0
"ANP32A"	0	0	0	1	0	0	0	0
"ANXA11"	0	0	0	0	0	0	0	1
"CCT6B"	0	0	0	1	0	0	0	0
"CIPC"	0	0	0	1	0	0	0	0
"CRYL1"	0	0	0	1	0	0	0	0
"CRYM"	0	0	0	0	0	0	0	1
"DECR2"	0	0	0	1	0	0	0	0
"EML1"	0	0	0	0	0	0	0	1
"EPM2A"	0	0	0	1	0	0	0	0
"ERCC6L2"	0	0	0	1	0	0	0	0
"ERICH1"	0	0	0	1	0	0	0	0
"ERVK13-1"	0	0	0	1	0	0	0	0
"EWSR1"	0	0	0	1	0	0	0	0
"FCHO1"	0	0	0	1	0	0	0	0
"FHOD3"	0	0	0	1	0	0	0	0
"GARNL3"	0	0	0	1	0	0	0	0
"GNAQ"	0	0	0	1	0	0	0	0
"INVS"	0	0	0	1	0	0	0	0
"KCNC1"	0	0	0	1	0	0	0	0
"KIAA0895L"	0	0	0	1	0	0	0	0
"LINC00963"	0	0	0	1	0	0	0	0
"LINC01484"	0	0	0	0	0	0	0	1
"MARCHF8"	0	0	0	1	0	0	0	0
"MRPL39"	0	0	0	1	0	0	0	0
"MTHFSD"	0	0	0	1	0	0	0	0
"MYT1"	0	0	0	1	0	0	0	0
"NAA40"	0	0	0	0	0	0	0	1
"NEK11"	0	0	0	1	0	0	0	0
"NR6A1"	0	0	0	1	0	0	0	0
"PBLD"	0	0	0	1	0	0	0	0
"PIGT"	0	0	0	1	0	0	0	0
"PLPP5"	0	0	0	0	0	0	0	1
"PRKACB"	0	0	0	1	0	0	0	0
"REPS1"	0	0	0	1	0	0	0	0
"SF3B3"	0	0	0	1	0	0	0	0
"SH3YL1"	0	0	0	1	0	0	0	0
"SLC41A3"	0	0	0	1	0	0	0	0
"SSBP1"	0	0	0	1	0	0	0	0
"STOX2"	0	0	0	1	0	0	0	0
"TMEM198B"	0	0	0	0	0	0	0	1
"TTC23"	0	0	0	0	0	0	0	1
"TTTY14"	0	0	0	0	0	0	0	1
"ZNF264"	0	0	0	0	0	0	0	1
"ZNF730"	0	0	0	0	0	0	0	1
