,Branaplam_01x,Branaplam_03x,Branaplam_10x,Risdiplam_01x,Risdiplam_03x,Risdiplam_10x
EMSY,0,0,1,0,0,0
ENAH,1,1,1,0,0,1
EP300,0,1,0,0,0,0
EPN1,0,0,0,0,0,1
ERGIC3,1,1,1,0,0,0
EVC,1,1,1,0,0,1
EXOC3,0,1,1,0,0,0
EXOC6B,1,1,1,0,0,1
EXTL2,0,0,0,0,0,1
FAAP20,1,1,1,0,0,0
FAM162A,0,0,0,0,0,1
FAM174A,0,1,1,0,1,1
FAM198B,0,1,1,0,0,1
FAM3A,0,1,1,0,0,0
FBN2,0,1,1,0,0,1
FBXO31,0,1,1,0,0,1
FCHO2,1,1,1,0,0,1
FOXM1,0,1,1,0,1,1
GAPVD1,0,0,1,0,0,1
GGA1,0,1,0,0,0,0
GLRB,0,1,1,0,0,0
GNG12,0,1,0,0,0,0
GOLGB1,0,1,0,0,0,0
GSDMB,0,1,0,0,0,0
HDAC10,0,0,0,0,0,1
HTT,0,0,1,0,0,0
IL17RB,0,1,0,0,0,0
IL6ST,0,1,1,0,0,0
IVD,0,1,0,0,0,0
KDM6A,0,1,1,0,0,0
KDSR,0,1,0,0,0,0
KIAA1715,1,1,0,0,0,0
KIDINS220,0,1,1,0,0,0
L3MBTL2,0,1,1,0,0,0
LARP7,1,1,1,0,1,1
LCMT1,0,1,0,0,0,1
LRRC37A3,0,0,0,1,0,0
LRRC42,1,1,1,0,0,1
LYRM1,0,1,1,0,0,0
MADD,1,1,1,0,0,0
MAN1A2,0,1,0,0,0,1
MARCH8,0,1,1,0,0,0
MEMO1,0,1,1,0,0,0
MFN2,0,1,1,0,1,1
MLLT10,1,1,1,0,0,0
MMS19,0,1,1,0,0,1
MRPL39,0,1,1,0,0,0
MYCBP2,1,1,1,0,0,0
MYPN,0,0,0,0,1,0
MZT1,0,1,0,0,0,0
NECTIN2,0,0,1,0,0,0
NELFA,0,1,1,0,0,0
NGF,0,1,0,0,0,1
NPEPPS,0,0,0,0,0,1
NREP,0,1,0,0,0,0
NT5C2,0,0,0,0,0,1
NUP58,0,1,1,0,0,0
PAPD4,1,1,1,0,1,1
PDLIM5,0,1,1,0,0,0
PDXDC2P,1,1,1,1,1,1
PEX16,0,0,1,0,0,0
PI4K2B,0,0,1,0,0,0
PIKFYVE,0,0,0,0,0,1
PNISR,1,1,1,0,0,0
POMT2,1,1,1,1,1,1
PPIP5K2,0,0,1,0,0,0
PPP2R2D,0,1,1,0,0,0
PRKCE,0,0,0,0,0,1
PRKDC,0,1,1,0,0,0
PRPF31,0,0,0,0,0,1
PSG4,0,1,1,0,0,0
PTPRS,1,1,0,0,0,0
RAB23,0,1,0,0,0,0
RAB2B,0,0,0,0,0,1
RAF1,0,1,1,0,0,1
RAP1A,0,1,1,0,0,1
RAPGEF1,1,1,1,0,1,1
RARS,0,1,1,0,0,0
RCC1,0,1,1,0,0,0
RNF213,0,1,0,1,0,0
RP11-244H3.4,1,1,1,0,0,0
RP11-419C5.1,1,1,1,1,1,1
RP11-542K23.9,1,1,1,0,0,0
RPRD1A,0,0,1,0,0,1
RTN3,0,1,0,0,0,0
SCO1,0,1,1,0,0,0
SENP6,1,1,1,0,1,1
SETD5,1,1,1,0,0,0
SF3B3,1,1,1,0,0,0
SGCE,1,0,1,0,0,0
SGIP1,0,1,0,0,0,0
SH3YL1,1,1,1,0,0,0
SIDT2,0,1,1,0,0,0
SKP1,0,1,1,0,0,0
SLC16A7,0,1,1,0,0,0
SLC25A17,1,0,0,0,0,1
SLC25A36,0,1,1,0,0,0
SLC44A1,0,1,1,0,0,0
SMN2,1,1,1,1,1,1
SMTN,0,1,1,0,0,0
SNAP23,0,1,1,0,0,1
SNHG16,0,0,0,0,0,1
SPATA18,0,0,0,0,0,1
SPIDR,0,1,1,0,0,0
SPRYD7,0,1,0,0,0,0
SREK1,1,1,1,0,0,1
SRGAP1,0,0,0,0,0,1
STRADB,0,1,1,0,0,0
STRN3,1,1,1,0,1,1
STRN4,1,1,1,0,0,0
STXBP6,0,0,1,0,0,0
SUPT20H,0,1,1,0,0,0
SYNJ2,0,0,0,0,0,1
TAF2,1,1,1,0,0,0
TAF5L,0,0,1,0,0,0
TARBP1,0,0,1,0,0,0
TBCA,0,1,0,0,0,0
TCF4,0,1,1,0,0,1
TMEM214,0,1,1,0,0,1
TMEM50B,0,1,1,0,0,0
TNKS2,0,1,1,0,0,0
TNRC6A,0,1,1,0,0,1
TNS3,0,0,1,0,0,1
TRAPPC12,0,0,1,0,0,0
TRIM65,1,1,1,0,1,1
UBAP2L,0,1,1,0,1,1
ULK1,0,0,0,0,0,1
URGCP,0,1,1,0,0,0
USP9Y,0,1,1,0,0,0
VAMP4,0,1,1,0,0,0
VAV2,0,0,0,0,1,1
VDAC2,0,1,1,0,0,0
VPS29,1,1,1,0,1,1
WDR27,1,1,1,0,0,0
WDR53,0,0,0,1,0,0
WNK1,1,1,1,0,0,0
WSB1,0,0,0,0,0,1
XRN2,1,1,1,0,0,1
YPEL5,0,0,0,0,0,1
ZMYM6,1,1,1,0,0,0
ZMYND8,0,1,1,0,0,0
ZNF618,0,1,1,0,0,0
