Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
iPSC_4748_10x_1,iPSC,iPSC_2174748,iPSC_2174748_10x,iPSC_2174748_10x_1,iPSC_2174748_10x_1,Homo sapiens
iPSC_4748_10x_2,iPSC,iPSC_2174748,iPSC_2174748_10x,iPSC_2174748_10x_2,iPSC_2174748_10x_2,Homo sapiens
iPSC_4748_10x_3,iPSC,iPSC_2174748,iPSC_2174748_10x,iPSC_2174748_10x_3,iPSC_2174748_10x_3,Homo sapiens
iPSC_4748_3x_1,iPSC,iPSC_2174748,iPSC_2174748_3x,iPSC_2174748_3x_1,iPSC_2174748_3x_1,Homo sapiens
iPSC_4748_3x_2,iPSC,iPSC_2174748,iPSC_2174748_3x,iPSC_2174748_3x_2,iPSC_2174748_3x_2,Homo sapiens
iPSC_4748_3x_3,iPSC,iPSC_2174748,iPSC_2174748_3x,iPSC_2174748_3x_3,iPSC_2174748_3x_3,Homo sapiens
iPSC_5420_10x_1,iPSC,iPSC_2175420,iPSC_2175420_10x,iPSC_2175420_10x_1,iPSC_2175420_10x_1,Homo sapiens
iPSC_5420_10x_2,iPSC,iPSC_2175420,iPSC_2175420_10x,iPSC_2175420_10x_2,iPSC_2175420_10x_2,Homo sapiens
iPSC_5420_10x_3,iPSC,iPSC_2175420,iPSC_2175420_10x,iPSC_2175420_10x_3,iPSC_2175420_10x_3,Homo sapiens
iPSC_5420_3x_1,iPSC,iPSC_2175420,iPSC_2175420_3x,iPSC_2175420_3x_1,iPSC_2175420_3x_1,Homo sapiens
iPSC_5420_3x_2,iPSC,iPSC_2175420,iPSC_2175420_3x,iPSC_2175420_3x_2,iPSC_2175420_3x_2,Homo sapiens
iPSC_5420_3x_3,iPSC,iPSC_2175420,iPSC_2175420_3x,iPSC_2175420_3x_3,iPSC_2175420_3x_3,Homo sapiens
iPSC_6152_10x_1,iPSC,iPSC_2006152,iPSC_2006152_10x,iPSC_2006152_10x_1,iPSC_2006152_10x_1,Homo sapiens
iPSC_6152_10x_2,iPSC,iPSC_2006152,iPSC_2006152_10x,iPSC_2006152_10x_2,iPSC_2006152_10x_2,Homo sapiens
iPSC_6152_10x_3,iPSC,iPSC_2006152,iPSC_2006152_10x,iPSC_2006152_10x_3,iPSC_2006152_10x_3,Homo sapiens
iPSC_6152_3x_1,iPSC,iPSC_2006152,iPSC_2006152_3x,iPSC_2006152_3x_1,iPSC_2006152_3x_1,Homo sapiens
iPSC_6152_3x_2,iPSC,iPSC_2006152,iPSC_2006152_3x,iPSC_2006152_3x_2,iPSC_2006152_3x_2,Homo sapiens
iPSC_6152_3x_3,iPSC,iPSC_2006152,iPSC_2006152_3x,iPSC_2006152_3x_3,iPSC_2006152_3x_3,Homo sapiens
iPSC_6527_10x_1,iPSC,iPSC_2186527,iPSC_2186527_10x,iPSC_2186527_10x_1,iPSC_2186527_10x_1,Homo sapiens
iPSC_6527_10x_2,iPSC,iPSC_2186527,iPSC_2186527_10x,iPSC_2186527_10x_2,iPSC_2186527_10x_2,Homo sapiens
iPSC_6527_10x_3,iPSC,iPSC_2186527,iPSC_2186527_10x,iPSC_2186527_10x_3,iPSC_2186527_10x_3,Homo sapiens
iPSC_6527_3x_1,iPSC,iPSC_2186527,iPSC_2186527_3x,iPSC_2186527_3x_1,iPSC_2186527_3x_1,Homo sapiens
iPSC_6527_3x_2,iPSC,iPSC_2186527,iPSC_2186527_3x,iPSC_2186527_3x_2,iPSC_2186527_3x_2,Homo sapiens
iPSC_6527_3x_3,iPSC,iPSC_2186527,iPSC_2186527_3x,iPSC_2186527_3x_3,iPSC_2186527_3x_3,Homo sapiens
iPSC_6866_10x_1,iPSC,iPSC_2186866,iPSC_2186866_10x,iPSC_2186866_10x_1,iPSC_2186866_10x_1,Homo sapiens
iPSC_6866_10x_2,iPSC,iPSC_2186866,iPSC_2186866_10x,iPSC_2186866_10x_2,iPSC_2186866_10x_2,Homo sapiens
iPSC_6866_10x_3,iPSC,iPSC_2186866,iPSC_2186866_10x,iPSC_2186866_10x_3,iPSC_2186866_10x_3,Homo sapiens
iPSC_6866_3x_1,iPSC,iPSC_2186866,iPSC_2186866_3x,iPSC_2186866_3x_1,iPSC_2186866_3x_1,Homo sapiens
iPSC_6866_3x_2,iPSC,iPSC_2186866,iPSC_2186866_3x,iPSC_2186866_3x_2,iPSC_2186866_3x_2,Homo sapiens
iPSC_6866_3x_3,iPSC,iPSC_2186866,iPSC_2186866_3x,iPSC_2186866_3x_3,iPSC_2186866_3x_3,Homo sapiens
iPSC_6960_10x_1,iPSC,iPSC_2186960,iPSC_2186960_10x,iPSC_2186960_10x_1,iPSC_2186960_10x_1,Homo sapiens
iPSC_6960_10x_2,iPSC,iPSC_2186960,iPSC_2186960_10x,iPSC_2186960_10x_2,iPSC_2186960_10x_2,Homo sapiens
iPSC_6960_10x_3,iPSC,iPSC_2186960,iPSC_2186960_10x,iPSC_2186960_10x_3,iPSC_2186960_10x_3,Homo sapiens
iPSC_6960_3x_1,iPSC,iPSC_2186960,iPSC_2186960_3x,iPSC_2186960_3x_1,iPSC_2186960_3x_1,Homo sapiens
iPSC_6960_3x_2,iPSC,iPSC_2186960,iPSC_2186960_3x,iPSC_2186960_3x_2,iPSC_2186960_3x_2,Homo sapiens
iPSC_6960_3x_3,iPSC,iPSC_2186960,iPSC_2186960_3x,iPSC_2186960_3x_3,iPSC_2186960_3x_3,Homo sapiens
iPSC_9701_10x_1,iPSC,iPSC_2139701,iPSC_2139701_10x,iPSC_2139701_10x_1,iPSC_2139701_10x_1,Homo sapiens
iPSC_9701_10x_2,iPSC,iPSC_2139701,iPSC_2139701_10x,iPSC_2139701_10x_2,iPSC_2139701_10x_2,Homo sapiens
iPSC_9701_10x_3,iPSC,iPSC_2139701,iPSC_2139701_10x,iPSC_2139701_10x_3,iPSC_2139701_10x_3,Homo sapiens
iPSC_9701_3x_1,iPSC,iPSC_2139701,iPSC_2139701_3x,iPSC_2139701_3x_1,iPSC_2139701_3x_1,Homo sapiens
iPSC_9701_3x_2,iPSC,iPSC_2139701,iPSC_2139701_3x,iPSC_2139701_3x_2,iPSC_2139701_3x_2,Homo sapiens
iPSC_9701_3x_3,iPSC,iPSC_2139701,iPSC_2139701_3x,iPSC_2139701_3x_3,iPSC_2139701_3x_3,Homo sapiens
iPSC_DMSO_1A,iPSC,iPSC_DMSO,iPSC_DMSO,iPSC_DMSO_1A,iPSC_DMSO_1A,Homo sapiens
iPSC_DMSO_2A,iPSC,iPSC_DMSO,iPSC_DMSO,iPSC_DMSO_2A,iPSC_DMSO_2A,Homo sapiens
iPSC_DMSO_3A,iPSC,iPSC_DMSO,iPSC_DMSO,iPSC_DMSO_3A,iPSC_DMSO_3A,Homo sapiens
NGN2_4088_10x_1,NGN2,NGN2_2184088,NGN2_2184088_10x,NGN2_2184088_10x_1,NGN2_2184088_10x_1,Homo sapiens
NGN2_4088_10x_2,NGN2,NGN2_2184088,NGN2_2184088_10x,NGN2_2184088_10x_2,NGN2_2184088_10x_2,Homo sapiens
NGN2_4088_10x_3,NGN2,NGN2_2184088,NGN2_2184088_10x,NGN2_2184088_10x_3,NGN2_2184088_10x_3,Homo sapiens
NGN2_4088_3x_1,NGN2,NGN2_2184088,NGN2_2184088_3x,NGN2_2184088_3x_1,NGN2_2184088_3x_1,Homo sapiens
NGN2_4088_3x_2,NGN2,NGN2_2184088,NGN2_2184088_3x,NGN2_2184088_3x_2,NGN2_2184088_3x_2,Homo sapiens
NGN2_4088_3x_3,NGN2,NGN2_2184088,NGN2_2184088_3x,NGN2_2184088_3x_3,NGN2_2184088_3x_3,Homo sapiens
NGN2_4090_10x_1,NGN2,NGN2_2184090,NGN2_2184090_10x,NGN2_2184090_10x_1,NGN2_2184090_10x_1,Homo sapiens
NGN2_4090_10x_2,NGN2,NGN2_2184090,NGN2_2184090_10x,NGN2_2184090_10x_2,NGN2_2184090_10x_2,Homo sapiens
NGN2_4090_10x_3,NGN2,NGN2_2184090,NGN2_2184090_10x,NGN2_2184090_10x_3,NGN2_2184090_10x_3,Homo sapiens
NGN2_4090_3x_1,NGN2,NGN2_2184090,NGN2_2184090_3x,NGN2_2184090_3x_1,NGN2_2184090_3x_1,Homo sapiens
NGN2_4090_3x_2,NGN2,NGN2_2184090,NGN2_2184090_3x,NGN2_2184090_3x_2,NGN2_2184090_3x_2,Homo sapiens
NGN2_4090_3x_3,NGN2,NGN2_2184090,NGN2_2184090_3x,NGN2_2184090_3x_3,NGN2_2184090_3x_3,Homo sapiens
NGN2_4714_10x_1,NGN2,NGN2_2174714,NGN2_2174714_10x,NGN2_2174714_10x_1,NGN2_2174714_10x_1,Homo sapiens
NGN2_4714_10x_2,NGN2,NGN2_2174714,NGN2_2174714_10x,NGN2_2174714_10x_2,NGN2_2174714_10x_2,Homo sapiens
NGN2_4714_10x_3,NGN2,NGN2_2174714,NGN2_2174714_10x,NGN2_2174714_10x_3,NGN2_2174714_10x_3,Homo sapiens
NGN2_4714_3x_1,NGN2,NGN2_2174714,NGN2_2174714_3x,NGN2_2174714_3x_1,NGN2_2174714_3x_1,Homo sapiens
NGN2_4714_3x_2,NGN2,NGN2_2174714,NGN2_2174714_3x,NGN2_2174714_3x_2,NGN2_2174714_3x_2,Homo sapiens
NGN2_4714_3x_3,NGN2,NGN2_2174714,NGN2_2174714_3x,NGN2_2174714_3x_3,NGN2_2174714_3x_3,Homo sapiens
NGN2_4741_10x_1,NGN2,NGN2_2184741,NGN2_2184741_10x,NGN2_2184741_10x_1,NGN2_2184741_10x_1,Homo sapiens
NGN2_4741_10x_2,NGN2,NGN2_2184741,NGN2_2184741_10x,NGN2_2184741_10x_2,NGN2_2184741_10x_2,Homo sapiens
NGN2_4741_10x_3,NGN2,NGN2_2184741,NGN2_2184741_10x,NGN2_2184741_10x_3,NGN2_2184741_10x_3,Homo sapiens
NGN2_4741_3x_1,NGN2,NGN2_2184741,NGN2_2184741_3x,NGN2_2184741_3x_1,NGN2_2184741_3x_1,Homo sapiens
NGN2_4741_3x_2,NGN2,NGN2_2184741,NGN2_2184741_3x,NGN2_2184741_3x_2,NGN2_2184741_3x_2,Homo sapiens
NGN2_4741_3x_3,NGN2,NGN2_2184741,NGN2_2184741_3x,NGN2_2184741_3x_3,NGN2_2184741_3x_3,Homo sapiens
NGN2_4748_10x_1,NGN2,NGN2_2174748,NGN2_2174748_10x,NGN2_2174748_10x_1,NGN2_2174748_10x_1,Homo sapiens
NGN2_4748_10x_2,NGN2,NGN2_2174748,NGN2_2174748_10x,NGN2_2174748_10x_2,NGN2_2174748_10x_2,Homo sapiens
NGN2_4748_10x_3,NGN2,NGN2_2174748,NGN2_2174748_10x,NGN2_2174748_10x_3,NGN2_2174748_10x_3,Homo sapiens
NGN2_4748_3x_1,NGN2,NGN2_2174748,NGN2_2174748_3x,NGN2_2174748_3x_1,NGN2_2174748_3x_1,Homo sapiens
NGN2_4748_3x_2,NGN2,NGN2_2174748,NGN2_2174748_3x,NGN2_2174748_3x_2,NGN2_2174748_3x_2,Homo sapiens
NGN2_4748_3x_3,NGN2,NGN2_2174748,NGN2_2174748_3x,NGN2_2174748_3x_3,NGN2_2174748_3x_3,Homo sapiens
NGN2_5420_10x_1,NGN2,NGN2_2175420,NGN2_2175420_10x,NGN2_2175420_10x_1,NGN2_2175420_10x_1,Homo sapiens
NGN2_5420_10x_2,NGN2,NGN2_2175420,NGN2_2175420_10x,NGN2_2175420_10x_2,NGN2_2175420_10x_2,Homo sapiens
NGN2_5420_10x_3,NGN2,NGN2_2175420,NGN2_2175420_10x,NGN2_2175420_10x_3,NGN2_2175420_10x_3,Homo sapiens
NGN2_5420_3x_1,NGN2,NGN2_2175420,NGN2_2175420_3x,NGN2_2175420_3x_1,NGN2_2175420_3x_1,Homo sapiens
NGN2_5420_3x_2,NGN2,NGN2_2175420,NGN2_2175420_3x,NGN2_2175420_3x_2,NGN2_2175420_3x_2,Homo sapiens
NGN2_5420_3x_3,NGN2,NGN2_2175420,NGN2_2175420_3x,NGN2_2175420_3x_3,NGN2_2175420_3x_3,Homo sapiens
NGN2_6152_10x_1,NGN2,NGN2_2006152,NGN2_2006152_10x,NGN2_2006152_10x_1,NGN2_2006152_10x_1,Homo sapiens
NGN2_6152_10x_2,NGN2,NGN2_2006152,NGN2_2006152_10x,NGN2_2006152_10x_2,NGN2_2006152_10x_2,Homo sapiens
NGN2_6152_10x_3,NGN2,NGN2_2006152,NGN2_2006152_10x,NGN2_2006152_10x_3,NGN2_2006152_10x_3,Homo sapiens
NGN2_6152_3x_1,NGN2,NGN2_2006152,NGN2_2006152_3x,NGN2_2006152_3x_1,NGN2_2006152_3x_1,Homo sapiens
NGN2_6152_3x_2,NGN2,NGN2_2006152,NGN2_2006152_3x,NGN2_2006152_3x_2,NGN2_2006152_3x_2,Homo sapiens
NGN2_6152_3x_3,NGN2,NGN2_2006152,NGN2_2006152_3x,NGN2_2006152_3x_3,NGN2_2006152_3x_3,Homo sapiens
NGN2_6527_10x_1,NGN2,NGN2_2186527,NGN2_2186527_10x,NGN2_2186527_10x_1,NGN2_2186527_10x_1,Homo sapiens
NGN2_6527_10x_2,NGN2,NGN2_2186527,NGN2_2186527_10x,NGN2_2186527_10x_2,NGN2_2186527_10x_2,Homo sapiens
NGN2_6527_10x_3,NGN2,NGN2_2186527,NGN2_2186527_10x,NGN2_2186527_10x_3,NGN2_2186527_10x_3,Homo sapiens
NGN2_6527_3x_1,NGN2,NGN2_2186527,NGN2_2186527_3x,NGN2_2186527_3x_1,NGN2_2186527_3x_1,Homo sapiens
NGN2_6527_3x_2,NGN2,NGN2_2186527,NGN2_2186527_3x,NGN2_2186527_3x_2,NGN2_2186527_3x_2,Homo sapiens
NGN2_6527_3x_3,NGN2,NGN2_2186527,NGN2_2186527_3x,NGN2_2186527_3x_3,NGN2_2186527_3x_3,Homo sapiens
NGN2_6866_10x_1,NGN2,NGN2_2186866,NGN2_2186866_10x,NGN2_2186866_10x_1,NGN2_2186866_10x_1,Homo sapiens
NGN2_6866_10x_2,NGN2,NGN2_2186866,NGN2_2186866_10x,NGN2_2186866_10x_2,NGN2_2186866_10x_2,Homo sapiens
NGN2_6866_10x_3,NGN2,NGN2_2186866,NGN2_2186866_10x,NGN2_2186866_10x_3,NGN2_2186866_10x_3,Homo sapiens
NGN2_6866_3x_1,NGN2,NGN2_2186866,NGN2_2186866_3x,NGN2_2186866_3x_1,NGN2_2186866_3x_1,Homo sapiens
NGN2_6866_3x_2,NGN2,NGN2_2186866,NGN2_2186866_3x,NGN2_2186866_3x_2,NGN2_2186866_3x_2,Homo sapiens
NGN2_6866_3x_3,NGN2,NGN2_2186866,NGN2_2186866_3x,NGN2_2186866_3x_3,NGN2_2186866_3x_3,Homo sapiens
NGN2_6960_10x_1,NGN2,NGN2_2186960,NGN2_2186960_10x,NGN2_2186960_10x_1,NGN2_2186960_10x_1,Homo sapiens
NGN2_6960_10x_2,NGN2,NGN2_2186960,NGN2_2186960_10x,NGN2_2186960_10x_2,NGN2_2186960_10x_2,Homo sapiens
NGN2_6960_10x_3,NGN2,NGN2_2186960,NGN2_2186960_10x,NGN2_2186960_10x_3,NGN2_2186960_10x_3,Homo sapiens
NGN2_6960_3x_1,NGN2,NGN2_2186960,NGN2_2186960_3x,NGN2_2186960_3x_1,NGN2_2186960_3x_1,Homo sapiens
NGN2_6960_3x_2,NGN2,NGN2_2186960,NGN2_2186960_3x,NGN2_2186960_3x_2,NGN2_2186960_3x_2,Homo sapiens
NGN2_6960_3x_3,NGN2,NGN2_2186960,NGN2_2186960_3x,NGN2_2186960_3x_3,NGN2_2186960_3x_3,Homo sapiens
NGN2_9701_10x_1,NGN2,NGN2_2139701,NGN2_2139701_10x,NGN2_2139701_10x_1,NGN2_2139701_10x_1,Homo sapiens
NGN2_9701_10x_2,NGN2,NGN2_2139701,NGN2_2139701_10x,NGN2_2139701_10x_2,NGN2_2139701_10x_2,Homo sapiens
NGN2_9701_10x_3,NGN2,NGN2_2139701,NGN2_2139701_10x,NGN2_2139701_10x_3,NGN2_2139701_10x_3,Homo sapiens
NGN2_9701_3x_1,NGN2,NGN2_2139701,NGN2_2139701_3x,NGN2_2139701_3x_1,NGN2_2139701_3x_1,Homo sapiens
NGN2_9701_3x_2,NGN2,NGN2_2139701,NGN2_2139701_3x,NGN2_2139701_3x_2,NGN2_2139701_3x_2,Homo sapiens
NGN2_9701_3x_3,NGN2,NGN2_2139701,NGN2_2139701_3x,NGN2_2139701_3x_3,NGN2_2139701_3x_3,Homo sapiens
NGN2_DMSO_1A,NGN2,NGN2_DMSO,NGN2_DMSO,NGN2_DMSO_1A,NGN2_DMSO_1A,Homo sapiens
NGN2_DMSO_2A,NGN2,NGN2_DMSO,NGN2_DMSO,NGN2_DMSO_2A,NGN2_DMSO_2A,Homo sapiens
NGN2_DMSO_3A,NGN2,NGN2_DMSO,NGN2_DMSO,NGN2_DMSO_3A,NGN2_DMSO_3A,Homo sapiens
