,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH
KPNA5,-0.332540710351496
KYAT1,0.255891684992031
LINC02210,0.257022582069885
LNPK,-0.252948894622475
LRIG2,-0.252707077775001
LRRC27,-0.327554734736841
LRRC37A3,0.282685494419937
LTN1,-0.308834669725694
LUC7L,-0.272891306356481
MAN2A1,-0.264594046940337
MANBA,-0.293076073811625
MAP3K15,-0.308492032070659
MCOLN3,-0.296225171654797
MDH1B,-0.294597141695156
MELTF,0.291235956233964
METTL22,0.361666483425692
MINAR1,-0.385354137034268
MLLT10,-0.400555223152398
MOV10,-0.289944858790694
MRPS6,0.313361870026817
MSH5,0.36539200234447
MUTYH,0.285136623242774
NAA16,-0.408443294920362
NAA25,-0.310075498098496
NKTR,0.253073867858614
NOP14.AS1,0.376106925346518
NOP56,0.38723464108886
NT5M,-0.340831208836841
NUDT16L1,0.336282159764428
ODR4,-0.32010529388624
PANK2,-0.261514304168577
PANK4,0.39596455270146
PARG,-0.268886190684986
PATL1,-0.328429816617503
PCCA,-0.263821874311574
PDCD6IPP2,0.338305388276291
PDE5A,-0.371709729265252
PDE7A,0.350325779376945
PDSS1,0.267329854006401
PDXDC1,-0.441913993692139
PGAP3,-0.386575775727366
PHIP,-0.254497768373028
PIF1,0.428265684047384
PIP4P2,-0.330919415412144
PKD2,-0.255333239215135
PMS2P4,0.309362109418772
POGLUT1,-0.255689416281015
POLG,-0.358635439542946
POMT2,0.332711536816291
PPCS,0.337332743154313
PPP3CC,-0.373278365136066
PPP4R3A,-0.277693900536752
PPP4R4,-0.264492054061751
PRKRA,-0.369429235449955
PRPF38B,-0.307885127079122
PRPF39,-0.33178797726018
PSMA1,0.370257990664774
PTBP2,0.443960794796766
PTCH1,0.30319660136381
QRFPR,-0.390920375647744
RABGAP1L,-0.253382510867443
RABGGTB,-0.303034012330735
RAPGEF6,-0.257744703362417
RELCH,-0.305773672537015
RHBDD2,-0.394492683715497
RHBDD3,0.313979430020393
RIOK3,0.292934390786572
RMND5B,-0.251749349909844
RNF32,0.426384586519528
RRAGB,-0.547817638612226
RSRC2,-0.271509844036518
RTTN,0.250521349982264
S100PBP,-0.270102906874687
SCAND2P,0.300041919447003
SDHAP3,0.289421067585006
SELENOO,-0.294691848523641
SETDB2,-0.331772736274205
SFMBT2,0.356809901134391
SLC36A4,-0.315470271136993
SLC7A6OS,0.34538938340684
SLX1B,-0.271353177521582
SNRNP48,-0.364635456393382
SPATA5L1,-0.284194051841717
SPHK1,0.296898897097378
SPIN2B,0.259291648533365
SPRYD7,-0.270889749046485
SREK1,0.299496361023968
SRSF4,-0.325492217898223
ST7L,-0.320862507729222
STAG3L4,-0.303939653400091
STARD5,-0.284417589569271
SUZ12P1,-0.339541005283875
TACC2,0.387084002590301
TAF1,-0.259085873968008
TAF2,-0.372433460311998
TBC1D8B,-0.300238373426238
TBCK,-0.303053594774206
TENT2,-0.259758562894644
THUMPD2,-0.356768442371538
TIAM1,0.272352951264181
TMC7,0.313707186225422
TMEM237,-0.370817776527656
TMEM44,0.311030175029092
TPCN1,-0.272998725322436
TRMT11,-0.402443642915295
TRNAU1AP,-0.262333962402342
TSPYL2,0.41965083828858
TTC25,0.371550045099409
TTC38,-0.300742927129096
TTC39C,-0.302296668984707
TTC9C,-0.263074303875459
TUBG2,0.315219061098324
TUBGCP4,-0.373368752246223
TXNDC16,-0.26177424039605
UBA6.AS1,0.296244731247646
ULK4,0.317822380949883
VPS8,-0.263344729280133
WASHC4,-0.342934334132231
WDR17,0.362055465082053
WDR27,0.251385374790362
WHAMM,-0.336506380618097
XPA,-0.269257385406999
XRN2,-0.431350017447557
ZDHHC11,-0.343953858294849
ZDHHC17,-0.28246919227013
ZFP62,-0.279050263454657
ZHX3,-0.274481810671491
ZNF10,-0.304444154718861
ZNF324B,0.281926389517587
ZNF37BP,0.354138468186425
ZNF618,-0.3783519337743
ZNF707,-0.285217100852837
ZNF711,0.288021713137334
ZNF829,-0.316851487726264
ZRANB2,0.319048057725598
