Sample,Sample_Group,Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
24,8,iPSC-BIO-2194943-3x-4.Aligned.sortedByCoord.out.bam,iPSC,2194943,iPSC-2194943-3x,TPM.iPSC.BIO.2194943.3x.4,iPSC_2194943_3x_4,Homo sapiens
25,9,iPSC-BIO-2195127-10x-2.Aligned.sortedByCoord.out.bam,iPSC,2195127,iPSC-2195127-10x,TPM.iPSC.BIO.2195127.10x.2,iPSC_2195127_10x_2,Homo sapiens
26,9,iPSC-BIO-2195127-10x-3.Aligned.sortedByCoord.out.bam,iPSC,2195127,iPSC-2195127-10x,TPM.iPSC.BIO.2195127.10x.3,iPSC_2195127_10x_3,Homo sapiens
27,9,iPSC-BIO-2195127-10x-4.Aligned.sortedByCoord.out.bam,iPSC,2195127,iPSC-2195127-10x,TPM.iPSC.BIO.2195127.10x.4,iPSC_2195127_10x_4,Homo sapiens
28,10,iPSC-BIO-2195127-3x-2.Aligned.sortedByCoord.out.bam,iPSC,2195127,iPSC-2195127-3x,TPM.iPSC.BIO.2195127.3x.2,iPSC_2195127_3x_2,Homo sapiens
29,10,iPSC-BIO-2195127-3x-3.Aligned.sortedByCoord.out.bam,iPSC,2195127,iPSC-2195127-3x,TPM.iPSC.BIO.2195127.3x.3,iPSC_2195127_3x_3,Homo sapiens
30,10,iPSC-BIO-2195127-3x-4.Aligned.sortedByCoord.out.bam,iPSC,2195127,iPSC-2195127-3x,TPM.iPSC.BIO.2195127.3x.4,iPSC_2195127_3x_4,Homo sapiens
31,11,iPSC-BIO-2195327-10x-2.Aligned.sortedByCoord.out.bam,iPSC,2195327,iPSC-2195327-10x,TPM.iPSC.BIO.2195327.10x.2,iPSC_2195327_10x_2,Homo sapiens
32,11,iPSC-BIO-2195327-10x-3.Aligned.sortedByCoord.out.bam,iPSC,2195327,iPSC-2195327-10x,TPM.iPSC.BIO.2195327.10x.3,iPSC_2195327_10x_3,Homo sapiens
33,11,iPSC-BIO-2195327-10x-4.Aligned.sortedByCoord.out.bam,iPSC,2195327,iPSC-2195327-10x,TPM.iPSC.BIO.2195327.10x.4,iPSC_2195327_10x_4,Homo sapiens
34,12,iPSC-BIO-2195327-3x-2.Aligned.sortedByCoord.out.bam,iPSC,2195327,iPSC-2195327-3x,TPM.iPSC.BIO.2195327.3x.2,iPSC_2195327_3x_2,Homo sapiens
35,12,iPSC-BIO-2195327-3x-3.Aligned.sortedByCoord.out.bam,iPSC,2195327,iPSC-2195327-3x,TPM.iPSC.BIO.2195327.3x.3,iPSC_2195327_3x_3,Homo sapiens
36,12,iPSC-BIO-2195327-3x-4.Aligned.sortedByCoord.out.bam,iPSC,2195327,iPSC-2195327-3x,TPM.iPSC.BIO.2195327.3x.4,iPSC_2195327_3x_4,Homo sapiens
37,13,iPSC-BIO-2197294-10x-2.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-10x,TPM.iPSC.BIO.2197294.10x.2,iPSC_2197294_10x_2,Homo sapiens
38,13,iPSC-BIO-2197294-10x-3.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-10x,TPM.iPSC.BIO.2197294.10x.3,iPSC_2197294_10x_3,Homo sapiens
39,13,iPSC-BIO-2197294-10x-4.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-10x,TPM.iPSC.BIO.2197294.10x.4,iPSC_2197294_10x_4,Homo sapiens
40,14,iPSC-BIO-2197294-3x-2.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.2,iPSC_2197294_3x_2,Homo sapiens
41,14,iPSC-BIO-2197294-3x-3.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.3,iPSC_2197294_3x_3,Homo sapiens
42,14,iPSC-BIO-2197294-3x-4.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.4,iPSC_2197294_3x_4,Homo sapiens
43,15,iPSC-DMSO-2.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.2,iPSC_DMSO_2,Homo sapiens
44,15,iPSC-DMSO-3.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.3,iPSC_DMSO_3,Homo sapiens
45,15,iPSC-DMSO-4.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.4,iPSC_DMSO_4,Homo sapiens
46,16,NGN2-BIO-1755497-10x-1.Aligned.sortedByCoord.out.bam,NGN2,Branaplam,NGN2-1755497-10x,TPM.NGN2.BIO.1755497.10x.1,NGN2_1755497_10x_1,Homo sapiens
47,16,NGN2-BIO-1755497-10x-2.Aligned.sortedByCoord.out.bam,NGN2,Branaplam,NGN2-1755497-10x,TPM.NGN2.BIO.1755497.10x.2,NGN2_1755497_10x_2,Homo sapiens
48,16,NGN2-BIO-1755497-10x-3.Aligned.sortedByCoord.out.bam,NGN2,Branaplam,NGN2-1755497-10x,TPM.NGN2.BIO.1755497.10x.3,NGN2_1755497_10x_3,Homo sapiens
49,17,NGN2-BIO-1755497-3x-1.Aligned.sortedByCoord.out.bam,NGN2,Branaplam,NGN2-1755497-3x,TPM.NGN2.BIO.1755497.3x.1,NGN2_1755497_3x_1,Homo sapiens
50,17,NGN2-BIO-1755497-3x-2.Aligned.sortedByCoord.out.bam,NGN2,Branaplam,NGN2-1755497-3x,TPM.NGN2.BIO.1755497.3x.2,NGN2_1755497_3x_2,Homo sapiens
51,17,NGN2-BIO-1755497-3x-3.Aligned.sortedByCoord.out.bam,NGN2,Branaplam,NGN2-1755497-3x,TPM.NGN2.BIO.1755497.3x.3,NGN2_1755497_3x_3,Homo sapiens
52,18,NGN2-BIO-2006152-10x-1.Aligned.sortedByCoord.out.bam,NGN2,2006152,NGN2-2006152-10x,TPM.NGN2.BIO.2006152.10x.1,NGN2_2006152_10x_1,Homo sapiens
53,18,NGN2-BIO-2006152-10x-2.Aligned.sortedByCoord.out.bam,NGN2,2006152,NGN2-2006152-10x,TPM.NGN2.BIO.2006152.10x.2,NGN2_2006152_10x_2,Homo sapiens
54,18,NGN2-BIO-2006152-10x-4.Aligned.sortedByCoord.out.bam,NGN2,2006152,NGN2-2006152-10x,TPM.NGN2.BIO.2006152.10x.4,NGN2_2006152_10x_4,Homo sapiens
55,19,NGN2-BIO-2006152-3x-2.Aligned.sortedByCoord.out.bam,NGN2,2006152,NGN2-2006152-3x,TPM.NGN2.BIO.2006152.3x.2,NGN2_2006152_3x_2,Homo sapiens
56,19,NGN2-BIO-2006152-3x-3.Aligned.sortedByCoord.out.bam,NGN2,2006152,NGN2-2006152-3x,TPM.NGN2.BIO.2006152.3x.3,NGN2_2006152_3x_3,Homo sapiens
57,19,NGN2-BIO-2006152-3x-4.Aligned.sortedByCoord.out.bam,NGN2,2006152,NGN2-2006152-3x,TPM.NGN2.BIO.2006152.3x.4,NGN2_2006152_3x_4,Homo sapiens
58,20,NGN2-BIO-2189972-10x-1.Aligned.sortedByCoord.out.bam,NGN2,2189972,NGN2-2189972-10x,TPM.NGN2.BIO.2189972.10x.1,NGN2_2189972_10x_1,Homo sapiens
59,20,NGN2-BIO-2189972-10x-2.Aligned.sortedByCoord.out.bam,NGN2,2189972,NGN2-2189972-10x,TPM.NGN2.BIO.2189972.10x.2,NGN2_2189972_10x_2,Homo sapiens
60,20,NGN2-BIO-2189972-10x-3.Aligned.sortedByCoord.out.bam,NGN2,2189972,NGN2-2189972-10x,TPM.NGN2.BIO.2189972.10x.3,NGN2_2189972_10x_3,Homo sapiens
61,21,NGN2-BIO-2189972-3x-1.Aligned.sortedByCoord.out.bam,NGN2,2189972,NGN2-2189972-3x,TPM.NGN2.BIO.2189972.3x.1,NGN2_2189972_3x_1,Homo sapiens
62,21,NGN2-BIO-2189972-3x-2.Aligned.sortedByCoord.out.bam,NGN2,2189972,NGN2-2189972-3x,TPM.NGN2.BIO.2189972.3x.2,NGN2_2189972_3x_2,Homo sapiens
63,21,NGN2-BIO-2189972-3x-3.Aligned.sortedByCoord.out.bam,NGN2,2189972,NGN2-2189972-3x,TPM.NGN2.BIO.2189972.3x.3,NGN2_2189972_3x_3,Homo sapiens
64,22,NGN2-BIO-2194943-10x-1.Aligned.sortedByCoord.out.bam,NGN2,2194943,NGN2-2194943-10x,TPM.NGN2.BIO.2194943.10x.1,NGN2_2194943_10x_1,Homo sapiens
65,22,NGN2-BIO-2194943-10x-2.Aligned.sortedByCoord.out.bam,NGN2,2194943,NGN2-2194943-10x,TPM.NGN2.BIO.2194943.10x.2,NGN2_2194943_10x_2,Homo sapiens
66,22,NGN2-BIO-2194943-10x-3.Aligned.sortedByCoord.out.bam,NGN2,2194943,NGN2-2194943-10x,TPM.NGN2.BIO.2194943.10x.3,NGN2_2194943_10x_3,Homo sapiens
67,23,NGN2-BIO-2194943-3x-1.Aligned.sortedByCoord.out.bam,NGN2,2194943,NGN2-2194943-3x,TPM.NGN2.BIO.2194943.3x.1,NGN2_2194943_3x_1,Homo sapiens
68,23,NGN2-BIO-2194943-3x-2.Aligned.sortedByCoord.out.bam,NGN2,2194943,NGN2-2194943-3x,TPM.NGN2.BIO.2194943.3x.2,NGN2_2194943_3x_2,Homo sapiens
69,23,NGN2-BIO-2194943-3x-3.Aligned.sortedByCoord.out.bam,NGN2,2194943,NGN2-2194943-3x,TPM.NGN2.BIO.2194943.3x.3,NGN2_2194943_3x_3,Homo sapiens
70,24,NGN2-BIO-2195127-10x-1.Aligned.sortedByCoord.out.bam,NGN2,2195127,NGN2-2195127-10x,TPM.NGN2.BIO.2195127.10x.1,NGN2_2195127_10x_1,Homo sapiens
71,24,NGN2-BIO-2195127-10x-2.Aligned.sortedByCoord.out.bam,NGN2,2195127,NGN2-2195127-10x,TPM.NGN2.BIO.2195127.10x.2,NGN2_2195127_10x_2,Homo sapiens
72,24,NGN2-BIO-2195127-10x-3.Aligned.sortedByCoord.out.bam,NGN2,2195127,NGN2-2195127-10x,TPM.NGN2.BIO.2195127.10x.3,NGN2_2195127_10x_3,Homo sapiens
73,25,NGN2-BIO-2195127-3x-1.Aligned.sortedByCoord.out.bam,NGN2,2195127,NGN2-2195127-3x,TPM.NGN2.BIO.2195127.3x.1,NGN2_2195127_3x_1,Homo sapiens
74,25,NGN2-BIO-2195127-3x-3.Aligned.sortedByCoord.out.bam,NGN2,2195127,NGN2-2195127-3x,TPM.NGN2.BIO.2195127.3x.3,NGN2_2195127_3x_3,Homo sapiens
75,25,NGN2-BIO-2195127-3x-4.Aligned.sortedByCoord.out.bam,NGN2,2195127,NGN2-2195127-3x,TPM.NGN2.BIO.2195127.3x.4,NGN2_2195127_3x_4,Homo sapiens
76,26,NGN2-BIO-2195327-10x-1.Aligned.sortedByCoord.out.bam,NGN2,2195327,NGN2-2195327-10x,TPM.NGN2.BIO.2195327.10x.1,NGN2_2195327_10x_1,Homo sapiens
77,26,NGN2-BIO-2195327-10x-3.Aligned.sortedByCoord.out.bam,NGN2,2195327,NGN2-2195327-10x,TPM.NGN2.BIO.2195327.10x.3,NGN2_2195327_10x_3,Homo sapiens
78,26,NGN2-BIO-2195327-10x-4.Aligned.sortedByCoord.out.bam,NGN2,2195327,NGN2-2195327-10x,TPM.NGN2.BIO.2195327.10x.4,NGN2_2195327_10x_4,Homo sapiens
79,27,NGN2-BIO-2195327-3x-1.Aligned.sortedByCoord.out.bam,NGN2,2195327,NGN2-2195327-3x,TPM.NGN2.BIO.2195327.3x.1,NGN2_2195327_3x_1,Homo sapiens
80,27,NGN2-BIO-2195327-3x-3.Aligned.sortedByCoord.out.bam,NGN2,2195327,NGN2-2195327-3x,TPM.NGN2.BIO.2195327.3x.3,NGN2_2195327_3x_3,Homo sapiens
81,27,NGN2-BIO-2195327-3x-4.Aligned.sortedByCoord.out.bam,NGN2,2195327,NGN2-2195327-3x,TPM.NGN2.BIO.2195327.3x.4,NGN2_2195327_3x_4,Homo sapiens
82,28,NGN2-BIO-2197294-10x-1.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-10x,TPM.NGN2.BIO.2197294.10x.1,NGN2_2197294_10x_1,Homo sapiens
83,28,NGN2-BIO-2197294-10x-3.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-10x,TPM.NGN2.BIO.2197294.10x.3,NGN2_2197294_10x_3,Homo sapiens
84,28,NGN2-BIO-2197294-10x-4.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-10x,TPM.NGN2.BIO.2197294.10x.4,NGN2_2197294_10x_4,Homo sapiens
85,29,NGN2-BIO-2197294-3x-1.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.1,NGN2_2197294_3x_1,Homo sapiens
86,29,NGN2-BIO-2197294-3x-2.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.2,NGN2_2197294_3x_2,Homo sapiens
87,29,NGN2-BIO-2197294-3x-3.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.3,NGN2_2197294_3x_3,Homo sapiens
88,30,NGN2-DMSO-1.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.1,NGN2_DMSO_1,Homo sapiens
89,30,NGN2-DMSO-2.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.2,NGN2_DMSO_2,Homo sapiens
90,30,NGN2-DMSO-3.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.3,NGN2_DMSO_3,Homo sapiens
91,31,Sy5Y-BIO-1755497-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,Branaplam,Sy5Y-1755497-10x,TPM.Sy5Y.BIO.1755497.10x.2,Sy5Y_1755497_10x_2,Homo sapiens
92,31,Sy5Y-BIO-1755497-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,Branaplam,Sy5Y-1755497-10x,TPM.Sy5Y.BIO.1755497.10x.3,Sy5Y_1755497_10x_3,Homo sapiens
93,31,Sy5Y-BIO-1755497-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,Branaplam,Sy5Y-1755497-10x,TPM.Sy5Y.BIO.1755497.10x.4,Sy5Y_1755497_10x_4,Homo sapiens
94,32,Sy5Y-BIO-1755497-3x-1.Aligned.sortedByCoord.out.bam,Sy5Y,Branaplam,Sy5Y-1755497-3x,TPM.Sy5Y.BIO.1755497.3x.1,Sy5Y_1755497_3x_1,Homo sapiens
95,32,Sy5Y-BIO-1755497-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,Branaplam,Sy5Y-1755497-3x,TPM.Sy5Y.BIO.1755497.3x.2,Sy5Y_1755497_3x_2,Homo sapiens
96,32,Sy5Y-BIO-1755497-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,Branaplam,Sy5Y-1755497-3x,TPM.Sy5Y.BIO.1755497.3x.4,Sy5Y_1755497_3x_4,Homo sapiens
97,33,Sy5Y-BIO-2006152-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2006152,Sy5Y-2006152-10x,TPM.Sy5Y.BIO.2006152.10x.2,Sy5Y_2006152_10x_2,Homo sapiens
98,33,Sy5Y-BIO-2006152-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2006152,Sy5Y-2006152-10x,TPM.Sy5Y.BIO.2006152.10x.3,Sy5Y_2006152_10x_3,Homo sapiens
99,33,Sy5Y-BIO-2006152-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2006152,Sy5Y-2006152-10x,TPM.Sy5Y.BIO.2006152.10x.4,Sy5Y_2006152_10x_4,Homo sapiens
100,34,Sy5Y-BIO-2006152-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2006152,Sy5Y-2006152-3x,TPM.Sy5Y.BIO.2006152.3x.2,Sy5Y_2006152_3x_2,Homo sapiens
101,34,Sy5Y-BIO-2006152-3x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2006152,Sy5Y-2006152-3x,TPM.Sy5Y.BIO.2006152.3x.3,Sy5Y_2006152_3x_3,Homo sapiens
102,34,Sy5Y-BIO-2006152-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2006152,Sy5Y-2006152-3x,TPM.Sy5Y.BIO.2006152.3x.4,Sy5Y_2006152_3x_4,Homo sapiens
103,35,Sy5Y-BIO-2189972-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2189972,Sy5Y-2189972-10x,TPM.Sy5Y.BIO.2189972.10x.2,Sy5Y_2189972_10x_2,Homo sapiens
104,35,Sy5Y-BIO-2189972-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2189972,Sy5Y-2189972-10x,TPM.Sy5Y.BIO.2189972.10x.3,Sy5Y_2189972_10x_3,Homo sapiens
105,35,Sy5Y-BIO-2189972-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2189972,Sy5Y-2189972-10x,TPM.Sy5Y.BIO.2189972.10x.4,Sy5Y_2189972_10x_4,Homo sapiens
106,36,Sy5Y-BIO-2189972-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2189972,Sy5Y-2189972-3x,TPM.Sy5Y.BIO.2189972.3x.2,Sy5Y_2189972_3x_2,Homo sapiens
107,36,Sy5Y-BIO-2189972-3x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2189972,Sy5Y-2189972-3x,TPM.Sy5Y.BIO.2189972.3x.3,Sy5Y_2189972_3x_3,Homo sapiens
108,36,Sy5Y-BIO-2189972-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2189972,Sy5Y-2189972-3x,TPM.Sy5Y.BIO.2189972.3x.4,Sy5Y_2189972_3x_4,Homo sapiens
109,37,Sy5Y-BIO-2194943-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2194943,Sy5Y-2194943-10x,TPM.Sy5Y.BIO.2194943.10x.2,Sy5Y_2194943_10x_2,Homo sapiens
110,37,Sy5Y-BIO-2194943-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2194943,Sy5Y-2194943-10x,TPM.Sy5Y.BIO.2194943.10x.3,Sy5Y_2194943_10x_3,Homo sapiens
111,37,Sy5Y-BIO-2194943-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2194943,Sy5Y-2194943-10x,TPM.Sy5Y.BIO.2194943.10x.4,Sy5Y_2194943_10x_4,Homo sapiens
112,38,Sy5Y-BIO-2194943-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2194943,Sy5Y-2194943-3x,TPM.Sy5Y.BIO.2194943.3x.2,Sy5Y_2194943_3x_2,Homo sapiens
113,38,Sy5Y-BIO-2194943-3x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2194943,Sy5Y-2194943-3x,TPM.Sy5Y.BIO.2194943.3x.3,Sy5Y_2194943_3x_3,Homo sapiens
114,38,Sy5Y-BIO-2194943-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2194943,Sy5Y-2194943-3x,TPM.Sy5Y.BIO.2194943.3x.4,Sy5Y_2194943_3x_4,Homo sapiens
115,39,Sy5Y-BIO-2195127-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2195127,Sy5Y-2195127-10x,TPM.Sy5Y.BIO.2195127.10x.2,Sy5Y_2195127_10x_2,Homo sapiens
116,39,Sy5Y-BIO-2195127-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2195127,Sy5Y-2195127-10x,TPM.Sy5Y.BIO.2195127.10x.3,Sy5Y_2195127_10x_3,Homo sapiens
117,39,Sy5Y-BIO-2195127-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2195127,Sy5Y-2195127-10x,TPM.Sy5Y.BIO.2195127.10x.4,Sy5Y_2195127_10x_4,Homo sapiens
118,40,Sy5Y-BIO-2195127-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2195127,Sy5Y-2195127-3x,TPM.Sy5Y.BIO.2195127.3x.2,Sy5Y_2195127_3x_2,Homo sapiens
119,40,Sy5Y-BIO-2195127-3x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2195127,Sy5Y-2195127-3x,TPM.Sy5Y.BIO.2195127.3x.3,Sy5Y_2195127_3x_3,Homo sapiens
120,40,Sy5Y-BIO-2195127-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2195127,Sy5Y-2195127-3x,TPM.Sy5Y.BIO.2195127.3x.4,Sy5Y_2195127_3x_4,Homo sapiens
121,41,Sy5Y-BIO-2195327-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2195327,Sy5Y-2195327-10x,TPM.Sy5Y.BIO.2195327.10x.2,Sy5Y_2195327_10x_2,Homo sapiens
122,41,Sy5Y-BIO-2195327-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2195327,Sy5Y-2195327-10x,TPM.Sy5Y.BIO.2195327.10x.3,Sy5Y_2195327_10x_3,Homo sapiens
123,41,Sy5Y-BIO-2195327-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2195327,Sy5Y-2195327-10x,TPM.Sy5Y.BIO.2195327.10x.4,Sy5Y_2195327_10x_4,Homo sapiens
124,42,Sy5Y-BIO-2195327-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,2195327,Sy5Y-2195327-3x,TPM.Sy5Y.BIO.2195327.3x.2,Sy5Y_2195327_3x_2,Homo sapiens
125,42,Sy5Y-BIO-2195327-3x-3.Aligned.sortedByCoord.out.bam,Sy5Y,2195327,Sy5Y-2195327-3x,TPM.Sy5Y.BIO.2195327.3x.3,Sy5Y_2195327_3x_3,Homo sapiens
126,42,Sy5Y-BIO-2195327-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,2195327,Sy5Y-2195327-3x,TPM.Sy5Y.BIO.2195327.3x.4,Sy5Y_2195327_3x_4,Homo sapiens
127,43,Sy5Y-BIO-2197294-10x-2.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-10x,TPM.Sy5Y.BIO.2197294.10x.2,Sy5Y_2197294_10x_2,Homo sapiens
128,43,Sy5Y-BIO-2197294-10x-3.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-10x,TPM.Sy5Y.BIO.2197294.10x.3,Sy5Y_2197294_10x_3,Homo sapiens
129,43,Sy5Y-BIO-2197294-10x-4.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-10x,TPM.Sy5Y.BIO.2197294.10x.4,Sy5Y_2197294_10x_4,Homo sapiens
