,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH
ORC1,-0.302157764354877
OSGEP,-0.306184246848833
PAN3,-0.279050440113551
PANK2,0.298047299106252
PANK4,0.447274063520301
PARG,-0.342702023394554
PARGP1,0.43064808042588
PARP4,-0.383084006972114
PATL1,-0.492008158775355
PAXBP1,0.495453792796725
PCCA,-0.396489867619396
PCIF1,-0.349360630508904
PCMTD1,-0.326908137972615
PCSK5,0.343998050733032
PDCD6IPP2,0.383118268851682
PDE5A,-0.540089563368927
PDSS1,0.373396728009335
PGAP3,0.273767787128688
PHB2,0.52440600268655
PHIP,-0.358593223828628
PHYKPL,0.25664507751309
PIAS3,0.350673210774402
PIDD1,0.263485273853869
PIEZO1,-0.258481081560361
PIH1D1,0.262624365235253
PIP4P2,-0.323261577313354
PISD,-0.297026094163441
PLCB4,0.306351150708772
PLEKHM1P1,-0.304466675443516
PLK3,0.282160450309413
PM20D2,-0.293206690599806
PMS2P3,0.262531086129392
PNPLA3,0.297495227932872
POGLUT1,-0.301235729170327
POLG,-0.418227443859615
POLN,-0.316330685634466
POLQ,0.267649438551835
POLR2J4,0.259328413309001
PPARGC1A,0.256734282599505
PPCS,0.389304590394141
PPIEL,-0.323985038693079
PPM1K,-0.250454081803744
PPP3CC,0.28889566786377
PPP4R3A,-0.392283431218349
PRKG2,0.274848466917651
PRKRA,-0.438612165014812
PRMT9,0.419265881040912
PRPF38B,-0.41375837129613
PRPF39,0.252107921978849
PRRC2B,-0.291790149339058
PTBP2,0.573822060693919
PTPN21,-0.385537131157164
PTRH2,-0.329885103648263
PUS10,0.279374651414663
QRFPR,0.337258215782522
QSOX2,0.262221307783821
RAB5A,-0.319990375145647
RABGAP1,-0.362440531657339
RAD54B,-0.321320692395717
RALGPS1,0.270170894447574
RBM20,-0.270384952846993
RBM39,-0.268819134900124
RBM8A,0.401713240451133
RBMX,0.266875644601303
RELCH,-0.411883701585268
RHBDD2,0.307267002841589
RHOBTB1,0.261652143486886
RHOT1,-0.275436667029391
RIC8B,-0.31306600527926
RIMKLB,0.356118834359581
RIOK3,0.36797575274163
RMND5B,0.28117790878343
RPS6KA4,0.266464848152803
RRAGB,-0.540051124062585
RSRC2,-0.407884319241617
RSRP1,0.257336453637492
S100PBP,-0.29488730043704
SAAL1,-0.289774078476583
SAFB,0.283289542099111
SBDSP1,-0.288377786982011
SCAI,-0.307143831546964
SCAND2P,0.382901727307662
SDCCAG8,-0.252222892627824
SDHAP3,-0.48363707521847
SELENOO,-0.280088821701618
SEMA6C,-0.451086136627893
SF3B3,-0.34968860072742
SFMBT2,0.312443459623068
SIAE,0.264180272987804
SIPA1L2,-0.285728584345066
SLC15A4,0.277903087022056
SLC1A3,-0.328632688091829
SLC20A2,-0.286950339439449
SLC22A15,-0.300775457089072
SLC22A17,0.337285136776473
SLC25A25,0.294194604221154
SLC35E2A,0.291838664755527
SLC35F5,-0.294518406126354
SLC36A4,-0.417123969331824
SLC38A6,-0.383800219196488
SLC7A6,-0.483253786196398
SLC7A6OS,0.472102362864159
SLC9A5,-0.359694215410989
SLX1A.SULT1A3,0.34813947047748
SLX1B.SULT1A4,0.356910423336883
SMAD4,-0.26835822740683
SMC6,-0.284794610685757
SMG8,-0.28970854167352
SMNDC1,-0.276343648506106
SNHG20,0.253027511465413
SNRNP48,0.291539565647709
SPATA5L1,-0.352570897321143
SPATS2,-0.347137725321591
SPICE1,0.271759873370688
SREK1,-0.362877041717535
SRGAP2B,-0.259815175259522
SRSF11,-0.364956687196947
SRSF4,-0.436634975682091
SRSF6,0.251692211927297
ST7L,-0.349095532989537
STAG3L4,-0.326667688808703
STARD5,0.281227187896755
STAT2,-0.330965766562746
STK16,0.283038084873128
SUPT3H,-0.256711584681783
SUZ12P1,0.299679394549916
TAF1,-0.283921962051487
TARBP1,-0.250377276650246
TARDBP,-0.264983624860295
TARS3,-0.366551013589563
TBC1D19,-0.264144907145137
TBC1D23,-0.262726959076874
TBC1D8B,0.281684858066426
TBCK,0.333581541011177
TBX18,-0.254264837072251
TCERG1,-0.361753218101431
TCF25,-0.309971435024466
TERT,0.281821891026108
THUMPD2,0.290041742190698
TIGD6,0.253778132512579
TMEM128,0.252528967470434
TMEM201,-0.290398622594644
TMEM222,-0.39278370991938
TMEM237,-0.263342148765841
TMEM39B,-0.348829540232331
TNFRSF19,0.290462050435822
TOE1,0.351477188452481
TOGARAM1,-0.29593162483311
TOMM20,-0.273223094180863
TPCN1,-0.431117951387666
TRAPPC2,-0.26041150657781
TRAPPC9,-0.267589861943538
TRIM3,0.363602442131222
TRIO,-0.252543854958961
TRMT11,0.304734162151496
TRMT44,0.290791408020469
TRMU,0.257528306248968
TRNAU1AP,-0.31729231865806
TSC22D2,-0.321156738172267
TSPYL2,0.592913672319228
TTC39C,-0.39868079695489
TTC8,-0.282054143861983
TTC9C,-0.392104471824848
TTF1,0.344505677027576
TUBG2,0.351743977987538
TUBGCP4,0.306779889559086
TUBGCP5,0.285076981934937
TUT7,0.297823564604259
TXNDC16,-0.361431156520635
TYW1B,0.259412211414848
UBP1,-0.281086502622356
UBR2,-0.345511179496257
UBR3,-0.330431874632062
UFSP2,0.28923878770593
UGGT2,-0.38849358229794
UHRF2,-0.345654186188353
USP15,-0.301905493785135
USP24,-0.292000969986223
UTP18,-0.269902821586895
VCPKMT,0.331716867274188
VEGFC,0.314980837476188
VIPR1,0.262993672027733
VPS11,-0.31206425509927
VPS36,-0.372294050932584
VPS8,-0.305715297188295
VWDE,-0.274934322166589
WDFY2,-0.27188587272566
WDR27,-0.296202230220856
WHAMM,0.305692321580052
XPA,-0.355791389519321
Z98745.2,0.31407959070306
ZDHHC17,-0.353256293679988
ZDHHC21,-0.259707555683274
ZDHHC6,-0.263837041447914
ZFAT,-0.31854905924059
ZFP41,-0.261463832298006
ZHX3,-0.410152203302156
ZKSCAN5,0.250715336959621
ZMIZ2,-0.265126002958613
ZNF131,0.481501022803347
ZNF197,-0.268264604121487
ZNF202,0.291133474549731
ZNF226,0.344516346130898
ZNF276,0.382174880671935
ZNF280D,0.323918120146461
ZNF324B,0.401137719964564
ZNF35,-0.283601190981356
ZNF527,0.276467988401566
ZNF529,0.284699019715197
ZNF530,0.27983606048881
ZNF570,0.257120521678266
ZNF711,0.283229555323597
ZNF783,0.343275551493088
ZNF837,0.278567068612956
ZSCAN26,0.3325641629438
