,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
CBWD2,-0.304741093594121
CBWD3,-0.302327566670838
CBWD5,-0.343467102552539
CCDC150,-0.369662438718137
CCDC162P,0.451791187720773
CCDC84,0.468850935045589
CCNL1,-0.397732766392063
CCNT2,0.262746574009279
CD207,0.408756510120944
CDAN1,0.329323670694371
CDK11A,0.30707959695903
CDKN2AIP,0.400120934055247
CEP250,-0.344391359691539
CEP76,0.27833900876468
CEP89,-0.324777771359866
CFDP1,0.340473175131667
CHMP4A,-0.263126738767121
CHN1,0.255885961784895
CHST12,0.271652300226588
CIC,0.354336973601482
CIP2A,-0.421791215558843
CIRBP,-0.325650684168971
CKMT1B,0.435783868778493
CLASRP,0.38357495266586
CLCN6,0.456803009740693
CLK1,0.583986428528111
CLK4,-0.345603572941921
CMC1,0.308396219142546
CNTLN,-0.258688693404481
COX11,-0.254620161767388
COX18,0.481591864872769
CRYBG2,-0.416184775432582
CTDSPL2,-0.305681269890097
CUL5,-0.30207978040636
CUL7,0.330850006340796
CXXC4,0.252909599969643
DAGLA,-0.301279294674305
DBT,-0.266300901072561
DCAF8,-0.41738763837507
DCAKD,-0.31646675823449
DCLK2,-0.252633282035638
DDB2,0.386414305177519
DDX19A,-0.291490584237878
DECR2,-0.528157074976994
DELE1,-0.297053317121963
DENND1A,-0.275056722468194
DENND1B,-0.254462340268403
DGLUCY,-0.322267423870183
DHX9,0.261418144397419
DIAPH3,-0.373413902522121
DMTF1,-0.274591052959907
DNAH14,-0.253280599987125
DNAJC2,-0.315690444819287
DNAJC25,0.292195310259327
DNAJC6,-0.270979976324357
DPY19L1P1,-0.271732921715666
DPY19L1P2,-0.26916414760678
DPY30,0.406871508922299
DSE,0.266889796431195
DUSP12,0.348945041595255
DXO,0.428316384789238
E2F7,-0.254374169265205
EDRF1,0.271367501567092
EEA1,-0.285927145450596
EFL1,-0.340128797592115
EIF4A2,-0.432810117806552
EIF4E2,0.252256085057426
ELMOD3,-0.405639756499647
EMC9,0.399872568315606
EML5,-0.30785429061807
EMSY,-0.287167099348632
EPC1,-0.272769230765669
EPC2,-0.308730359103126
ERBB2,-0.272331745938433
ERCC6L2,-0.333688927720803
ERMARD,0.278899434377047
ETNK1,-0.336891887722242
EVC,0.257103998439823
EYA3,0.286776163934094
FAM120C,0.263706619106663
FAM133B,-0.339247804408808
FAM184A,-0.277180318003072
FAM76B,-0.265721831586146
FAM92A,-0.300804321925549
FANCB,-0.347033531660992
FAT1,0.282290950119612
FBXO38,-0.264140663326982
FCSK,0.265978569569374
FDXR,0.27684078298021
FGFR3,-0.255334678199744
FHOD3,0.437225973400958
FMN2,-0.255994663148027
FNBP4,0.275659711320774
FNTB,-0.359921013261284
FRRS1,-0.286765055647542
FUBP3,-0.276662063204082
GALK2,-0.325892765354687
GARNL3,0.353155568189848
GKAP1,-0.265360779966816
GLS,-0.336443772498032
GNPDA2,-0.359681296000139
GOLGA8A,0.285277767365273
GOLGA8B,-0.317051967191216
GORAB,0.452637641639835
GPATCH2,0.272503289019264
GPC2,0.384261798116546
GPR89A,0.296672647974065
GPR89B,0.292147934053376
GRB14,0.275194105269091
GTF2IP20,-0.268500495856005
GUSBP1,0.252297813461251
HACE1,-0.260103294682574
HCFC2,-0.314488329514347
HECTD1,-0.277186163612626
HES6,0.276454149920124
HHAT,0.273858788485209
HINFP,-0.294197531616491
HLA.E,0.280198145281065
HLF,-0.427960141398865
HNRNPLL,-0.274360142329526
HOXA.AS2,0.286465045452156
HSD17B7,0.257980144407319
HSD17B7P2,0.29800755133792
HSPA12A,-0.288442315970362
HTT,0.266237265186472
ICA1,0.336857456703629
ICE2,-0.251619328806839
IDE,-0.270348284948855
IFFO1,-0.372285460319269
ILKAP,0.253794980281911
IMPACT,0.442940785794203
INPP5J,0.252137731721335
INTU,-0.290714683678786
IPPK,0.252931084509075
IRAK4,0.259942745511304
IVNS1ABP,0.262372191063646
JAK2,0.404270843997165
KANSL2,-0.257663246477783
KCNN1,-0.253284021441962
KDM3A,-0.335533821007318
KEAP1,0.314803206971585
KHDC4,-0.269414962532573
KIAA1109,0.288483083124536
KIAA1217,-0.264422741968588
KIF27,0.269593097527188
KLHL17,0.325530180117311
KLHL42,-0.306705519611967
KPNA5,0.344361938425475
KYAT1,0.277527617053225
L3HYPDH,-0.256978888139569
LRIG2,0.279347992996395
LRP4,0.438178122313839
LRRC27,-0.335051285262215
LRRC37A2,0.363936624014318
LRRC37A4P,0.386666916944291
LRRC69,0.404699449785029
LRRC75B,-0.254613077840171
LRRCC1,0.27996452749529
LTN1,-0.395247431365544
LUC7L,0.365382530967457
LUC7L2,-0.320498475942753
MAN2A1,-0.335771731119916
MAN2A2,0.356730690633294
MANBA,-0.321844716435193
MAP3K15,0.336287393602877
MAST1,-0.319419647809999
MCEE,0.483461321840289
MCOLN3,0.265776828113982
METTL6,0.250860376783502
MGAT5B,0.274517333445235
MIB2,0.301267644284502
MICA,-0.295315426725251
MINAR1,-0.272488536719926
MITD1,-0.300131075019033
MLLT10,-0.366398004050178
MMS22L,-0.255158654421913
MOV10,-0.320463992982412
MPC1,0.451766245606246
MRPL1,-0.25331477024293
MRPS6,0.293144992984871
MSTO2P,-0.261238079946774
MTA3,0.363411002637945
MTAP,-0.275225472231433
MUC20.OT1,0.286608224776519
MUS81,0.332156929080013
MYL5,-0.263843169815193
MYO19,-0.274287707568005
NAA16,0.279141900323213
NAA25,0.261182448787957
NAALAD2,-0.391807980256505
NAF1,-0.27208123047379
NAT1,0.290916717399376
NCBP3,-0.254404372507865
NCDN,-0.250229931406818
NCOA7,-0.364080747501346
NFE2L1,0.2979594894904
NIFK.AS1,0.318509277409643
NKTR,0.301288770811174
NOD1,0.316637988671072
NOM1,-0.354445546132151
NOP56,0.32913002360098
NR2C2,-0.273678212849626
NSUN5P1,-0.279608136175586
NT5M,-0.257467366340874
NUDCD3,-0.256915383008077
NUDT16L1,0.423608232193587
OCLNP1,-0.255698399833032
ODR4,-0.404944746668669
OLA1,0.420460847153085
ORC1,-0.295896469750943
OSGEP,-0.327525222790358
OTUD3,0.292387075901438
PACSIN2,0.37165698037607
PAN3,-0.279231571910632
PANK2,0.35107554547082
PANK4,0.492813329855377
PARG,-0.378843184182896
PARGP1,0.393284612006852
PARP4,-0.402829201474922
PATL1,-0.469776178566546
PAXBP1,0.504995662026281
PCBP2,0.260862099186962
PCCA,0.272829481903272
PCIF1,0.253532619220776
PCMTD1,-0.305723918857181
PCOLCE,0.332223528598235
PCSK5,0.318842287724004
PDCD6IPP2,0.38971775275702
PDE5A,0.282498967295491
PDSS1,0.414837785158742
PDXDC1,0.293431121686094
PGAP3,0.270504950923902
PHC3,-0.278165056088026
PHIP,-0.35778961994169
PHYKPL,0.30500057566701
PI4KAP2,-0.300993080325282
PIAS3,0.343077435755757
PIDD1,0.352499190114766
PIH1D1,0.273216176755072
PISD,-0.301622025459883
PITPNB,-0.440414868738173
PKD2,-0.272358373329287
PLCB4,0.286466259407259
PMS2P3,0.388407808201195
POGLUT1,-0.320545982446912
POLG,-0.417670510196246
POLQ,0.287769194763698
POLR2J4,0.266123300111678
POMT2,-0.263746550964433
PPARA,-0.298110007370419
PPCS,0.395088455974772
PPP3CC,0.300172393328639
PPP4R3A,-0.403230838373138
PRKRA,-0.469309752618128
PRMT9,0.355424015784191
PRPF38B,-0.386522705980662
PRPF39,-0.448475127117065
PTBP2,0.619436764189062
PTGR2,-0.250383793904617
PTRH2,-0.337449624761059
QRFPR,0.279372363830209
QSOX2,0.289436019390949
RAB5A,-0.25263024951471
RABGAP1,-0.327493289730632
RABGAP1L,-0.268170024738802
RAD52,-0.25730172989819
RAD54B,-0.286701736875465
RAPGEF6,-0.320836564258347
RBM8A,0.339099376012352
RBMX,0.265354038890402
RCBTB2,0.36222761426516
RELCH,-0.378604501543133
RGS20,0.286706365966857
RHBDD2,-0.424589173887116
RHBDD3,0.266491846028632
RHOT1,-0.258149047749713
RIC8B,-0.331637124778628
RIMKLB,0.313488206861007
RIOK3,0.38482515915587
RMDN2,-0.316699604443406
RMND5B,0.30726715285616
RPS6KA4,0.278324227155879
RPS6KB1,-0.25252378266402
RRAGB,-0.597331849701711
RRP7BP,0.274256317517057
RSRC2,-0.385210872483324
RSRP1,0.271511894738792
RTTN,0.257561543803824
RUFY1,0.250602305131189
RUNX1T1,-0.262872328464599
S100PBP,-0.318413685554318
SAAL1,-0.290842921515449
SBDSP1,-0.310066947447758
SCAND2P,0.439194386175555
SDCCAG8,-0.267158328249257
SDHAP1,-0.267909801037355
SDHAP3,-0.549972815316562
SEC24A,-0.251566848099328
SELENOO,0.297902545425471
SEMA6C,-0.397836134334721
SENP7,-0.28662580300503
SF3B3,-0.328366857623047
SFMBT2,0.293616320600511
SFPQ,0.270362042224793
SIAE,-0.30179879464712
SLC15A4,0.38956702098851
SLC1A3,-0.302888208073604
SLC22A15,-0.278044268270855
SLC25A25,-0.271422771272052
SLC25A27,0.410367516889573
SLC25A43,0.372308829484431
SLC36A4,-0.450240680537126
SLC38A6,-0.455718979606938
SLC4A7,0.263304725618323
SLC6A6,0.282735422264929
SLC7A6,0.262149596032853
SLC7A6OS,0.474642388344896
SLX1A.SULT1A3,0.370562869428889
SLX1B.SULT1A4,0.372459422468495
SMARCD3,-0.290859557896418
SMC6,-0.252283494093583
SMG8,-0.261422843298583
SMNDC1,-0.282155161195013
SMYD4,-0.284621506456158
SNAI3.AS1,0.266968060496889
SNHG20,-0.316773678525152
SNRNP48,0.30889078097557
SNX14,-0.366952703972532
SPATA5L1,0.445907396953683
SPIN2B,0.352678717727627
SPRYD7,-0.284363331967078
SREK1,0.281473330922461
SRRT,-0.340513886016204
SRSF4,-0.381763340326238
SRSF6,0.281878669978929
SSR1,0.319560604387633
STAG3L4,-0.34861505105055
STARD5,0.349425252548073
STAT2,-0.326474280307755
STK16,0.293315918911011
STRN4,-0.301216772393185
SUPT3H,-0.271155857538795
SUZ12P1,-0.435803468895144
SYNGAP1,0.266972166053078
TAF1,-0.338653050645419
TARBP1,-0.296989981893293
TARDBP,-0.319231701898945
TARS3,-0.32314121956518
TBC1D2,0.260898354511848
TBC1D23,-0.27762149950673
TBC1D8B,-0.346810150951806
TBCK,-0.500207560039991
TBL2,-0.257054586513462
TCERG1,-0.340069501107574
TCF25,-0.332152538672624
TERT,0.274665853857657
TEX9,-0.285575919539199
THADA,-0.254331527085475
THUMPD2,0.274548481514155
TMC7,0.35471725351364
TMEM120A,0.31010832803909
TMEM19,0.287176739670585
TMEM222,-0.408424551702701
TMEM237,-0.265637481676313
TMEM39B,-0.352017138919427
TMEM44,0.268102528334753
TMEM50B,-0.300630112152497
TOE1,0.302975342501697
TOMM20,-0.278299916523399
TPCN1,-0.399477315332785
TPM2,-0.331769707426037
TRAPPC2,-0.252981136436239
TRIT1,0.291182804191736
TRMT11,0.295279951824299
TRMT44,0.293921572965893
TRMU,0.260853782569864
TRNAU1AP,-0.377877428674137
TSC22D2,-0.302355030854662
TSPYL2,0.597569113288763
TTC31,0.264621350797633
TTC38,0.287150190080124
TTC39C,-0.388845849323992
TTC8,-0.290947438795754
TTC9C,-0.35105893466062
TTF1,0.29844371450874
TUBG2,0.341790712440031
TUBGCP4,0.30071996417137
TUBGCP5,0.307868326960657
TUT7,0.271963502958105
TXNDC16,-0.460104681439842
TYW1B,0.302038363168503
UBE3B,-0.293913666463953
UBP1,-0.276445680335243
UBR2,-0.25809159954448
UBXN2B,-0.255201081181046
UFSP2,0.278071781568694
UGGT2,-0.260118532889831
UHRF2,-0.268981680083878
USP15,-0.312725096087434
UTP18,-0.294004415292741
VCPKMT,0.372098719875836
VEGFC,0.275020330609425
VIPR1,0.277278188013898
VPS11,-0.294623675167956
VPS33B,-0.299637673170257
VPS36,-0.365909414124392
VPS8,-0.319447220959928
WASHC4,-0.504341856361382
WDFY3.AS2,-0.31056177762802
WDR17,0.251992803098206
WDR27,-0.371537155262429
WHAMM,0.30080859109715
XPA,-0.419650028468891
XRN2,-0.49849286314286
Z98745.2,0.296404398099379
ZDHHC17,-0.361243433535814
ZFAT,-0.384641367030475
ZHX3,-0.36257615662957
ZKSCAN5,0.25293699351929
ZNF197,-0.253533585839561
ZNF202,0.306725082515378
ZNF226,0.361543953094736
ZNF268,0.360407437106044
ZNF276,-0.371520090943083
ZNF280D,0.312172992114527
ZNF282,-0.265547352142658
ZNF286A,0.267541102733443
ZNF292,-0.267686173263915
ZNF324B,0.38313042853671
ZNF446,0.278775566386927
ZNF529,0.279940200726362
ZNF530,0.251973798585046
ZNF577,0.301003399360275
ZNF684,0.253457871423359
ZNF707,-0.28093088801154
ZNF711,0.32776471986829
ZNF761,0.392085406825348
ZNF783,0.370848128418986
