,U1-WT-500-BIO2197294_vs_DMSO,U1-WT-500-BIO2197294_vs_WT-500,U1-WT-500-Branaplam_vs_DMSO,U1-WT-500-Branaplam_vs_WT-500
NBPF11,1,1,0,0
AC245100.4,1,1,0,0
NBPF14,0,1,0,0
AC239804.1,1,1,0,0
NOTCH2NLC,1,1,0,0
NBPF19,0,1,0,0
H4C14,1,1,0,0
H2BC19P,1,1,0,0
H2BC20P,0,1,0,0
H4C15,1,1,0,0
H2BC21,0,1,0,0
OTUD7B,1,0,0,0
PRPF3,1,0,0,0
RPRD2,1,1,0,0
ECM1,1,1,0,0
CTSK,1,1,0,0
ZNF687,0,1,0,0
POGZ,1,1,0,0
TUFT1,1,1,0,0
S100A10,0,1,0,0
S100A11,0,1,0,0
TCHH,1,0,0,0
S100A14,1,0,0,0
CHTOP,1,1,0,0
IL6R,1,0,0,0
AL606500.1,1,1,0,0
TRIM46,1,1,0,0
GBAP1,1,1,0,0
CLK2,1,1,0,0
HCN3,1,1,0,0
YY1AP1,1,1,0,0
MSTO2P,1,1,0,0
GON4L,1,1,0,0
RIT1,1,1,0,0
KHDC4,1,1,0,0
TMEM79,1,1,0,0
IQGAP3,1,1,0,0
NES,1,0,0,0
CRABP2,0,1,0,0
NTRK1,0,1,0,0
NHLH1,1,0,1,0
DUSP12,1,0,0,0
DDR2,1,0,0,0
GPR161,1,0,0,0
TBX19,1,1,0,0
XCL1,1,1,0,0
Z99572.1,0,1,0,0
C1orf112,1,0,0,0
METTL18,1,1,0,0
SCYL3,1,1,0,0
GORAB,1,1,0,0
GAS5,0,1,0,0
TNN,1,0,0,0
AXDND1,1,0,0,0
AL353708.3,1,1,0,0
PRG4,0,1,0,0
ODR4,1,1,0,0
PDC.AS1,1,1,0,0
PTGS2,1,1,0,0
BRINP3,1,1,0,0
RGS2,1,0,0,0
LINC01031,1,0,0,0
KCNT2,0,0,1,1
SEPTIN14P12,1,0,0,0
AL358473.1,1,0,0,0
PHLDA3,1,0,0,0
SHISA4,1,1,0,0
AL513217.1,1,0,0,0
PPP1R12B,1,1,0,0
SYT2,1,1,0,0
PM20D1,1,1,0,0
C4BPAP1,0,1,0,0
CR2,0,1,0,0
G0S2,1,0,0,0
C1orf74,1,1,0,0
UTP25,1,1,0,0
RCOR3,1,1,0,0
DTL,1,1,0,0
RPL21P28,1,0,0,0
ATF3,1,1,0,0
GPATCH2,1,1,0,0
SLC30A10,0,1,0,0
RAB3GAP2,1,1,0,0
DUSP10,1,1,0,0
AL513314.2,1,1,0,0
HHIPL2,1,1,0,0
TAF1A,1,1,0,0
TAF1A.AS1,0,1,0,0
GTF2IP20,1,1,0,0
FBXO28,1,0,0,0
NVL,1,0,0,0
DNAH14,1,0,0,0
SDE2,1,0,0,0
LIN9,1,1,0,0
STUM,1,1,0,0
ZNF678,1,1,0,0
GJC2,0,1,0,0
OBSCN.AS1,1,0,0,0
OBSCN,1,0,0,0
TRIM11,1,0,0,0
H2BU1,1,1,0,0
LINC02814,1,1,0,0
SPRTN,1,0,0,0
DISC1,0,1,0,0
PCNX2,1,1,0,0
IRF2BP2,1,0,0,0
ARID4B,1,0,0,0
EDARADD,0,1,0,0
ACTN2,1,1,0,0
RYR2,0,1,0,0
LINC01347,1,1,0,0
TFB2M,1,0,0,0
LINC01341,0,1,0,0
ZNF695,1,1,0,0
ZNF670,1,1,0,0
ZNF669,1,1,0,0
ZNF124,1,1,0,0
ZNF692,1,1,0,0
SNTG2,1,0,0,0
AC108488.1,1,1,0,0
AC108488.2,1,1,0,0
GRHL1,1,1,0,0
KLF11,1,1,0,0
ODC1.DT,1,1,0,0
GEN1,1,1,0,0
LINC01376,0,1,0,0
MATN3,0,1,0,0
SDC1,0,1,0,0
DRG1P1,1,0,0,0
RHOB,1,1,0,0
GDF7,1,0,0,0
ATAD2B,1,1,0,0
DNAJC27,1,1,0,0
PTGES3P2,0,1,0,0
FTH1P3,1,0,0,0
AC074091.2,1,1,0,0
FOSL2,1,0,0,0
SPDYA,1,1,0,0
WDR43,1,0,0,0
CAPN14,0,1,0,0
EHD3,1,1,0,0
XDH,1,1,0,0
AL133243.4,0,1,0,0
AC020594.1,1,1,0,0
NDUFAF7,1,0,0,0
RMDN2,1,0,0,0
CYP1B1.AS1,0,1,0,0
ASS1P2,1,0,0,0
ARHGEF33,1,0,0,0
THUMPD2,1,1,0,0
PLEKHH2,0,1,0,0
ATP6V1E2,1,0,0,0
GPR75,1,1,0,0
CLHC1,1,1,0,0
EFEMP1,1,1,0,0
PAPOLG,1,1,0,0
REL,1,1,0,0
AHSA2P,0,1,0,0
WDPCP,0,1,0,0
SLC1A4,1,0,0,0
AC007318.3,1,1,0,0
SPRED2,1,1,0,0
PLEK,1,1,1,1
APLF,0,1,0,0
MXD1,1,1,0,0
ADD2,1,0,0,0
CLEC4F,0,1,0,0
ATP6V1B1,1,1,0,0
MCEE,1,1,0,0
FBXO41,1,0,0,0
ALMS1.IT1,1,0,0,0
ALMS1P1,1,1,0,0
AC073263.2,1,0,0,0
MTHFD2,1,0,0,0
SLC4A5,1,1,0,0
CCDC142,1,1,0,0
TTC31,0,1,0,0
PCGF1,1,1,0,0
REG1A,1,0,0,0
DNAH6,1,1,0,0
ELMOD3,1,1,0,0
CAPG,1,0,0,0
RGPD1,1,0,0,0
PLGLB1,1,1,0,0
AC125232.1,1,1,0,0
AC133644.2,1,0,0,0
PLGLB2,1,1,0,0
KRCC1,1,1,0,0
AC062029.1,0,1,0,0
AC233263.6,0,1,0,0
ANKRD20A8P,1,1,0,0
ZNF2,1,1,0,0
ANKRD36C,1,1,0,0
STARD7.AS1,1,1,0,0
ARID5A,1,1,0,0
ANKRD23,1,1,0,0
ANKRD36,1,1,0,0
ANKRD36B,1,1,0,0
C2orf92,1,1,0,0
LIPT1,1,1,0,0
LYG1,1,1,0,0
REV1,1,1,0,0
SLC9A2,0,1,0,0
TMEM182,0,1,0,0
RGPD3,1,1,0,0
RGPD5,0,1,0,0
RGPD6,1,1,0,0
ZC3H8,1,1,0,0
ZC3H6,0,1,0,0
RGPD8,0,1,0,0
WASH2P,0,1,0,0
DBI,0,1,0,0
INHBB,1,1,0,0
GYPC,1,1,0,0
LINC02572,1,1,0,0
SMPD4BP,1,1,0,0
GPR39,0,1,0,0
CCNT2,1,1,0,0
LRP1B,0,1,0,0
ZEB2,1,0,0,0
EPC2,1,1,0,0
LYPD6,1,1,0,0
RBM43,0,1,0,0
CACNB4,1,1,0,0
GALNT5,1,0,0,0
CYTIP,1,1,0,0
MARCHF7,1,1,0,0
TTC21B,1,1,0,0
B3GALT1,1,0,0,0
KLHL41,0,1,0,0
ERICH2,1,1,1,1
GAD1,1,1,0,0
DCAF17,1,1,0,0
CYBRD1,0,1,0,0
DLX2,1,1,0,0
H3P6,1,1,0,0
LNPK,0,0,1,1
HOXD.AS2,0,1,0,0
HOXD3,1,1,0,0
HOXD4,1,0,0,0
AC009962.1,0,1,0,0
PDE1A,1,0,0,0
NUP35,1,1,0,0
AC021851.1,1,1,0,0
AC009315.1,1,1,0,0
LINC01473,1,1,0,0
COL3A1,1,1,0,0
COL5A2,1,0,0,0
SLC40A1,1,1,0,0
ASDURF,1,0,0,0
ANKAR,1,0,0,0
DNAH7,1,1,0,0
CCDC150,1,1,0,0
TYW5,1,1,0,0
CLK1,1,1,0,0
CASP10,1,1,0,0
FLACC1,1,1,0,0
INO80D,0,1,0,0
AC008269.1,1,0,0,0
CPO,1,1,0,0
IDH1.AS1,1,0,0,0
KANSL1L.AS1,1,1,0,0
BARD1,1,1,0,0
IGFBP2,0,1,0,0
IGFBP5,1,1,0,0
DIRC3,1,1,0,0
USP37,1,1,0,0
PLCD4,1,0,0,0
AC012510.1,1,1,0,0
ZNF142,1,1,0,0
RNF25,1,0,0,0
ANKZF1,1,1,0,0
TUBA4A,0,1,0,0
DNAJB2,1,0,0,0
PAX3,1,1,0,0
AC093884.1,1,1,0,0
COL4A3,0,1,0,0
AC017104.1,1,1,0,0
AC068134.3,0,1,0,0
TIGD1,1,0,0,0
SNORC,1,1,0,0
INPP5D,1,0,0,0
AGAP1,1,0,0,0
RAMP1,0,1,0,0
UBE2F.SCLY,1,0,0,0
SCLY,1,0,0,0
ANKMY1,1,1,0,0
DUSP28,1,1,0,0
SNED1,0,1,0,0
GAL3ST2,1,0,0,0
LINC01881,1,1,0,0
AC024060.2,1,1,0,0
SSUH2,1,1,0,0
OXTR,1,1,0,0
BRPF1,1,1,0,0
ARPC4.TTLL3,1,1,0,0
TTLL3,1,1,0,0
CIDECP1,1,1,0,0
IRAK2,0,1,0,0
TSEN2,1,1,0,0
AC034198.2,0,0,1,1
FBLN2,1,0,0,0
CCDC174,1,1,0,0
C3orf20,1,1,0,0
COL6A4P1,1,1,0,0
COLQ,1,1,0,0
AC090948.2,1,0,0,0
LINC01967,1,1,0,0
RBMS3,1,0,0,0
VILL,1,1,0,0
SCN11A,1,1,0,0
TTC21A,1,1,0,0
CSRNP1,1,1,0,0
ZNF619,1,1,0,0
ZNF620,1,1,0,0
ULK4,1,0,0,0
VIPR1,1,1,0,0
NKTR,1,1,0,0
LINC02158,1,0,0,0
ZNF852,0,1,0,0
ZNF197,1,1,0,0
ZNF35,1,1,0,0
ZNF502,1,1,0,0
ZNF501,1,1,0,0
KIF15,0,1,0,0
ALS2CL,0,1,0,0
SETD2,0,1,0,0
IP6K2,1,1,0,0
ARIH2OS,1,1,0,0
C3orf62,1,1,0,0
BSN,0,1,0,0
MST1,0,1,0,0
UBA7,1,0,1,0
TRAIP,1,1,0,0
RBM5,1,1,0,0
U73166.1,0,1,0,0
RASSF1,1,1,0,0
ZMYND10,0,1,0,0
DOCK3,0,1,0,0
ABHD14A.ACY1,0,1,0,0
DNAH1,1,1,0,0
ITIH1,1,1,0,0
STIMATE,1,1,0,0
DCP1A,1,1,0,0
AC115282.2,1,1,0,0
CACNA2D3,1,1,0,0
WNT5A,1,1,0,0
ERC2,1,1,0,0
CCDC66,1,1,0,0
IL17RD,1,0,0,0
RPP14,1,1,0,0
HTD2,1,1,0,0
ATXN7,1,1,0,0
PSMD6.AS2,1,1,0,0
PRICKLE2,1,0,0,0
RYBP,1,1,0,0
ZNF654,1,1,0,0
C3orf38,1,0,0,0
FILIP1L,1,1,0,0
SENP7,1,1,0,0
ZBTB11,1,1,0,0
CEP97,0,1,0,0
MYH15,1,1,0,0
CIP2A,0,0,1,1
PLCXD2,1,0,0,0
TBILA,0,1,0,0
CCDC80,1,1,0,0
CD200R1,1,1,0,0
AC078785.1,1,0,0,0
CFAP44,1,1,0,0
AC112128.1,1,1,0,0
SIDT1,0,1,0,0
CCDC191,1,1,0,0
QTRT2,1,0,0,0
ZBTB20,0,1,0,0
GAP43,1,1,0,0
LSAMP,1,0,0,0
POPDC2,1,1,0,0
GPR156,1,1,0,0
AC079841.2,1,0,0,0
POLQ,0,1,0,0
CSTA,1,0,0,0
WDR5B,1,1,0,0
CCDC14,1,1,0,0
HEG1,0,1,0,0
AC092902.4,0,1,0,0
FAM86JP,0,1,0,0
KLF15,1,1,0,0
ZXDC,1,1,0,0
AC024558.2,1,1,0,0
PLXNA1,1,0,0,0
TPRA1,1,1,0,0
GATA2,1,1,0,0
AC112484.3,1,1,0,0
AC112484.1,1,1,0,0
AC112484.5,0,1,0,0
RPL32P3,1,1,0,0
EFCAB12,1,0,0,0
FAM86HP,1,1,0,0
COL6A5,1,0,0,0
ASTE1,1,1,0,0
NPHP3,0,1,0,0
INHCAP,1,0,0,0
TF,1,1,0,0
AC010207.1,1,0,0,0
AMOTL2,1,1,0,0
AC092969.1,1,0,0,0
IL20RB,1,1,0,0
DZIP1L,1,1,0,0
DBR1,1,0,0,0
RBP1,0,1,0,0
LINC02618,1,1,0,0
XRN1,0,1,0,0
ATR,0,1,0,0
TRPC1,1,1,0,0
PAQR9,0,1,0,0
CHST2,1,0,0,0
PLSCR4,1,0,0,0
AC093001.1,1,1,0,0
TSC22D2,1,1,0,0
ERICH6.AS1,0,1,0,0
IGSF10,1,1,0,0
TIPARP,1,1,0,0
CCNL1,1,1,0,0
AC080013.1,1,1,0,0
SLITRK3,1,1,0,0
BCHE,1,0,0,0
EGFEM1P,1,1,0,0
RPL22P1,0,1,0,0
MYNN,1,1,0,0
PHC3,0,1,0,0
SKIL,1,1,0,0
CLDN11,0,1,0,0
KCNMB3,1,1,0,0
LRRFIP1P1,1,1,0,0
LINC00888,0,1,0,0
YEATS2,1,1,0,0
MAP6D1,0,1,0,0
AP2M1,0,1,0,0
CLCN2,1,1,0,0
EIF4A2,1,1,0,0
TPRG1,0,1,0,0
HES1,1,1,0,0
MUC20.OT1,1,1,0,0
SDHAP2,1,0,0,0
MUC20,1,0,0,0
SDHAP1,1,1,0,0
PIGZ,1,0,0,0
AC135893.1,0,1,0,0
ANKRD18DP,1,1,0,0
FAM157A,1,1,0,0
ZNF721,1,1,0,0
MYL5,1,1,0,0
DGKQ,1,1,0,0
UVSSA,0,1,0,0
FAM53A,0,1,0,0
FGFR3,1,0,0,0
NAT8L,1,1,0,0
POLN,1,1,1,1
ZFYVE28,0,1,0,0
FAM193A,1,1,0,0
HTT,1,1,1,1
LINC02600,1,1,0,0
TMEM128,1,1,0,0
ZBTB49,1,1,0,0
JAKMIP1,1,0,0,0
AC116317.1,1,1,0,0
LINC02481,1,0,0,0
CCDC96,1,0,0,0
ABLIM2,0,1,0,0
TRMT44,1,1,0,0
AC105345.1,0,1,0,0
TAPT1,1,1,0,0
PPARGC1A,1,1,0,0
SEPSECS,1,1,0,0
ZCCHC4,0,1,0,0
LIAS,1,1,0,0
RBM47,1,1,0,0
DCAF4L1,1,0,0,0
SHISA3,1,0,0,0
AC107068.1,0,1,0,0
NFXL1,1,1,0,0
AC119751.3,1,1,0,0
ANKRD20A17P,1,1,0,0
LRRC66,1,0,0,0
SPATA18,0,0,1,0
PDGFRA,1,0,0,0
KIT,1,0,0,0
CEP135,0,1,0,0
ARL9,1,1,0,0
HOPX,1,1,0,0
IGFBP7,1,0,0,0
CENPC,1,1,0,0
YTHDC1,1,0,0,0
UGT2B4,1,0,0,0
AMBN,1,1,0,0
UTP3,1,0,0,0
COX18,1,1,0,0
NAAA,1,1,0,0
ANXA3,0,1,0,0
PRKG2,1,1,0,0
RASGEF1B,1,1,0,0
THAP9.AS1,1,1,0,0
THAP9,1,1,0,0
HELQ,1,1,0,0
AC079160.1,1,0,0,0
HSD17B13,1,1,0,0
AC093866.1,1,0,1,0
MTTP,1,0,0,0
MANBA,1,1,0,0
KRT8P46,1,1,0,0
LINC02428,1,0,0,0
TET2,0,1,0,0
TBCK,1,1,0,0
AC107071.1,1,1,0,0
LRIT3,1,1,0,0
ZGRF1,1,1,0,0
AC110079.1,1,1,0,0
METTL14,1,1,0,0
GTF2IP12,1,1,0,0
AC093752.1,1,1,0,0
TMEM155,1,0,0,0
KIAA1109,1,1,0,0
AC021205.3,1,1,0,0
INTU,0,1,0,0
MFSD8,1,1,0,0
AC015631.1,1,1,0,0
SLC7A11,1,0,0,0
NOCT,1,1,0,0
RAB33B,1,1,0,0
AC112236.1,1,1,0,0
TNRC18P1,1,0,0,0
INPP4B,1,0,0,0
HHIP,1,0,0,0
PRMT9,1,1,0,0
DCLK2,0,1,0,0
TIGD4,1,1,0,0
FGG,1,0,0,0
MSMO1,1,1,0,0
CPE,1,0,0,0
AADAT,1,1,0,0
NEIL3,1,1,0,0
CDKN2AIP,1,1,0,0
ING2,1,0,0,0
AC074194.1,1,0,0,0
CASP3,1,1,0,0
AC021087.5,1,1,0,0
CEP72,1,0,0,0
ZDHHC11B,1,1,0,0
AC026740.3,1,1,0,0
BRD9,1,1,0,0
TERT,1,1,0,0
SDHAP3,1,1,0,0
AC091978.1,0,1,0,0
UBE2QL1,0,1,0,0
FASTKD3,1,1,0,0
ZNF622,1,0,0,0
GUSBP1,1,1,0,0
AC025181.2,1,1,0,0
C1QTNF3,1,1,0,0
AC138409.2,1,1,0,0
AC026801.2,0,1,0,0
SPEF2,0,1,0,0
UGT3A2,1,0,0,0
CPLANE1,0,1,0,0
GDNF,1,0,0,0
PTGER4,1,1,0,0
C5orf51,1,0,0,0
ANXA2R,1,1,0,0
ZNF131,1,1,0,0
C5orf34,1,1,0,0
EEF1A1P19,1,1,0,0
ITGA2,1,0,0,0
AC025175.1,0,1,0,0
ESM1,1,1,0,0
GPX8,1,0,0,0
MCIDAS,1,1,0,0
MAP3K1,1,1,0,0
PLK2,1,1,0,0
ZSWIM6,1,1,0,0
ADAMTS6,1,1,0,0
SHLD3,1,1,0,0
SREK1,1,1,0,0
NAIPP3,0,1,0,0
GUSBP3,1,1,0,0
AC131392.1,1,1,0,0
NAIPP2,1,1,0,0
AC138866.2,1,1,0,0
AC138866.1,1,1,0,0
NAIPP1,0,1,0,0
NAIP,1,1,0,0
OCLNP1,1,1,0,0
NAIPP4,1,1,0,0
GUSBP9,1,1,0,0
BDP1,0,1,0,0
PTCD2,1,1,0,0
UTP15,1,0,0,0
ANKRD31,1,1,0,0
POC5,1,1,0,0
SV2C,0,1,0,0
F2RL1,0,1,0,0
PDE8B,0,1,0,0
TENT2,0,0,1,1
CMYA5,1,1,0,0
DHFR,1,1,1,0
AC010595.1,1,1,0,0
TMEM161B,1,1,0,0
ADGRV1,1,1,0,0
ARRDC3,1,1,0,0
KIAA0825,1,1,0,0
SLF1,1,1,0,0
GLRX,1,1,0,0
LIX1,0,1,0,0
LINC00491,1,1,0,0
EPB41L4A.AS1,1,1,0,0
YTHDC2,0,1,0,0
KCNN2,1,1,0,0
LVRN,0,1,0,0
SEMA6A.AS1,1,1,0,0
SRFBP1,1,0,0,0
ZNF474,1,1,0,0
ZNF608,1,0,0,0
SLC27A6,1,0,0,0
ADAMTS19,0,0,1,1
RAPGEF6,1,1,0,0
SLC22A4,0,1,0,0
IRF1,1,0,0,0
LEAP2,1,1,0,0
AC113410.5,0,1,0,0
AC109439.1,1,1,0,0
FAM13B,1,1,0,0
GFRA3,1,0,0,0
FAM53C,1,0,0,0
EGR1,1,1,0,0
LRRTM2,1,1,0,0
HBEGF,1,0,0,0
APBB3,1,1,0,0
TMCO6,1,1,0,0
DND1,1,1,0,0
PCDHGA10,1,0,0,0
PCDHGC3,1,0,0,0
PLAC8L1,1,1,0,0
TCERG1,1,0,0,0
SPINK5,1,1,0,0
AC011346.1,0,1,0,0
AC131025.1,1,1,0,0
TIGD6,1,1,0,0
HMGXB3,1,0,0,0
ANXA6,1,1,0,0
ADAM19,1,1,0,0
SOX30,0,1,0,0
RARS1,0,1,0,0
RANBP17,1,1,0,0
NEURL1B,1,1,0,0
DUSP1,1,1,0,0
BNIP1,1,0,0,0
CPEB4,1,0,0,0
MSX2,1,1,0,0
AC139491.2,1,0,0,0
AC139493.2,0,1,0,0
AC145098.2,1,1,0,0
DOK3,1,1,0,0
FAM193B,1,1,0,0
AC139795.1,1,1,0,0
PHYKPL,1,1,0,0
CLK4,1,1,0,0
ZNF354B,1,1,0,0
ZFP2,1,1,0,0
ZNF879,1,1,0,0
RUFY1,1,0,0,0
MRNIP,0,1,0,0
AC138035.1,1,1,0,0
CICP18,0,1,0,0
PPP1R3G,1,0,0,0
PAK1IP1,1,0,0,0
MAK,1,1,0,0
GCM2,0,1,0,0
SYCP2L,1,1,0,0
NEDD9,1,1,0,0
HIVEP1,0,1,0,0
AL008729.1,1,1,0,0
AL008729.2,0,1,0,0
STMND1,1,1,0,0
ID4,1,1,0,0
SOX4,1,1,0,0
CMAHP,1,0,0,0
H4C2,0,1,0,0
H1.2,0,1,0,0
H2AC6,1,1,0,0
H2BC5,1,1,0,0
H2BC6,1,1,0,0
AL031777.2,1,1,0,0
H2AC7,0,1,0,0
H3C6,1,1,0,0
H4C8,1,1,0,0
BTN3A2,1,0,0,0
BTN2A3P,1,1,0,0
BTN3A3,1,1,0,0
BTN2A1,1,1,0,0
GUSBP2,1,1,0,0
AL021807.1,1,1,0,0
ZNF391,1,1,0,0
ZNF184,1,1,0,0
AL009179.1,1,1,0,0
H3C10,1,0,0,0
H2BC15,1,1,0,0
H3C12,1,0,0,0
OR2B6,1,0,0,0
ZNF165,1,1,0,0
ZSCAN12P1,1,1,0,0
ZSCAN16,1,1,0,0
ZNF192P1,1,1,0,0
AL022393.1,1,1,0,0
ZSCAN9,0,1,0,0
ZKSCAN4,1,1,0,0
ZSCAN26,1,1,0,0
PGBD1,1,0,0,0
ZKSCAN3,0,1,0,0
ZSCAN12,1,1,0,0
ZSCAN23,1,1,0,0
Z98745.2,1,1,0,0
ZBED9,0,1,0,0
GABBR1,1,1,0,0
HLA.L,1,1,0,0
TRIM39,1,0,0,0
C6orf136,1,1,0,0
AL662797.2,0,1,0,0
LTA,1,0,0,0
TNF,1,0,0,0
LY6G5C,1,1,0,0
LY6G6F.LY6G6D,0,1,0,0
LY6G6D,1,0,0,0
MSH5,1,1,0,0
MSH5.SAPCD1,0,1,0,0
HSPA1L,1,1,0,1
SNHG32,1,1,0,0
STK19,1,1,0,0
C4A,1,1,0,0
TNXB,1,0,0,0
FKBPL,1,0,0,0
HLA.DRB1,1,1,0,0
HLA.DOB,1,1,0,0
HLA.DMA,1,0,0,0
BRD2,1,1,0,0
HLA.DOA,1,0,0,0
PPARD,1,0,0,0
FANCE,0,1,0,0
BRPF3,1,1,0,0
CDKN1A,1,0,0,0
MDGA1,1,1,0,0
KCNK5,1,0,0,0
DAAM2.AS1,1,1,0,0
UNC5CL,1,1,0,0
ADCY10P1,1,1,0,0
GUCA1B,1,1,1,0
UBR2,1,1,0,0
MAD2L1BP,1,0,0,0
TCTE1,1,1,0,0
PLA2G7,1,0,0,0
CENPQ,1,1,0,0
C6orf141,1,1,0,0
PAQR8,1,0,0,0
FBXO9,1,1,0,0
GCM1,1,0,0,0
AL034374.1,1,0,0,0
BMP5,1,0,0,0
ZNF451,1,1,0,0
AL021368.2,1,1,0,0
GUSBP4,1,1,0,0
AL021368.4,0,1,0,0
NPM1P37,0,1,0,0
CGAS,1,0,0,0
FILIP1,0,1,0,0
PHIP,0,1,0,0
AL359715.1,1,0,0,0
AL359715.2,0,1,0,0
TENT5A,0,1,0,0
DOP1A,1,1,0,0
PRSS35,1,0,0,0
CEP162,1,1,0,0
TBX18,1,0,0,0
CGA,1,1,0,0
ZNF292,1,1,0,0
AKIRIN2,1,0,0,0
PNRC1,1,1,0,0
GABRR2,1,1,0,0
CASP8AP2,1,1,0,0
KLHL32,0,1,0,0
GRIK2,1,0,0,0
HACE1,0,1,0,0
FOXO3,1,1,0,0
Z95118.2,1,1,0,0
CCDC162P,1,1,0,0
ZBTB24,1,1,0,0
RSPH4A,1,1,0,0
ZUP1,1,1,0,0
CEP85L,1,1,0,0
Z99496.2,1,0,0,0
MCM9,1,1,0,0
FAM184A,0,1,0,0
TBC1D32,1,1,0,0
HSF2,1,1,0,0
HEY2,1,0,0,0
TRMT11,1,1,0,0
AL035603.1,0,1,0,0
KIAA0408,0,1,0,0
AL096711.2,0,1,0,0
LAMA2,1,0,0,0
CCN2,1,1,0,0
NHSL1,1,0,1,0
AL035446.2,1,1,0,0
HIVEP2,1,1,0,0
AL031320.2,1,0,0,0
VDAC1P8,0,1,0,0
LTV1,1,0,0,0
FBXO30,1,1,0,0
AL356599.1,0,1,0,0
SHPRH,1,1,0,0
ZC3H12D,1,1,0,0
LATS1,1,1,0,0
RAET1K,1,1,0,0
ZBTB2,1,1,0,0
