Row.names,dPSI_BIO2195127_CHX_vs_DMSO_CHX.x,dPSI_BIO2197294_CHX_vs_DMSO_CHX.x,dPSI_Branaplam_CHX_vs_DMSO_CHX.x,dPSI_U1_mut2_100_CHX_vs_DMSO_CHX,dPSI_U1_mut2_500_CHX_vs_DMSO_CHX
ICE1,NA,NA,NA,NA,-0.271954652058281
IGF2BP3,NA,NA,0.265938883189198,NA,NA
KCNT2,-0.276424481090955,-0.272429938045195,-0.267173380072879,NA,NA
KDM4A,NA,NA,NA,NA,-0.334671276328588
KDM6A,-0.274305224180323,NA,NA,NA,NA
KIAA1109,NA,NA,NA,NA,0.389763824683232
L3MBTL3,NA,NA,NA,NA,-0.250256695907215
LARP7,NA,-0.36198043404526,NA,NA,NA
LIMS1,NA,NA,NA,NA,-0.343945154166042
LINC01145,NA,NA,NA,NA,0.313048544637749
LINC01515,-0.412429042050188,NA,NA,NA,NA
LNPK,-0.307602147718119,NA,-0.282856108401309,NA,NA
LRCH2,NA,NA,NA,NA,-0.336577822452667
LRP6,NA,NA,NA,NA,-0.425695664032446
LRRFIP2,NA,NA,NA,-0.27301849195536,-0.411235437223736
MAGI1,NA,NA,NA,NA,0.321376921889909
MAN1A2,-0.259377210259357,NA,-0.306644811019053,NA,NA
MATR3,NA,NA,NA,NA,0.380211860492058
MED23,NA,NA,NA,NA,0.268042277199294
MED27,NA,NA,NA,NA,-0.284840136155483
MEF2D,NA,NA,NA,NA,0.258355278954606
MELTF,0.25110553538461,NA,0.305455968739949,NA,NA
MIGA1,NA,NA,NA,NA,-0.38251250766701
MLLT10,0.291684987219752,-0.43618777631226,0.272293816744564,NA,-0.252967923581802
MLLT6,NA,NA,NA,NA,-0.265395431409258
MPC1,NA,NA,NA,NA,0.633481401867351
MTX2,NA,NA,NA,NA,-0.253882913268594
NAGK,NA,NA,NA,NA,0.272261515100682
NCKAP1,NA,NA,NA,NA,-0.288239338878362
NEK7,NA,NA,NA,NA,-0.287391807530954
NPIPB9,NA,NA,NA,NA,-0.322613954786879
NR2F1.AS1,NA,NA,NA,NA,-0.27735274265751
NUP58,-0.297867375033432,NA,NA,NA,NA
OCLN,-0.281270373560939,NA,NA,NA,NA
PCYT1A,NA,NA,NA,NA,0.254325509966611
PDE7A,0.294949867182546,0.32216288754928,0.272090137468719,NA,NA
PDXDC1,0.340931849576149,0.28805659408038,0.337560070641781,NA,NA
PHACTR4,NA,NA,NA,NA,-0.360323879913764
PITPNB,0.326831770765588,0.335305658837629,0.284973460761944,NA,NA
PNISR,0.357169575019649,NA,0.268137348101926,NA,NA
POMT2,0.34879790373514,0.349424593400112,0.371708403301138,NA,NA
PPP1R9A,NA,NA,NA,NA,0.26899661041831
PRKX,NA,NA,NA,NA,0.263809211269707
PSMA1,0.429734340023241,0.417168905507752,0.413843421785499,NA,NA
PTPRJ,NA,NA,NA,NA,0.314300808913136
PTS,NA,NA,NA,NA,-0.269307707020976
R3HDM2,NA,NA,NA,NA,-0.333837353841165
RABEPK,NA,NA,NA,NA,-0.311181663956306
REST,NA,NA,NA,NA,-0.348394272791744
RPS3,NA,NA,NA,NA,0.38678232426288
RPS6KB1,NA,NA,NA,NA,-0.361253222090772
RSPRY1,NA,NA,NA,NA,-0.264528348574402
RUBCN,NA,NA,NA,NA,-0.353882659119788
SDCBP2.AS1,0.335695600207633,NA,NA,NA,NA
SEC24D,NA,NA,NA,NA,-0.277674729165349
SERAC1,NA,NA,NA,NA,-0.312642031408981
SETDB2,NA,-0.290591231220746,NA,NA,NA
SH3BP4,NA,NA,NA,NA,-0.345426440625683
SH3GLB1,NA,NA,NA,NA,-0.445075968234248
SH3YL1,-0.263137188402097,NA,NA,NA,NA
SIPA1L2,NA,NA,NA,-0.253853870312446,0.295767658588494
SLC25A21,0.256057444905676,NA,NA,NA,NA
SLC25A23,NA,-0.336391553753169,NA,NA,-0.295022993306602
SLC25A40,NA,NA,NA,NA,-0.278749764929206
SLC27A1,NA,NA,NA,NA,0.270019730954933
SLC7A6,-0.266129625160916,-0.268370874964388,-0.289599615793752,NA,NA
SMOX,NA,NA,NA,NA,-0.389005374957267
SNX22,NA,NA,NA,NA,0.275158469272833
SPEF2,0.539757969520761,0.372656075980895,0.4066761057032,NA,NA
SPRYD7,-0.300503682618107,-0.317030977913162,NA,NA,NA
SREK1,0.262321863695457,0.263004435210929,-0.292699157567583,NA,NA
SSH2,NA,NA,NA,NA,0.44981959375003
STIM1,NA,NA,NA,NA,-0.284479982691969
TAF2,-0.375234547826407,-0.385154281452812,-0.392393460537101,NA,NA
TCAIM,NA,NA,NA,NA,0.32481224347625
TENT2,0.254475978323817,0.254992732223773,0.285937025533409,NA,NA
TIAM1,-0.332516706526901,-0.34469985343137,-0.358221948652768,NA,NA
TMEM50B,-0.259871078653757,NA,-0.294365170338533,NA,NA
TNKS,NA,NA,NA,NA,-0.305416359167577
TPST2,NA,NA,NA,NA,-0.258271033960689
TRAF3,NA,NA,-0.306029388574996,NA,NA
TRIO,NA,NA,NA,NA,-0.382657282162076
USP37,NA,NA,NA,NA,-0.357539863502558
VAPA,NA,NA,NA,NA,-0.447136933125377
VPS13B,NA,NA,NA,NA,0.274369933091992
VPS13C,NA,NA,NA,NA,-0.315678511886307
WDFY2,NA,NA,NA,NA,-0.260749845992433
WDFY3,NA,NA,NA,NA,-0.352609605422788
WDR27,-0.320152578855122,-0.349737461681053,-0.32431890702285,NA,NA
XRN2,0.253207514717574,-0.414765746905044,-0.442064446190405,NA,NA
Z69733.1,0.261372686706905,NA,NA,NA,NA
ZBED3.AS1,-0.30183220009377,NA,NA,NA,NA
ZNF236,NA,NA,NA,NA,0.321834288119628
ZNF34,NA,NA,NA,-0.311319805328467,-0.339114525933307
ZNF37BP,0.323839093643514,NA,0.320572079800541,NA,NA
ZNF532,NA,NA,NA,NA,-0.272751409813093
ZNF704,NA,NA,NA,NA,0.38528522528707
